,Full_Taxon,read1000_rep1,read1000_rep2,read1000_rep3,read1000_rep4,read1000_rep5,read10000_rep1,read10000_rep2,read10000_rep3,read10000_rep4,read10000_rep5,read100000_rep1,read100000_rep2,read100000_rep3,read100000_rep4,read100000_rep5,read1000000_rep1,read1000000_rep2,read1000000_rep3,read1000000_rep4,read1000000_rep5,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,Kingdom,Phylum,Class,Order,Family,Genus,Species
61,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_lavalensis,3,0,2,0,1,9,16,17,12,19,153,170,147,144,152,1505,1522,1568,1558,1511,15301,15473,15241,15311,15242,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,Enterocloster_lavalensis
62,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena_contorta,0,0,1,0,0,3,1,1,0,2,15,14,9,10,16,127,120,132,132,138,1333,1348,1261,1308,1282,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena,Faecalicatena_contorta
63,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena_orotica,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,16,14,14,14,10,125,134,142,142,149,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena,Faecalicatena_orotica
64,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Faecalimonas|s__Faecalimonas_umbilicata,1,3,5,3,5,41,31,42,49,36,375,390,388,402,414,3925,3943,3996,4131,4063,40000,40156,39874,39901,39725,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalimonas,Faecalimonas_umbilicata
65,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB3433|s__GGB3433_SGB4573,26,12,14,15,13,212,209,226,229,229,2150,2152,2046,2089,2076,20926,20890,20968,20863,20998,209740,209483,209078,208712,209406,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,GGB3433,GGB3433_SGB4573
66,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB3743|s__GGB3743_SGB5086,0,0,0,0,0,0,1,0,1,3,13,8,3,9,8,94,106,89,94,74,846,855,837,894,851,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,GGB3743,GGB3743_SGB5086
67,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__GGB3746|s__GGB3746_SGB5089,0,0,0,0,1,1,3,2,2,2,12,17,11,12,8,132,150,140,129,148,1474,1429,1463,1460,1472,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,GGB3746,GGB3746_SGB5089
68,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_scindens,3,1,4,1,5,17,20,26,28,11,224,221,226,257,218,2303,2341,2389,2399,2367,23724,23669,23633,23775,23742,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Clostridium_scindens
69,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum,5,8,7,4,1,44,42,48,46,50,474,518,530,515,460,4989,4869,5009,4954,4854,49832,49789,50069,49795,49808,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Clostridium_symbiosum
70,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium,21,13,10,13,7,127,117,123,115,109,1123,1108,1224,1182,1120,11374,11558,11396,11493,11637,114848,115063,115361,115005,114777,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Lachnospiraceae_bacterium
71,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Lachnospiraceae_bacterium_NSJ_29,0,0,0,2,0,5,5,4,6,9,40,52,45,49,47,454,465,425,427,435,4305,4259,4308,4332,4370,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,Lachnospiraceae_bacterium_NSJ_29
72,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter_glycyrrhizinilyticus,1,0,0,0,1,5,2,2,4,2,33,37,22,26,29,331,358,361,362,302,3292,3379,3391,3299,3362,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,Mediterraneibacter_glycyrrhizinilyticus
73,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_gnavus,12,13,13,8,14,117,145,106,134,135,1183,1137,1138,1211,1192,11683,11753,11896,11879,11895,118534,118702,118701,118856,119150,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,Ruminococcus_gnavus
74,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_torques,41,48,58,45,55,479,458,453,457,453,4553,4558,4525,4518,4457,44965,45129,44929,45494,45536,452259,451268,452352,452059,452128,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter,Ruminococcus_torques
75,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Murimonas|s__Murimonas_intestini,0,0,0,0,1,0,1,0,1,0,1,2,7,5,2,42,31,24,37,34,332,338,336,340,356,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Murimonas,Murimonas_intestini
76,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis,56,50,48,47,53,492,543,571,498,531,5255,5236,5233,5413,5322,52966,52929,52688,53055,53007,529262,531685,529753,530241,530316,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia_faecis
77,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Sellimonas|s__Sellimonas_intestinalis,2,1,8,2,6,30,28,30,31,26,277,308,299,302,283,2953,3038,3013,3030,2985,30364,30591,30378,30492,30506,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Sellimonas,Sellimonas_intestinalis
78,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_welbionis,2,0,1,1,3,3,10,7,7,6,60,60,64,72,62,700,641,669,680,687,6715,6614,6727,6660,6724,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Dysosmobacter,Dysosmobacter_welbionis
79,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens,5,1,6,5,3,37,52,45,40,48,496,448,471,455,485,4804,4707,4675,4887,4901,47831,47732,47555,47929,47553,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,Agathobaculum_butyriciproducens
80,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An250,2,0,0,1,0,3,6,1,8,2,35,48,47,40,35,451,443,404,399,435,4268,4383,4219,4264,4276,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaeromassilibacillus,Anaeromassilibacillus_sp_An250
81,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Bittarella|s__Bittarella_massiliensis,0,0,1,0,0,1,0,1,1,1,16,10,17,11,10,146,132,130,144,139,1301,1301,1264,1299,1330,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Bittarella,Bittarella_massiliensis
82,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,6,6,7,4,5,52,46,52,40,48,536,488,465,460,452,4757,4868,4703,4716,4789,47339,47091,47349,47510,47216,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium_prausnitzii
83,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii,1,1,2,3,0,9,4,8,6,5,62,60,64,54,59,558,618,588,588,603,5803,5832,5850,5760,5859,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Flavonifractor_plautii
84,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9739|s__GGB9739_SGB15313,1,0,0,0,0,1,1,1,2,2,20,13,12,24,26,229,213,199,195,228,2155,2208,2130,2099,2196,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,GGB9739,GGB9739_SGB15313
85,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Harryflintia|s__Harryflintia_acetispora,0,0,2,0,0,2,1,4,3,1,17,20,28,22,29,224,238,245,208,252,2384,2354,2339,2374,2373,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Harryflintia,Harryflintia_acetispora
86,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Massilimaliae|s__Massilimaliae_massiliensis,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,6,12,10,12,8,101,87,84,84,105,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Massilimaliae,Massilimaliae_massiliensis
87,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Neglecta|s__Neglecta_timonensis,9,9,11,7,14,127,92,111,97,90,957,972,957,940,928,9593,9741,9387,9617,9474,96030,95758,94899,95516,95643,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Neglecta,Neglecta_timonensis
88,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Neobittarella|s__Neobittarella_massiliensis,0,0,0,0,0,0,2,1,0,0,4,1,4,5,2,41,34,44,48,42,454,470,420,453,439,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Neobittarella,Neobittarella_massiliensis
89,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Phocea|s__Phocea_massiliensis,0,0,0,0,0,1,1,0,0,0,0,1,2,2,1,20,20,22,16,24,193,198,196,200,196,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Phocea,Phocea_massiliensis
90,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum,0,0,0,0,0,0,2,1,0,0,17,19,18,9,10,101,93,119,135,94,975,1033,1027,1018,1030,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_unclassified,Clostridium_leptum
91,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii,109,110,97,105,92,949,918,961,965,978,9364,9424,9466,9481,9377,94444,94979,94159,93930,94547,941087,942361,940487,941959,942180,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus_bromii
92,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_gauvreauii,0,0,0,0,0,1,1,0,0,0,0,3,1,1,2,17,15,19,18,20,183,207,161,188,190,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus_gauvreauii
93,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans,0,0,0,0,1,1,0,0,0,0,8,5,9,8,7,69,73,88,84,85,785,785,777,785,787,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruthenibacterium,Ruthenibacterium_lactatiformans
94,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma|s__Dielma_fastidiosa,0,0,0,0,0,0,0,0,0,0,3,5,5,8,8,49,50,60,66,56,545,506,532,541,527,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Dielma,Dielma_fastidiosa
95,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_innocuum,3,1,1,1,3,12,18,20,18,27,202,205,222,193,224,1932,1961,1921,1996,1984,19724,19776,19936,19703,19910,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,Clostridium_innocuum
96,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum,1,1,1,2,3,12,11,12,12,12,115,147,136,152,141,1341,1408,1316,1367,1329,13582,13531,13749,13622,13448,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium,Erysipelatoclostridium_ramosum
97,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_unclassified|s__Erysipelotrichaceae_bacterium_3_1_53,0,1,0,0,2,5,8,3,6,6,51,50,36,50,39,494,469,475,488,474,4871,4806,4745,4867,4841,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae_unclassified,Erysipelotrichaceae_bacterium_3_1_53
98,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibacillus|s__Faecalibacillus_intestinalis,0,1,0,0,1,1,3,1,3,2,16,15,16,24,20,177,183,177,186,164,1723,1714,1703,1727,1712,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibacillus,Faecalibacillus_intestinalis
99,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis,0,0,0,0,0,1,0,1,1,0,7,9,9,7,5,81,63,65,74,67,712,692,693,667,651,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemania,Holdemania_filiformis
100,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Longibaculum|s__Longibaculum_muris,3,2,2,4,2,42,46,41,47,47,434,474,419,478,419,4316,4354,4395,4344,4462,43500,43435,43833,43660,43651,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Longibaculum,Longibaculum_muris
101,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Longicatena|s__Longicatena_caecimuris,31,21,28,40,45,314,288,268,324,275,2964,2941,3007,2962,2886,29354,29140,29487,29185,29456,292098,293807,292240,291988,292608,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Longicatena,Longicatena_caecimuris
102,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis,1,2,1,0,2,29,30,17,24,40,259,220,244,257,255,2463,2480,2421,2488,2403,24854,24699,24832,24728,24879,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,Turicibacter_sanguinis
103,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus,10,9,13,10,10,81,79,87,76,93,885,830,896,851,905,8895,8914,9055,9037,9248,89250,89370,89291,89951,89532,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister_invisus
104,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__GGB6649|s__GGB6649_SGB9391,0,0,1,0,0,1,1,0,3,6,16,16,18,20,10,151,138,148,133,128,1309,1243,1289,1260,1321,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,GGB6649,GGB6649_SGB9391
105,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia,0,1,0,0,0,1,5,2,1,2,20,12,22,13,17,148,158,153,147,140,1445,1430,1457,1382,1468,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,Bilophila_wadsworthia
106,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,40,38,39,37,32,351,359,334,364,357,3400,3547,3460,3508,3441,34352,34476,34294,34227,34440,343448,343198,342263,342571,343779,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia_coli
107,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_sp_KLE1605,0,0,0,2,0,2,4,3,4,4,24,39,36,30,18,340,362,364,330,330,3356,3358,3324,3321,3298,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia_sp_KLE1605
108,k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Candida|s__Candida_albicans,69,90,87,71,79,855,793,865,777,788,8056,7986,8029,7948,8211,81001,80711,80656,80861,80382,807685,806655,807547,807417,807438,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida_albicans
