Kingdom,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Bacteria,0.9192315,0.9193345,0.9192453,0.9192583,0.9192562,0.0574934683498894,0.05740169305203754,0.057503744406617464,0.05733272454161317,0.057451938203816215,0.9192651600000001,0.05743671371079475,4.019574604360577e-05,7.068624738212139e-05
Eukaryota,0.0807685,0.0806655,0.0807547,0.0807417,0.0807438,0.9424089697187358,0.9425035503421239,0.9423976906723753,0.9425712089330757,0.9424618011129648,0.08073484,0.9424686441558551,4.0195746043578434e-05,7.137968524999353e-05
Archaea,0.0,0.0,0.0,0.0,0.0,9.756193137477588e-05,9.475660583858283e-05,9.856492100718402e-05,9.606652531115553e-05,8.626068321895376e-05,0.0,9.464213335013041e-05,0.0,4.9041866353581606e-06
