Order,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Bdellovibrionales,0.0,0.0,0.0,0.0,0.0,1.1210532487163688e-05,1.0607082743124944e-05,1.0098864857293446e-05,9.596550898590722e-06,1.1514892139298277e-05,0.0,1.0605584625094215e-05,0.0,7.854486456589032e-07
Bicosoecida,0.0,0.0,0.0,0.0,0.0,0.0,2.0203967129761797e-07,0.0,0.0,2.0201565156663643e-07,0.0,8.081106457285089e-08,0.0,1.1065510773226287e-07
Bivalvia,0.0,0.0,0.0,0.0,0.0,6.05974729035875e-07,0.0,0.0,0.0,0.0,0.0,1.21194945807175e-07,0.0,2.7100013735424644e-07
Blastocatellales,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,0.0,2.0197729714586892e-07,2.0203265049664675e-07,0.0,0.0,1.2120030479756148e-07,0.0,1.1064023672290027e-07
Caldisericales,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,2.0203967129761797e-07,2.0197729714586892e-07,0.0,2.0201565156663643e-07,0.0,1.61604839271083e-07,0.0,9.03398546511806e-08
Campylobacterales,0.0,0.0,0.0,0.0,0.0,0.0002414809295207962,0.00025123633125858795,0.000246513291166533,0.00024748999685839226,0.0002452470010018966,0.0,0.00024639350996124123,0.0,3.5396849629769543e-06
Capsasporidae,0.0,0.0,0.0,0.0,0.0,1.21194945807175e-06,1.3132578634345168e-06,1.4138410800210823e-06,9.091469272349104e-07,1.0100782578331821e-06,0.0,1.1716547173190884e-06,0.0,2.0937206327242712e-07
Caulobacterales,0.0,0.0,0.0,0.0,0.0,2.5248947043161457e-06,3.4346744120595056e-06,2.1207616200316238e-06,2.424391805959761e-06,2.6262034703662736e-06,0.0,2.6261852025466618e-06,0.0,4.899204374009662e-07
Cercozoa,0.0,0.0,0.0,0.0,0.0,3.8984374234641294e-05,4.0104874752577164e-05,3.908260699772563e-05,3.838620359436289e-05,3.999909901019401e-05,0.0,3.93114317179002e-05,0.0,7.276353112430518e-07
Cestoda,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,2.0203967129761797e-07,0.0,0.0,0.0,0.0,8.080624952858193e-08,0.0,1.1064851544206103e-07
Chaetoceros calcitrans   ,0.0,0.0,0.0,0.0,0.0,8.079663053811667e-07,0.0,0.0,0.0,0.0,0.0,1.6159326107623334e-07,0.0,3.613335164723286e-07
Charophyta,0.0,0.0,0.0,0.0,0.0,0.0006505138716200119,0.000443174018991325,0.00044909652020383954,0.00044618910862184437,0.0006472581476195032,0.0,0.0005272463334113047,0.0,0.00011106703220627729
Chelicerata,0.0,0.0,0.0,0.0,0.0,1.21194945807175e-06,1.4142776990833259e-06,1.7168070257398858e-06,1.1111795777315571e-06,1.2120939093998187e-06,0.0,1.3332615340052675e-06,0.0,2.4103390402394124e-07
Chlorobiales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.040653009932935e-07,0.0,0.0,8.08130601986587e-08,0.0,1.807034960739835e-07
