Order,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5
Cercozoa,0.0,0.0,0.0,0.0,0.0,386.0,397.0,387.0,380.0,396.0
Cestoda,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Chaetoceros calcitrans   ,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Charophyta,0.0,0.0,0.0,0.0,0.0,6441.0,4387.0,4447.0,4417.0,6408.0
Chelicerata,0.0,0.0,0.0,0.0,0.0,12.0,14.0,17.0,11.0,12.0
Chlorobiales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Chlorophyta,0.0,0.0,0.0,0.0,0.0,6.0,26.0,9.0,4.0,3.0
Chloroplast,0.0,0.0,0.0,0.0,0.0,63.0,71.0,65.0,77.0,68.0
Christensenellales,0.0,0.0,0.0,0.0,0.0,117.0,104.0,115.0,119.0,120.0
Chromadorea,0.0,0.0,0.0,0.0,0.0,3.0,7.0,6.0,4.0,9.0
Chromatiales,0.0,0.0,0.0,0.0,0.0,42.0,45.0,38.0,43.0,39.0
Ciliophora,0.0,0.0,0.0,0.0,0.0,9066.0,9218.0,9255.0,9171.0,9247.0
Clostridia UCG-014,0.0,0.0,0.0,0.0,0.0,87.0,78.0,80.0,77.0,79.0
Conthreep,0.0,0.0,0.0,0.0,0.0,31.0,27.0,0.0,0.0,0.0
Coriobacteriales,0.0,0.0,0.0,0.0,0.0,15615.0,15298.0,15481.0,15257.0,15278.0
Corynebacteriales,0.0,0.0,0.0,0.0,0.0,31.0,45.0,43.0,33.0,32.0
Crustacea,0.0,0.0,0.0,0.0,0.0,12.0,16.0,10.0,15.0,13.0
Cyanobacteriales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Cytophagales,0.0,0.0,0.0,0.0,0.0,101.0,104.0,107.0,82.0,89.0
Deferribacterales,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Deinococcales,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,5.0
Demospongiae,0.0,0.0,0.0,0.0,0.0,11.0,9.0,7.0,7.0,10.0
Desulfarculales,0.0,0.0,0.0,0.0,0.0,72.0,63.0,73.0,64.0,76.0
Desulfobacterales,0.0,0.0,0.0,0.0,0.0,9.0,7.0,8.0,3.0,9.0
Desulfurococcales,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0
Dichanthelium oligosanthes   ,0.0,0.0,0.0,0.0,0.0,24.0,26.0,24.0,31.0,21.0
Dinoflagellata,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0
Discicristata,0.0,0.0,0.0,0.0,0.0,47.0,34.0,30.0,29.0,11.0
Dothideomycetes,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,2.0
Enoplea,0.0,0.0,0.0,0.0,0.0,1028.0,1060.0,1090.0,1052.0,1045.0
Enterobacteriales,0.0,0.0,0.0,0.0,0.0,25115.0,25311.0,25403.0,25425.0,25243.0
Entomophthorales,0.0,0.0,0.0,0.0,0.0,61.0,53.0,59.0,59.0,61.0
Euamoebida,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0
Eubacteriales,0.0,0.0,0.0,0.0,0.0,1749.0,1753.0,1773.0,1733.0,1755.0
Eurotiomycetes,0.0,0.0,0.0,0.0,0.0,2493.0,2476.0,2482.0,2456.0,2469.0
Exobasidiomycetes,0.0,0.0,0.0,0.0,0.0,51.0,80.0,670.0,71.0,605.0
Fervidicoccales,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,3.0,6.0
Fibrobacterales,0.0,0.0,0.0,0.0,0.0,10.0,11.0,9.0,10.0,3.0
Flabellinia,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Flavobacteriales,0.0,0.0,0.0,0.0,0.0,133.0,143.0,130.0,145.0,120.0
Florideophycidae,0.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,6.0
Francisellales,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0
Fusobacteriales,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0
Gaiellales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Gammaproteobacteria Unknown Family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Gemmatimonadales,0.0,0.0,0.0,0.0,0.0,18.0,39.0,41.0,39.0,36.0
Glomerales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0
Glomerellales,0.0,0.0,0.0,0.0,0.0,5624.0,5738.0,5554.0,5559.0,5562.0
Gossypium raimondii   ,0.0,0.0,0.0,0.0,0.0,239.0,207.0,199.0,222.0,205.0
Halobacteriales,0.0,0.0,0.0,0.0,0.0,88.0,95.0,95.0,96.0,85.0
Hemiptera,0.0,0.0,0.0,0.0,0.0,159.0,166.0,174.0,169.0,161.0
Hexapoda,0.0,0.0,0.0,0.0,0.0,780.0,755.0,746.0,771.0,756.0
Humulus lupulus var. cordifolius ,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Hydrozoa,0.0,0.0,0.0,0.0,0.0,4.0,7.0,8.0,6.0,4.0
Ignavibacteriales,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0
JGI 0000069-P22,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
Jakobida,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,6.0,7.0
Labyrinthulomycetes,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,5.0,2.0
Lachnospirales,0.0,0.0,0.0,0.0,0.0,134607.0,134498.0,134766.0,134544.0,134389.0
Leotiomycetes,0.0,0.0,0.0,0.0,0.0,1513.0,1462.0,1532.0,1516.0,1480.0
Lineage IV,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0
Litostomatea,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,12.0,0.0
MAST-3,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0
MAST-8,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0
MSBL9,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,5.0,4.0
Macrodasyida,0.0,0.0,0.0,0.0,0.0,28.0,41.0,28.0,42.0,35.0
Methanobacteriales,0.0,0.0,0.0,0.0,0.0,402.0,359.0,381.0,373.0,313.0
Methanocellales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
Methanomicrobiales,0.0,0.0,0.0,0.0,0.0,6.0,13.0,18.0,6.0,12.0
Methanosarcinales,0.0,0.0,0.0,0.0,0.0,33.0,25.0,39.0,25.0,29.0
