SampleID,PCoA1,PCoA2,Group,Replicate,ShortLabel
Ocean-lake-1a,-0.420819745118415,0.005994691856068145,River,a,18S-1a
Ocean-lake-1b,-0.4196306732394909,0.0068895785972529254,River,b,18S-1b
Ocean-lake-2a,-0.423957161260704,0.008904284633654712,River,a,18S-2a
Ocean-lake-2b,-0.4237629489351958,0.006994794894658175,River,b,18S-2b
Ocean-lake-3a,0.38536140380919837,-0.19475587830658966,Ocean,a,18S-3a
Ocean-lake-3b,0.38967882113861657,-0.1705943217444591,Ocean,b,18S-3b
Ocean-lake-4a,0.4604137620480794,0.17044410277556712,Ocean,a,18S-4a
Ocean-lake-4b,0.45271654155791125,0.16612274729384766,Ocean,b,18S-4b
