Phylum,ocean_metaphlan
Actinobacteria,0.002968270466313947
Bacteroidetes,0.04187122093889792
Cyanobacteria,0.00019290699596778807
Firmicutes,0.0018533468045801554
Proteobacteria,0.09530832377295832
Rhodothermaeota,3.262488424135113e-07
Tenericutes,7.681438098086352e-05
Thermodesulfobacteria,0.0008077137141148188
