"","Phylum","Class","Order","Family","Genus","Species","Ocean1","Ocean2"
"24072","Patescibacteria","Paceibacteria","Portnoybacterales","GWB1-42-6","GWB1-42-6","GWB1-42-6 sp000997475",0,1
"24073","Patescibacteria","Paceibacteria","Portnoybacterales","UBA2143","WO2-40-15","WO2-40-15 sp001819555",0,3
"24074","Patescibacteria","Paceibacteria","WO2-41-13","UBA11713","2-01-FULL-46-13","2-01-FULL-46-13 sp001780775",0,4
"24075","Patescibacteria","Paceibacteria","WO2-41-13","UBA11713","UBA11713","UBA11713 sp001778985",0,2
"24076","Patescibacteria","Paceibacteria","WO2-41-13","2-12-FULL-41-13","2-12-FULL-41-13","2-12-FULL-41-13 sp001821615",0,2
"24077","Patescibacteria","Paceibacteria","WO2-41-13","H02-45-28","HO2-45-28","HO2-45-28 sp001819395",0,1
"24078","Patescibacteria","Paceibacteria","Sungbacterales","HO2-52-23","2-01-FULL-50-25","2-01-FULL-50-25 sp001822215",0,1
"24079","Patescibacteria","Paceibacteria","Ryanbacterales","GWA2-47-10b","GWA2-47-10b","GWA2-47-10b sp001821795",0,6
"24080","Patescibacteria","Paceibacteria","WOR2-41-13_A","2-01-FULL-45-33","GWA1-44-25","GWA1-44-25 sp001780725",0,2
"24081","Patescibacteria","Paceibacteria","WOR2-41-13_A","2-01-FULL-45-33","GWA1-44-29","GWA1-44-29 sp001001285",0,1
"24082","Patescibacteria","Paceibacteria","WOR2-41-13_A","2-01-FULL-45-33","MFHE01","MFHE01 sp001778495",0,1
"24083","Patescibacteria","Paceibacteria","UBA9983","Tagabacteraceae","GCA-002793575","GCA-002793575 sp002774055",0,3
"24084","Patescibacteria","Paceibacteria","Terrybacterales","GWB1-40-14","GWB1-40-14","GWB1-40-14 sp000996085",0,2
"24085","Patescibacteria","Paceibacteria","SW-4-49-11","SW-4-49-11","SW-4-49-11","SW-4-49-11 sp003021915",0,1
"24086","Patescibacteria","ABY1","Magasanikbacterales","UBA922","UBA12086","UBA12086 sp001871445",0,2
"24087","Patescibacteria","ABY1","Magasanikbacterales","UBA922","GWA2-56-11","GWA2-56-11 sp001004885",0,3
"24088","Patescibacteria","ABY1","Magasanikbacterales","UBA10003","UBA10003","UBA10003 sp003514455",0,1
"24089","Patescibacteria","ABY1","Magasanikbacterales","2-02-FULL-50-9b","2-02-FULL-50-9b","2-02-FULL-50-9b sp001782975",0,2
"24090","Patescibacteria","ABY1","SG8-24","GWF2-40-263","UBA12478","UBA12478 sp000993535",0,2
"24091","Patescibacteria","ABY1","SG8-24","GWF2-40-263","UBA12478","UBA12478 sp003485135",0,1
"24092","Patescibacteria","ABY1","SG8-24","GWF2-40-263","YC12-FULL-57-11","YC12-FULL-57-11 sp001791645",0,1
"24093","Patescibacteria","ABY1","SG8-24","UBA9934","UBA9934","UBA9934 sp003453595",0,3
"24094","Patescibacteria","ABY1","SG8-24","UBA11717","2-02-FULL-53-10","2-02-FULL-53-10 sp001791035",0,1
"24095","Patescibacteria","ABY1","BM507","XYC2-FULL-47-12","2-12-FULL-45-10","2-12-FULL-45-10 sp001777995",0,3
"24096","Patescibacteria","ABY1","BM507","UBA917","UBA917","UBA917 sp002293855",0,3
"24097","Patescibacteria","ABY1","BM507","UBA917","UBA1359","UBA1359 sp002306385",0,2
"24098","Patescibacteria","ABY1","BM507","UM-FILTER-48-10","UM-FILTER-48-10","UM-FILTER-48-10 sp002771615",0,1
"24099","Patescibacteria","ABY1","Buchananbacterales","GWA2-38-13","GWA2-38-13","GWA2-38-13 sp000992395",0,2
"24100","Patescibacteria","ABY1","UBA2196","UBA2196","1-14-0-10-36-11","1-14-0-10-36-11 sp002778535",0,3
"24101","Patescibacteria","ABY1","GWA2-46-9","GWA2-46-9","GWA2-46-9","GWA2-46-9 sp001791425",0,1
"24102","Patescibacteria","ABY1","Veblenbacterales","UBA10138","UBA10138","UBA10138 sp000995845",0,3
"24103","Patescibacteria","Microgenomatia","UBA1406","GWC2-37-13","YC2-FULL-38-9","YC2-FULL-38-9 sp001790095",0,3
"24104","Patescibacteria","Microgenomatia","UBA1406","GWC2-37-13","YC2-FULL-38-9","YC2-FULL-38-9 sp002784505",0,2
"24105","Patescibacteria","Microgenomatia","UBA1406","GWC2-37-13","2-01-FULL-41-22","2-01-FULL-41-22 sp001789805",0,3
"24106","Patescibacteria","Microgenomatia","UBA1406","GWC2-37-13","O2-01-FULL-39-8","O2-01-FULL-39-8 sp001789355",0,2
"24107","Patescibacteria","Microgenomatia","UBA1406","GWC2-37-13","PEZG01","PEZG01 sp002774185",0,1
"24108","Patescibacteria","Microgenomatia","UBA1400","PJMF01","UBA1364","UBA1364 sp002422765",0,5
"24109","Patescibacteria","Microgenomatia","UBA1400","PJMF01","UBA1364","UBA1364 sp001029715",0,1
"24110","Patescibacteria","Microgenomatia","UBA1400","PJMF01","UBA1388","UBA1388 sp002772705",0,3
"24111","Patescibacteria","Microgenomatia","UBA1400","PJMF01","UBA924","UBA924 sp002293725",0,1
"24112","Patescibacteria","Microgenomatia","UBA1400","PJMF01","UBA9650","UBA9650 sp003518205",0,1
"24113","Patescibacteria","Microgenomatia","UBA1400","MFAQ01","UBA10133","UBA10133 sp000998025",0,4
"24114","Patescibacteria","Microgenomatia","UBA1400","MFAQ01","UBA10133","UBA10133 sp001001485",0,3
"24115","Patescibacteria","Microgenomatia","UBA1400","MFAQ01","UBA10133","UBA10133 sp001000865",0,1
"24116","Patescibacteria","Microgenomatia","UBA1400","MFAQ01","UBA2277","UBA2277 sp002347045",0,3
"24117","Patescibacteria","Microgenomatia","UBA1400","MFAQ01","UBA2277","UBA2277 sp000998275",0,2
"24118","Patescibacteria","Microgenomatia","UBA1400","UBA12028","UBA12028","UBA12028 sp001002285",0,3
"24119","Patescibacteria","Microgenomatia","UBA1400","UBA1396","UBA1396","UBA1396 sp002305195",0,3
"24120","Patescibacteria","Microgenomatia","GWA2-44-7","UBA8517","GWB1-38-13","GWB1-38-13 sp000993025",0,4
"24121","Patescibacteria","Microgenomatia","GWA2-44-7","UBA8517","UBA5941","UBA5941 sp002430735",0,2
"24122","Patescibacteria","Microgenomatia","GWA2-44-7","UBA8517","UBA5073","UBA5073 sp002415845",0,1
"24123","Patescibacteria","Microgenomatia","GWA2-44-7","Amesbacteraceae","GWC2-45-19","GWC2-45-19 sp001001555",0,4
"24124","Patescibacteria","Microgenomatia","GWA2-44-7","Amesbacteraceae","WO2-48-25","WO2-48-25 sp001773695",0,3
"24125","Patescibacteria","Microgenomatia","GWA2-44-7","UBA10165","GCA-2686465","GCA-2686465 sp002686465",0,1
"24126","Patescibacteria","Microgenomatia","Levybacterales","UBA12049","2-01-FULL-42-15","2-01-FULL-42-15 sp001784055",0,5
"24127","Patescibacteria","Microgenomatia","Levybacterales","UBA12049","GCA-002784865","GCA-002784865 sp002788395",0,4
"24128","Patescibacteria","Microgenomatia","Levybacterales","UBA12049","UBA12049","UBA12049 sp001784155",0,2
"24129","Patescibacteria","Microgenomatia","Levybacterales","GWA1-39-11","GWA1-39-11","GWA1-39-11 sp001782675",0,1
"24130","Patescibacteria","Microgenomatia","Daviesbacterales","UBA10151","UBA10151","UBA10151 sp001776635",0,1
"24131","Patescibacteria","Microgenomatia","Daviesbacterales","UBA10151","2-01-FULL-39-12-A","2-01-FULL-39-12-A sp001776905",0,1
"24132","Patescibacteria","Microgenomatia","Shapirobacterales","UBA12405","UBA12158","UBA12158 sp002402535",0,2
"24133","Patescibacteria","Microgenomatia","Shapirobacterales","UBA12405","UBA12405","UBA12405 sp003542615",0,3
"24134","Patescibacteria","Microgenomatia","Shapirobacterales","0-14-0-10-38-17","0-14-0-10-38-17","0-14-0-10-38-17 sp002774085",0,2
"24135","Patescibacteria","Microgenomatia","Curtissbacterales","GWA2-41-24","2-01-FULL-41-18-A","2-01-FULL-41-18-A sp001776475",0,2
"24136","Patescibacteria","Microgenomatia","UBA10105","UBA10105","UBA10118","UBA10118 sp003524845",0,4
"24137","Patescibacteria","Microgenomatia","Woykebacterales","RBG-16-39-9b","RBG-16-39-9b","RBG-16-39-9b sp001816695",0,2
