Phylum,ocean_gottcha
Proteobacteria,0.035146564252790426
Bacteroidetes,0.004003813177759811
Caudovirales,2.50542700720055e-05
Dinodnavirus,1.7602531666514405e-07
Thaumarchaeota,4.8876362927354996e-05
Cyanobacteria,9.687259927138427e-05
Phycodnaviridae,4.107257388853361e-07
Mimiviridae,2.3470042222019206e-07
