SampleID,PCoA1,PCoA2,Group,Replicate,ShortLabel
OL-16S-1a,0.39007208102465435,-0.002331928464684929,River,a,1a
OL-16S-1b,0.39317730100017867,0.1190224196069511,River,b,1b
OL-16S-2a,0.38463936275936395,-0.0465110003651433,River,a,2a
OL-16S-2b,0.3911162261257967,-0.06780507621515613,River,b,2b
OL-16S-3a,-0.37238950055101244,-0.052661279395998004,Ocean,a,3a
OL-16S-3b,-0.39111890779817376,0.19054575305630544,Ocean,b,3b
OL-16S-4a,-0.4165792888325048,-0.0077361049003447325,Ocean,a,4a
OL-16S-4b,-0.3789172737283028,-0.13252278332192943,Ocean,b,4b
