Genus,OL-16S-1a,OL-16S-1b,OL-16S-2a,OL-16S-2b,OL-16S-3a,OL-16S-3b,OL-16S-4a,OL-16S-4b
Geminobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0020242914979757085,0.003138847858197932
Granulosicoccus,0.0,0.0,0.0,0.0,0.008510024520409635,0.0,0.0,0.0
HOC36,0.0,0.0,0.0,0.0,0.0,0.0,0.005336768494663232,0.0
Hahella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001292466765140325
Halodesulfovibrio,0.0,0.0,0.0,0.0,0.0012981393336218088,0.0,0.0,0.0
Haloplasma,0.0,0.0,0.0,0.0,0.0,0.0,0.003312476996687523,0.0
Holosporaceae,0.0,0.0,0.0,0.0,0.004759844223279966,0.00359250705671029,0.005152741994847258,0.0029542097488921715
Hydrogenedensaceae,0.0,0.0016915703411333521,0.0041717791411042945,0.0,0.0,0.0,0.0,0.0
Hyphomonas,0.0,0.0,0.0,0.0,0.008942737631616904,0.008468052347959968,0.0,0.0
IMCC26207,0.0,0.0,0.0,0.0,0.003605942593393913,0.0,0.004784688995215311,0.0
IMCC26256,0.0,0.011559063997744572,0.0,0.0,0.0,0.0,0.0,0.0
Ignavibacterium,0.0,0.01127713560755568,0.0,0.007761194029850746,0.0,0.0,0.0,0.0
IheB3-7,0.0,0.0,0.0,0.0,0.0,0.0,0.004600662495399337,0.0
Ilumatobacter,0.010063819342169858,0.0,0.0,0.0,0.0,0.003849114703618168,0.006993006993006993,0.0
Izemoplasmatales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009231905465288035
KD4-96,0.01644575355915562,0.012122920778122357,0.024294478527607362,0.011741293532338309,0.0070676474830520695,0.0,0.0180345969819654,0.014586410635155096
KF-JG30-B3,0.0,0.0,0.007361963190184049,0.0,0.0,0.0,0.0,0.0
KI89A_clade,0.009327442317133039,0.014378347899633492,0.0,0.0023880597014925373,0.010817827780181739,0.015396458814472672,0.0020242914979757085,0.0075701624815361895
Kapabacteriales,0.0,0.00140964195094446,0.0,0.0,0.0,0.0,0.0,0.0
Latescibacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0012881854987118145,0.0020310192023633676
Latescibacterota,0.0,0.0,0.0,0.00855721393034826,0.004327131112072695,0.010520913523222993,0.0,0.0035081240768094534
Leeuwenhoekiella,0.0,0.0,0.0,0.0,0.005336795038222992,0.010264305876315114,0.00736105999263894,0.007385524372230428
Lentimicrobiaceae,0.0,0.0,0.0,0.0021890547263681594,0.004327131112072695,0.0,0.0,0.0
Lentimonas,0.0,0.0,0.0,0.0,0.009086975335352661,0.020785219399538105,0.0,0.0
