,Diatomea,Arthropoda,Proteobacteria,Xenacoelomorpha,Chlorophyta,Ciliophora,Bacteroidota,Chytridiomycota,Cnidaria,Cryptophyceae,Cercozoa,Ochrophyta,Planctomycetota,Protalveolata,Actinobacteriota,Mollusca,Verrucomicrobiota,Labyrinthulomycetes,Desulfobacterota,Cyanobacteria,Other,Shannon
1a,0.45864638088671184,0.2199944479766457,0.029237671373946682,0.0,0.05970663824985896,0.04404455946485659,0.008928011748797808,0.04290729016485927,0.00017014265118070045,0.03496879225582291,0.009147406220057133,0.011999534346428347,0.007513141281084615,3.1342067322760606e-05,0.009890660959425455,0.005883353780301063,0.0029237671373946684,0.0008059388740138442,0.0017014265118070046,0.0017462008936966625,0.04975329315578799,
1b,0.453704485933936,0.15350173185773422,0.03221024983295829,1.9200196610013286e-05,0.07527245078989608,0.04255915580575545,0.006789189521300698,0.053472547558887,0.001009930341686699,0.05162932868432573,0.005813819533512023,0.01580944188868494,0.0065088666507945045,0.0,0.008908891227046165,0.006677828380962621,0.0028416290982819664,0.0017049774589691798,0.0017510579308332118,0.0013593739199889406,0.07845584338783629,
2a,0.5505795891348664,0.05261059583718849,0.03903670104333567,0.04127456953941281,0.04678461550034226,0.06414596168167355,0.009417853301138117,0.03841611566207057,0.0,0.02833630462091636,0.006785066835165001,0.016526376759265528,0.007435741204612642,0.0,0.01166700516778372,0.010106138905813945,0.00562664079013683,0.0002557563995516741,0.002155123778575136,0.0020460511964133926,0.06679379264173793,
2b,0.5464457027315012,0.06220156594915211,0.02253643031962673,0.03688672143488365,0.030708022852820416,0.07455896311327856,0.0046767547831273164,0.0527098630067242,0.0,0.02677314829967597,0.012928354007789742,0.01307382071955109,0.0059823185211854086,4.727668132243788e-05,0.006753292093520549,0.03183538986897086,0.0025311207846474434,0.0,0.0008837102739501849,0.0012110103754132164,0.06725653418285893,
3a,0.20923289552130947,0.27754692778811585,0.13467236364293328,0.0395792307275388,0.01115156004408231,0.0019421509999819335,0.0584316453180611,0.0,0.05344980217159582,0.00508120901158064,0.013256309732434825,0.006129067225524381,0.018992430127730303,0.0162463189463605,0.011169626565012376,0.0004200466116239996,0.014231901862658308,0.012479449332442051,0.012917562464996115,0.01130512547198786,0.0917643764340301,
3b,0.28253220048236577,0.1532647660379295,0.07256746156834859,0.21244621034960523,0.01560358035642287,0.00237517502254217,0.03499351225341065,0.0,0.027109250720249833,0.010842234130678611,0.01702208766155222,0.012909516094743093,0.010805580195145553,0.01708439935195842,0.0073051293517384965,0.0004948281296962855,0.007730315003921971,0.0165675788609423,0.007371106435698001,0.0066856778412298125,0.0842893901518206,
4a,0.21727329112447114,0.16726131625327775,0.12839518303130049,0.1298444494936779,0.013196922151055326,0.0029046738843411675,0.06496521146394336,0.0,0.02196007148076959,0.005901462162477509,0.015352398965862407,0.007577944129549684,0.01937472749491836,0.027130759452472047,0.014326858714942799,0.003500346964216629,0.017464889063565078,0.008142912411493421,0.013110948716846496,0.011766078567436949,0.11054955447338202,
4b,0.23302921349539732,0.364733911042903,0.06635118890230639,0.043603533859795936,0.008613851400159737,0.005004756699586481,0.03160683765343423,0.0,0.07289335452268086,0.006801126342847641,0.018983183908453296,0.005797994281056887,0.009439799809732016,0.022995712155616313,0.004636759883440416,0.004813943535658892,0.005996985152009944,0.011214362234258595,0.005214651179906829,0.00456043461786938,0.07370839932288586,
