Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,SampleID,Count
8e132b0b399c93753d280920695a9dae,Eukaryota,Cryptophyceae,Cryptophyceae,Cryptomonadales,Cryptomonadales,Unassigned,Unassigned,OL-PAMA-1a,392.0
fa719d972ba901a2de2a223c78063981,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,234.0
995b50dfac45ee11316c690e36786bcb,Eukaryota,Mollusca,Bivalvia,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,331.0
eaf29258e5fae09f16d2046ca14b5f76,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,252.0
e07585f0855c867e574ccd41d9cb4c85,Eukaryota,Ochrophyta,Xanthophyceae,uncultured,uncultured,uncultured,Unassigned,OL-PAMA-1a,95.0
3765b826539d8f147379928581ca7087,Eukaryota,Chlorophyta,Trebouxiophyceae,Incertae_Sedis,Incertae_Sedis,Choricystis,Unassigned,OL-PAMA-1a,464.0
414c99554a941066d065cd663f0e9899,Eukaryota,Chlorophyta,Prasinophytae,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,465.0
e03c70bbdb363a3e208041615e80d1c8,Eukaryota,Cercozoa,Novel_Clade_2,Novel_Clade_2,Novel_Clade_2,Novel_Clade_2,Unassigned,OL-PAMA-1a,407.0
93675cc5e9b2fdee60396c659eff9017,Eukaryota,Centrohelida,Centrohelida,Centrohelida,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,65.0
6a7976a8bcb1406d5c87bf38f26d20ff,Eukaryota,Ochrophyta,Chrysophyceae,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,200.0
a7a79061c1d9accc96f23ba3814cdcdb,Eukaryota,Cryptophyceae,Cryptophyceae,Cryptomonadales,Cryptomonadales,Cryptomonas,Unassigned,OL-PAMA-1a,292.0
8d20975e703871eb6dab4a790cafc879,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellales,Unassigned,Unassigned,OL-PAMA-1a,48.0
6f317dbc812b8ce06aebf4f6eacf76a4,Eukaryota,Diatomea,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Unassigned,Unassigned,OL-PAMA-1a,288.0
1a03660cf516ecc09f3b870ef3ae0331,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,497.0
43e236c2fb8d40d2fe8fb1865e6abb4c,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,98.0
0c8c3f2107320d3315d503155a807900,Eukaryota,Ochrophyta,Chrysophyceae,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,167.0
