,GCF_030704535.1,GCF_000150955.2,GCF_000002765.6,GCF_000208865.1,GCF_032362555.1,GCF_000016525.1,GCF_002287195.1,GCF_000007345.1,GCF_000204415.1,GCF_000063445.1,GCF_000012325.1,GCF_002310855.1,GCF_000967895.1,GCF_009362255.1,GCF_001653755.1
phylum,0.4918476741849229,0.9577050911517626,0.24457836843977396,0.8415004416378397,0.182505795535965,0.8913539135391353,0.6929309300912382,0.948705,0.9846925000000001,0.989085,0.99164,0.9917175,0.99462,0.84869,0.987935
class,0.49178678571727796,0.9571386678225945,0.24455331882364142,0.8414962809297286,0.181942150632286,0.8861488614886148,0.6929178380853754,0.948655,0.9655625,0.9848,0.98252,0.9916425000000001,0.988415,0.84869,0.987935
order,0.451700032745236,0.9456746263197284,0.24455331882364142,0.8414962809297286,0.169951059858114,0.8861488614886148,0.6929178380853754,0.9486399999999999,0.951675,0.984785,0.980535,0.9819875,0.98806,0.84869,0.987935
family,0.451700032745236,0.9020199847128592,0.24455331882364142,0.8413011899494144,0.061791845330103,0.8861488614886148,0.6929178380853754,0.9485750000000001,0.951675,0.984785,0.979135,0.980715,0.9880500000000001,0.84869,0.9879249999999999
genus,0.450916146948472,0.9020199847128592,0.24455152956534626,0.8196128054696427,0.0526174639,0.8861388613886139,0.6929164599794951,0.94734,0.9516375,0.984785,0.9790599999999999,0.980715,0.973205,0.8486400000000001,0.987545
species,0.3948800218,0.0,0.0,0.0,0.0526174639,0.0,0.6837806515725945,0.0,0.0,0.0,0.0,0.0,0.0,0.699455,0.0
