,GCF_030704535.1,GCF_000150955.2,GCF_000002765.6,GCF_000208865.1,GCF_032362555.1,GCF_000016525.1,GCF_002287195.1,GCF_000007345.1,GCF_000204415.1,GCF_000063445.1,GCF_000012325.1,GCF_002310855.1,GCF_000967895.1,GCF_009362255.1,GCF_001653755.1
phylum,0.849052211558547,0.9838334177199926,0.2643929726522605,0.924614284561632,0.398687858875093,0.892038920389204,0.3684004318156965,0.95796,0.9984500000000001,0.989785,0.99374,0.9924900000000001,0.9951,0.95379,0.99319
class,0.849052211558547,0.9838334177199926,0.2643929726522605,0.924614284561632,0.398654525036702,0.892038920389204,0.36764591884623865,0.95796,0.9984500000000001,0.989785,0.99374,0.9924900000000001,0.9951,0.95379,0.99319
order,0.8490053742757471,0.9838324527739463,0.2643929726522605,0.924614284561632,0.39558175120669004,0.892038920389204,0.36764591884623865,0.95796,0.9984500000000001,0.989785,0.99374,0.9924900000000001,0.9951,0.95379,0.99319
family,0.8490053742757471,0.9838319703009232,0.2643929726522605,0.924614284561632,0.284892195299446,0.892038920389204,0.36762628083744453,0.95796,0.9984500000000001,0.989785,0.99374,0.9924900000000001,0.9951,0.95379,0.99319
genus,0.848983233014786,0.9838319703009232,0.2643929726522605,0.924614284561632,0.192175639,0.892038920389204,0.33811207625225204,0.95796,0.9984500000000001,0.989785,0.99374,0.9924900000000001,0.9951,0.95379,0.99319
species,0.6696798954000001,0.0,0.0,0.0,0.192175639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95379,0.0
