phylum,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Deinococcota,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,9.000090000900009e-05,0.00011,6e-05,0.00011,6.000060000600006e-05,9.500076000608005e-05,7.100071000710006e-05,8.700069600556804e-05,8.500051000306003e-05,8.200065600524804e-05,8.732249617182157e-05,9.900121276170067e-05,8.04866427104197e-05,7.629931751169705e-05,9.144496184855604e-05
Dictyoglomota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-06,1.0000080000640005e-06,1.0000060000360005e-06,0.0,4.125472260086058e-06,0.0,1.3758400463319605e-06,2.062143716532353e-06,1.375112208248963e-06
Discosea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,2e-05,0.0,7.000056000448003e-06,2.000020000200002e-06,1.2000096000768006e-05,5.000030000180001e-06,1.0000080000640005e-06,4.125472260086058e-06,8.250101063475055e-06,8.942960301157744e-06,6.186431149597057e-06,8.250673249493778e-06
Duplornaviricota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elusimicrobiota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,2.000016000128001e-06,2.000020000200002e-06,7.000056000448003e-06,5.000030000180003e-06,4.000032000256002e-06,6.87578710014343e-07,3.437542109781273e-06,5.503360185327844e-06,6.873812388441177e-07,1.375112208248963e-06
Endomyxa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,0.0,1.0000080000640005e-06,0.0,2.062525265868764e-06,1.3758400463319605e-06,2.062143716532353e-06,6.875561041244814e-07
Entoprocta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0
Euglenozoa,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0004,0.0006000000000000001,0.0002,0.00015000150001500003,9e-05,0.00018,0.00014000000000000001,0.00017000170001700015,0.00019300154401228405,0.00018700187001870018,0.0002250018000144001,0.00019200115200691207,0.00020900167201329603,0.0001987102471941359,0.00018493976550622553,0.0001905538464169455,0.00018765507820444412,0.0001787645870722664
Evosea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,2.000020000200002e-05,1e-05,5e-05,2e-05,0.0,1.4000112000896006e-05,1.3000130001300012e-05,2.2000176001408014e-05,2.1000126000756008e-05,2.300018400147201e-05,2.750314840057372e-05,1.9250235814775127e-05,1.5134240509651567e-05,2.543310583723235e-05,2.0626683123734445e-05
Fibrobacterota,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,3.000024000192002e-06,3.0000300003000026e-06,4.000032000256002e-06,1.0000060000360005e-06,3.0000240001920015e-06,3.4378935500717147e-06,4.125050531737528e-06,7.567120254825783e-06,2.7495249553764707e-06,5.500448832995852e-06
