genus,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Acerihabitans,,,,,,,,,,,,,,,,,,,,,,,,,
Acetabularia,,,,,,,,,,,3.414717432132494e-05,,,,6.780580417683758e-05,3.3147596302056184e-06,,1.3206463243112007e-05,6.615572395863025e-06,3.327643063694628e-06,9.004020295062337e-06,,,2.247696111485865e-06,2.2517096105219352e-06
Acetanaerobacterium,,,,,,,,,,,,,,,,,,,,,,,,,
Acetatifactor,,,,,,,,,,,,,,,,,,,,,,,,,
Aceticella,,,,,,,,,,,3.414717432132494e-05,,,,,,3.3262705521941765e-06,,,,,2.253587147341925e-06,,2.247696111485865e-06,
Acetivibrio,,,,,,,,,,,,,,,,,,1.3206463243112007e-05,,,,2.253587147341925e-06,9.030711191083655e-06,8.99078444594346e-06,9.006838442087741e-06
Acetoanaerobium,,,,,,,,,,,,,,,,3.3147596302056184e-06,9.97881165658253e-06,3.3016158107780017e-06,,3.327643063694628e-06,1.1255025368827923e-05,,6.77303339331274e-06,2.247696111485865e-06,
Acetobacter,,,,,,,,,0.00035001750087504374,,3.414717432132494e-05,0.00010194372706266143,0.00010345184316700576,0.00013850895114096747,,0.00011601658705719665,0.0001297245515355729,9.244524270178404e-05,0.00012900366171932895,0.00011313986416561734,8.328718772932664e-05,8.112913730430931e-05,0.000130945312270713,0.00011238480557429325,0.00011033377091557484
Acetobacterium,,,,,,,,,,,3.414717432132494e-05,3.398124235422047e-05,,,,1.9888557781233707e-05,1.9957623313165058e-05,6.603231621556003e-06,6.615572395863025e-06,9.982929191083884e-06,1.1255025368827923e-05,1.8028697178735405e-05,9.030711191083653e-06,1.798156889188692e-05,4.5034192210438705e-06
Acetobacteroides,,,,,,,,,,,,,,,,,,,,,,,,,
Acetohalobium,,,,,,,,,,,,,,,3.390290208841879e-05,,,6.603231621556003e-06,,,,,,,2.2517096105219352e-06
Acetomicrobium,,,,,,,,,,,,,,,,,6.652541104388353e-06,3.3016158107780017e-06,3.3077861979315123e-06,,4.502010147531168e-06,,,4.49539222297173e-06,2.2517096105219352e-06
Acetonema,,,,,,,,,,,,,,,,,,,,,,,,,
Achaetomiella,,,,,,,,,,,,,,,,,,,,3.327643063694628e-06,,,,,
Achlya,0.0037037037037037034,,,,,,,,,,,,,,3.390290208841879e-05,1.6573798151028094e-05,1.6631352760970883e-05,1.650807905389001e-05,2.64622895834521e-05,1.6638215318473143e-05,4.502010147531168e-06,1.1267935736709625e-05,6.7730333933127395e-06,8.99078444594346e-06,9.006838442087743e-06
Achnanthes,,,,,,,,,,,,,,,,,6.652541104388353e-06,1.3206463243112007e-05,6.615572395863025e-06,1.3310572254778513e-05,,2.253587147341925e-06,9.030711191083653e-06,,2.2517096105219352e-06
Achnanthidium,,,,,,,,,,,,,,,,,,,,,,2.253587147341925e-06,,2.247696111485865e-06,
Acholeplasma,,,,,,,,,,,,3.398124235422047e-05,,3.462723778524187e-05,3.390290208841879e-05,1.9888557781233714e-05,1.3305082208776706e-05,3.3016158107780017e-06,9.923358593794537e-06,6.655286127389256e-06,2.2510050737655847e-05,1.352152288405155e-05,1.128838898885457e-05,1.348617666891519e-05,1.351025766313161e-05
Acholoe,,,,,,,,0.00033355570380253505,,,6.829434864264989e-05,6.796248470844094e-05,3.4483947722335256e-05,3.462723778524187e-05,3.390290208841879e-05,9.944278890616857e-06,3.658897607413594e-05,3.301615810778002e-05,1.984671718758907e-05,3.6604073700640904e-05,2.4761055811421435e-05,4.0564568652154654e-05,3.38651669665637e-05,3.3715441672287975e-05,2.026538649469742e-05
Achromatium,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter,,,,,,0.00033277870216306157,,0.00033355570380253505,0.00035001750087504374,0.0003506311360448808,0.00044391326617722424,0.0005776811200217481,0.00048277526811269357,0.0004501540912081443,0.00013561160835367516,0.000503843463791254,0.0004290889012330488,0.0003961938972933602,0.0004068577023455759,0.00040264481070705,0.00047721307563830393,0.0004890284109731977,0.0003792898700255135,0.00038435603506408285,0.0004728590182096064
Acidaminobacter,,,,,,,,,,,,,,,,,,,,,,,,,
Acidaminococcus,,,,,,,,,,,3.414717432132494e-05,,,,6.780580417683758e-05,3.3147596302056184e-06,3.3262705521941765e-06,3.3016158107780017e-06,3.3077861979315123e-06,9.982929191083885e-06,,,6.77303339331274e-06,8.99078444594346e-06,2.2517096105219352e-06
Acidianus,,,,,,,,,,,,,,,3.390290208841879e-05,,3.3262705521941765e-06,,3.3077861979315123e-06,,,4.50717429468385e-06,,,
Acidibacter,,,,,,,,,,,,,,,,,,,,,,,,,
Acidibrevibacterium,,,,,,,,,,,3.414717432132494e-05,3.398124235422047e-05,,,3.390290208841879e-05,1.988855778123371e-05,3.658897607413594e-05,2.311131067544601e-05,1.984671718758907e-05,2.3293501445862395e-05,2.4761055811421435e-05,1.80286971787354e-05,3.160748916879279e-05,1.573387278040105e-05,1.8013676884175485e-05
Acidicapsa,,,,,,,,,,,,,,,,,,,,,,,,,
Acididesulfobacillus,,,,,,,,,,,,,,,,,3.3262705521941765e-06,3.3016158107780017e-06,,3.327643063694628e-06,,,2.2576777977709133e-06,,6.755128831565807e-06
Acidiferrimicrobium,,,,,,,,,,,,,,,,,,,,,,,,,
Acidiferrobacter,,,,,,,,,,,3.414717432132494e-05,,3.4483947722335256e-05,6.925447557048373e-05,,3.314759630205618e-05,3.3262705521941766e-05,1.650807905389001e-05,2.97700757813836e-05,2.6621144509557025e-05,2.476105581142143e-05,2.0282284326077324e-05,2.709213357325096e-05,1.5733872780401055e-05,3.6027353768350964e-05
Acidihalobacter,,,0.003496503496503497,,,0.0006655574043261231,0.00034048348655090226,0.00033355570380253505,,,0.00013658869728529977,0.00010194372706266142,6.896789544467051e-05,0.00013850895114096747,0.00013561160835367516,0.00019225605855192586,0.00014302963374434962,0.00015517594310656609,0.000162081523698644,0.0001397610086751744,0.00015531935008982533,0.00011493294451443818,0.00018061422382167308,0.00015509103169252466,0.00018464018806279873
Acidiluteibacter,,,,,,,,,,,,,,,,,,,,,,,,,
Acidilutibacter,,,,,,,,,,,,,,,,3.3147596302056184e-06,,,,3.327643063694628e-06,,4.50717429468385e-06,,,4.503419221043871e-06
Acidimangrovimonas,,,,,,,,,,,,,,,,,,,,,,,,,
Acidimicrobium,,,,,,,,,,0.0003506311360448808,3.414717432132494e-05,,3.4483947722335256e-05,3.462723778524187e-05,,,9.97881165658253e-06,9.904847432334006e-06,1.6538930989657555e-05,2.6621144509557025e-05,1.1255025368827923e-05,6.760761442025775e-06,4.5153555955418275e-06,2.922004944931625e-05,4.503419221043871e-06
Acidiphilium,,,,,,,,,,,3.414717432132494e-05,3.398124235422047e-05,,,,3.314759630205619e-05,2.9936434969747587e-05,5.282585297244803e-05,1.3231144791726046e-05,3.9931716764335535e-05,4.0518091327780524e-05,5.1832504388864274e-05,4.966891155096011e-05,3.821083389525969e-05,5.4041030652526456e-05
Acidipila,,,,,,,,,,,,,,,,,,,,,,,,,
Acidipropionibacterium,,,,,,,,,0.00035001750087504374,,,3.398124235422047e-05,,,,1.6573798151028094e-05,2.3283893865359237e-05,2.3111310675446015e-05,2.9770075781383604e-05,1.9965858382167767e-05,2.476105581142143e-05,2.4789458620761176e-05,2.2576777977709136e-05,2.697235333783038e-05,2.251709610521936e-05
Acidisarcina,,,,,,,,,,,,3.398124235422047e-05,,,,9.944278890616857e-06,6.652541104388353e-06,,1.3231144791726046e-05,6.655286127389256e-06,2.251005073765584e-06,6.760761442025775e-06,6.77303339331274e-06,2.0229265003372784e-05,4.503419221043871e-06
Acidisoma,,,,,,,,,,,,,3.4483947722335256e-05,,,1.657379815102809e-05,3.3262705521941765e-06,2.6412926486224014e-05,3.3077861979315123e-06,1.663821531847314e-05,4.502010147531168e-06,1.352152288405155e-05,1.354606678662548e-05,8.99078444594346e-06,1.5761967273653545e-05
Acidisphaera,,,,,,,,,,,,,,,,,,,,,,,,,
Aciditerrimonas,,,,,,,,,,,,,,,,,,,,,,,,,
Acidithiobacillus,,,,,,0.00033277870216306157,,,,0.0003506311360448808,0.00013658869728529977,0.0001359249694168819,,0.0002077634267114512,0.00013561160835367516,7.623947149472922e-05,9.97881165658253e-05,6.933393202633805e-05,0.00011246473072967138,0.00011979515029300662,0.00011029924861451364,8.788989874633508e-05,0.00010836853429300385,0.00010114632501686391,6.079615948409226e-05
Acidithrix,,,,,,,,,,,,,,,,,,,,,,,,,
Acidobacterium,,,,,,,,,,,,,,6.925447557048373e-05,,1.3259038520822474e-05,1.3305082208776706e-05,9.904847432334006e-06,9.923358593794535e-06,1.663821531847314e-05,1.3506030442593507e-05,9.0143485893677e-06,1.5803744584396395e-05,2.0229265003372784e-05,9.006838442087743e-06
Acidocella,,,,,,,,,,,3.414717432132494e-05,3.398124235422047e-05,6.896789544467051e-05,,,9.944278890616857e-06,1.995762331316506e-05,1.3206463243112007e-05,1.6538930989657555e-05,1.3310572254778513e-05,1.5757035516359095e-05,1.5775110031393482e-05,1.354606678662548e-05,1.348617666891519e-05,9.006838442087743e-06
Acidomonas,,,,,,,,,,,,,,,,,,,,,,,,,
Acidomyces,,,,,,,,,,,,,,,,,,,,,,,,,
Acidothermus,,,,,,,,,,,,,,3.462723778524187e-05,,6.629519260411237e-06,3.3262705521941765e-06,,6.615572395863025e-06,,,4.50717429468385e-06,,2.247696111485865e-06,2.2517096105219352e-06
Acidovorax,,,,,,0.00033277870216306157,0.00034048348655090226,0.0010006671114076052,,0.0007012622720897616,0.001263445449889023,0.0007815685741470709,0.0010000344839477223,0.0006925447557048374,0.001152698671006239,0.0009215031771971618,0.0008149362852875732,0.0008947378847208384,0.0008964100596394396,0.0009250847717071066,0.0009971952476781538,0.0010321429134826016,0.0009730591308392638,0.0007821982467970809,0.0010245278727874806
Acineta,,,,,,,,,,,,,,,,1.3259038520822474e-05,,,,,2.251005073765584e-06,6.760761442025775e-06,6.77303339331274e-06,,4.503419221043871e-06
Acinetobacter,0.0037037037037037034,0.00353356890459364,,0.003508771929824561,0.010309278350515462,0.007321131447587355,0.004766768811712631,0.004336224149432956,0.0035001750087504373,0.0035063113604488078,0.0046440157077001915,0.004621448960173985,0.004276009517569571,0.004120641296443782,0.004542988879848118,0.004799771944537736,0.0045270542215362745,0.004711405761980208,0.00481613670418824,0.00491825644814066,0.0044457350206870295,0.004561260386220057,0.004637270196621457,0.004875252865812841,0.004820910276127464
Acionnavirus,,,,,,,,,,,,,,,,,,6.603231621556003e-06,6.615572395863025e-06,3.327643063694628e-06,,,,,
Acleris,,,,,,0.00033277870216306157,,,,,3.414717432132494e-05,6.796248470844094e-05,0.00010345184316700576,,,2.6518077041644947e-05,2.9936434969747587e-05,2.6412926486224014e-05,4.630900677104116e-05,5.656993208280868e-05,4.7271106549077275e-05,3.60573943574708e-05,5.192658934873101e-05,3.8210833895259704e-05,3.6027353768350964e-05
Acrasis,,,,,,,,,,,,,,,,,,,,,,,,,
Acremonium,,,,,,,,,,,,,,,,6.629519260411237e-06,,,,,,,,4.49539222297173e-06,
Acrobasis,,,,,,,,,,,3.414717432132494e-05,,,3.462723778524187e-05,,9.944278890616857e-06,9.97881165658253e-06,1.980969486466801e-05,1.3231144791726046e-05,1.9965858382167767e-05,6.753015221296753e-06,1.352152288405155e-05,2.9349811371021883e-05,1.798156889188692e-05,1.5761967273653545e-05
Acrocarpospora,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocera,,,,,,,,,,,3.414717432132494e-05,,3.4483947722335256e-05,,3.390290208841879e-05,1.988855778123371e-05,6.652541104388353e-06,1.3206463243112007e-05,9.923358593794535e-06,9.982929191083885e-06,6.753015221296753e-06,1.1267935736709625e-05,1.806142238216731e-05,1.348617666891519e-05,1.3510257663131614e-05
Acrochaetium,,,,,,,,,,,,,,,,,,,,,4.502010147531168e-06,,,,2.2517096105219352e-06
Acrolepiopsis,,,,,,,,,,,,,,,,,,,,,,2.253587147341925e-06,,,
Acromyrmex,,,,,,,,,,,,,,,3.390290208841879e-05,,,,,,2.251005073765584e-06,2.253587147341925e-06,,,
Acronicta,,,0.003496503496503497,,,,,,,,3.414717432132494e-05,,0.00010345184316700576,,,1.988855778123371e-05,9.978811656582529e-06,1.3206463243112007e-05,1.6538930989657558e-05,1.3310572254778513e-05,1.3506030442593507e-05,2.2535871473419257e-05,1.58037445843964e-05,1.798156889188692e-05,1.576196727365355e-05
Acropolitis,,,,,,,,,,,,,,,,,,,,,,2.253587147341925e-06,,,
Acropora,,,,,,,,,,,,,3.4483947722335256e-05,,3.390290208841879e-05,3.3147596302056184e-06,3.3262705521941765e-06,9.904847432334006e-06,1.323114479172605e-05,6.655286127389256e-06,9.004020295062337e-06,1.352152288405155e-05,2.2576777977709133e-06,4.49539222297173e-06,1.1258548052609677e-05
Acrosorium,,,,,,,,,,,,,,,,,,,3.3077861979315123e-06,,,,,,6.755128831565807e-06
Acrothesaurum,,,,,,,,,,,,,,,,,,,,,,,,2.247696111485865e-06,
Acrothrix,,,,,,,,,,,,,,,,,,,,,4.502010147531168e-06,,,,
Actibacterium,,,,,,0.00033277870216306157,0.00034048348655090226,0.00033355570380253505,,0.0003506311360448808,0.0005805019634625234,0.0005436998776675275,0.00031035552950101726,0.0007617992312753211,0.0004407377271494438,0.0005071582234211544,0.0004324151717852425,0.0005018456032381635,0.0004928601434915834,0.00048583588729926905,0.0004569540299743756,0.00045973177805750374,0.000494431437711667,0.00043155765340505527,0.0004976278239253137
Actinacidiphila,,,,,,,,,,,,,,6.925447557048373e-05,,9.944278890616857e-06,9.97881165658253e-06,1.650807905389001e-05,2.315450338552058e-05,3.327643063694628e-06,1.1255025368827922e-05,1.352152288405155e-05,1.58037445843964e-05,8.99078444594346e-06,2.702051532626322e-05
Actinarchaeum,,,,,,,,,,,,,,,,,,3.3016158107780017e-06,,,,,,2.247696111485865e-06,4.503419221043871e-06
Actinastrum,,,,,,,,,,,,,,,,,,,,,,,,,
Actinia,,,,,,,,,,,3.414717432132494e-05,,3.4483947722335256e-05,,,3.3147596302056184e-06,,6.603231621556003e-06,,9.982929191083885e-06,2.251005073765584e-06,9.0143485893677e-06,4.5153555955418275e-06,4.49539222297173e-06,4.503419221043871e-06
Actinidia,,,,,,,,,,,3.414717432132494e-05,,,,,6.629519260411237e-06,,9.904847432334006e-06,3.3077861979315123e-06,3.327643063694628e-06,2.251005073765584e-06,6.760761442025775e-06,6.77303339331274e-06,2.247696111485865e-06,
Actiniopteris,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoallomurus,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoalloteichus,,,,,,,,0.00033355570380253505,,,,3.398124235422047e-05,3.4483947722335256e-05,,,3.646235593226181e-05,3.3262705521941766e-05,1.3206463243112007e-05,3.969343437517814e-05,2.9948787573251656e-05,2.025904566389026e-05,2.0282284326077324e-05,3.838052256210553e-05,8.99078444594346e-06,3.152393454730709e-05
