Family,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
ANME-1a,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
ANME-1b,,,,,,,,,,,,,,,,,,,,,1.2e-06,1e-06,6e-07,1.4e-06,1.2e-06
ANME-2a-2b,,,,,,,,,,,,,,,,,,,,,4.7e-06,3e-06,3.2e-06,2.9e-06,2.4e-06
ANME-2c,,,,,,,,,,,,,,,2e-05,7e-06,1.5e-05,5e-06,,9e-06,9.6e-06,9.5e-06,9.5e-06,1.06e-05,9.8e-06
ANT06-05,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,5e-07,,6e-07
ASC21,,,,,,,,,,,,,,,,3.8e-05,3.9e-05,3.2e-05,3.1e-05,1.6e-05,3.64e-05,4.03e-05,3.9e-05,4.16e-05,3.93e-05
AT-s16,,,,,,,,,,,,,,,,,,,,6e-06,1.8e-06,1.8e-06,2.3e-06,1.4e-06,2.7e-06
AT-s3-28,,,,,,,,,,,,,,,,6e-06,,,,7e-06,2.5e-06,2.2e-06,2.3e-06,1.7e-06,2.4e-06
AT-s3-44,,,,,,,,,,,,,,,,,,,,,5e-07,,4e-07,,
AT4-11,,,,,,,,,,,,,,,,2e-05,,3e-06,2e-05,7e-06,1.36e-05,1.51e-05,1.47e-05,1.29e-05,1.43e-05
Abditibacteriaceae,,,,,,,,,,,,,,,,3e-06,4e-06,3e-06,3e-06,,2.7e-06,2.7e-06,2.6e-06,2.5e-06,2.9e-06
Abeoformidae,,,,,,,,,,,,,,,,,,,,,4e-07,,,,
Absconditabacteriales (SR1),,,,,,,,,,,,,2e-05,,7e-05,3.3e-05,3e-05,3.6e-05,3.2e-05,3.2e-05,3.24e-05,3.47e-05,3.59e-05,3.39e-05,3.36e-05
Acanthamoebidae,,,,,,,,,,,,,,,,,,,,,,,,,8e-07
Acantharia,,,,,,,,,,,,,,,,1.8e-05,2.3e-05,3e-05,2.2e-05,2.5e-05,3.11e-05,3.11e-05,2.83e-05,3.15e-05,2.77e-05
Acanthocerataceae,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Acanthometridae,,,,,,,,,,,,,,,,,,,,,,2e-07,,5e-07,
Acanthopleuribacteraceae,,,,,,,,,,,,,,2e-05,,6.9e-05,,,,2.4e-05,5.48e-05,7.23e-05,5.31e-05,7.56e-05,7.29e-05
Acari,,0.014,,,0.007,0.0041,0.0043,0.0047,0.0039,0.0029,0.00403,0.00379,0.004,0.00367,0.00386,0.003998,0.004037,0.003893,0.00404,0.004109,0.0039926,0.0040018,0.0039908,0.0039849,0.0039905
Acartiidae,,,,,,,,,,,,,,,,,,,,,2e-07,9e-07,2e-07,,
Acaulosporaceae,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,2e-07,3e-07,
Acetobacteraceae,,,,,,0.0003,,,0.0004,,0.00022,0.00022,0.0002,0.00026,0.00025,0.000263,0.000242,0.000222,0.000258,0.000245,0.0002519,0.0002442,0.0002485,0.000258,0.0002501
Achilidae,,,,,,,,,,,,,,,,,,,,4e-06,,,5e-07,4e-07,
Achnanthidiaceae,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Acholeplasmataceae,,,,,,,,,,,9e-05,9e-05,7e-05,9e-05,7e-05,5.3e-05,6e-05,9.6e-05,9.6e-05,7.2e-05,8.63e-05,8.3e-05,0.0001084,9.43e-05,0.0001032
Acholeplasmatales bacterium canine oral,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,,,
Acidaminococcaceae,,,,,,,,,,,,,,,,6e-06,8e-06,4e-06,,5e-06,5.5e-06,5.9e-06,5.7e-06,4.8e-06,1.12e-05
Acidiferrobacteraceae,,,,,,,,,,,,,,,,,,,,,4.4e-06,5.1e-06,4.7e-06,4.4e-06,4.9e-06
Acidilobaceae,,,,,,,,,,,,,,,,,,,2e-06,,8e-07,1.3e-06,1.1e-06,4e-07,1.1e-06
Acidimicrobiaceae,,,,,,,,,,,0.00015,0.00024,0.00023,0.00019,,0.000182,0.000222,0.000195,0.0002,0.000205,0.0001903,0.0001886,0.0001989,0.0001928,0.0001907
Acidimicrobiales Aciditerrimonas,,,,,,,,,,,,,,,,,,,,,6e-07,,,6e-07,8e-07
Acidimicrobiales Candidatus Microthrix,,,,,,,,,,,,,,,,,,2.1e-05,,,5.6e-06,7.6e-06,7.2e-06,7.2e-06,6.8e-06
Acidithiobacillaceae,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.7e-06,1.5e-06,2.2e-06,1.5e-06
Acidobacteriaceae,,,,,,,,,,,,,,,,6e-06,5e-06,1e-05,1.4e-05,9e-06,1.55e-05,1.32e-05,1.26e-05,1.38e-05,1.67e-05
Acidobacteriaceae (Subgroup 1),,,,,,,,,,,,,,,4e-05,4e-05,7.2e-05,3.4e-05,2.5e-05,6.5e-05,6e-05,6.23e-05,6.24e-05,7.49e-05,6.68e-05
Acidobacteriae,,,,,,,,,,,,,,,,4e-06,,,,,5e-07,,,6e-07,
Acidothermaceae,,,,,,,,,,,,,,,,,,,,,7.6e-06,6.5e-06,7.4e-06,7.3e-06,6e-06
Acinetidae,,,,,,,,,,,,,,,,,5e-06,,2e-06,,1.7e-06,1.8e-06,1.3e-06,8e-07,1.3e-06
Acipenseridae,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,4e-07,6e-07,
Acoela,,,,,,,,,,,,,,,,,,,,,5e-07,2e-07,,1.9e-06,9e-07
Aconoidasida,,,,,,,,,,,,,,,,,,,,,1e-06,1.5e-06,1.4e-06,1.4e-06,1.3e-06
Acoraceae,,,,,,,,,,,,,,,,,2e-06,,,,,,,4e-07,3e-07
Actinidiaceae,,,,,,,,,,,,,,,,,,,3e-06,,3.5e-06,2.9e-06,1.5e-06,9e-07,3e-06
Actinomycetaceae,,,,,,,,,,,,,,,,1e-05,9e-06,1.8e-05,1.7e-05,4e-06,2.31e-05,2.11e-05,9.15e-05,2.14e-05,1.98e-05
Actinomycetales Candidatus Ancillula,,,,,,,,,,,,,,,,,,,,,,,6e-07,2e-07,9e-07
Actinopolysporaceae,,,,,,,,,,,,,,,,,,,,2e-06,5e-07,1.5e-06,1.2e-06,1.3e-06,4e-07
Actinospicaceae,,,,,,,,,,,,,,,,,,,,,8e-07,8e-07,1e-06,7e-07,5e-07
Acytosteliaceae,,,,,,,,,,,,,,,,2e-06,,,,,2e-07,3e-07,,,
Addisoniidae,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,
Adinetida,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Adinetidae,,,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,
Adoxaceae,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,2e-07,1e-06,1.3e-06
Aerococcaceae,,,,,,,,,,,,,,,,,,,,,6.6e-06,6.6e-06,7.6e-06,7.6e-06,6.9e-06
Aeromonadaceae,,,,,,,,,,,,,,0.00015,,7e-05,9.6e-05,7.1e-05,8.3e-05,9e-05,8.26e-05,8.72e-05,8.37e-05,8.73e-05,9.51e-05
Agaricaceae,,,,,,,,,,,,,,,,2e-06,,3e-06,,2e-06,1.8e-06,1.9e-06,3.1e-06,3.8e-06,2.8e-06
Agaricostilbales,,,,,,,,,,,,,,,,,,,,,2e-07,,,4e-07,3e-07
Agfidae,,,,,,,,,,,,,,,,,6e-06,,,,2.2e-06,2.4e-06,1.6e-06,1.8e-06,2.1e-06
Aggregatidae,,,,,,,,,,,,,,,,,,,,,1.1e-06,1.2e-06,1.2e-06,1.2e-06,1.1e-06
Aglajidae,,,,,,,,,,,,,,,,,,,,,6e-07,,,,2.3e-06
Ahnfeltiaceae,,,,,,,,,,,,,,,,,,,,,,8e-07,8e-07,6e-07,1e-06
Aizoaceae,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Ajellomycetaceae,,,,,,,,,,,,,,,,,,,,2e-06,5.4e-06,3.4e-06,2.5e-06,2.6e-06,2.3e-06
Alabaminidae,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Alatinidae,,,,,,,,,,,,,,,,,,,,,3e-07,,3e-07,,2e-07
Alcaligenaceae,,,,,,,,,,,,,3e-05,,,8.9e-05,5.7e-05,8.7e-05,0.000112,7.8e-05,8.04e-05,7.75e-05,8.17e-05,8.15e-05,8.55e-05
Alcanivoracaceae,,,,,,,,,,,0.00013,0.00034,0.0002,0.00015,3e-05,0.000129,0.000129,0.000221,0.000196,0.000141,0.0001506,0.000198,0.0001968,0.000141,0.0002027
Alcanivoracaceae1,,,,,,,,,,,,,,,,1e-05,,,,,3.5e-06,3.4e-06,3.3e-06,3.5e-06,3.3e-06
Aleyrodidae,,,,,,,,,,,,,,,,2e-06,2e-06,,,0.000128,1.8e-06,1.8e-06,1.7e-06,1.6e-06,1.6e-06
Algiphilaceae,,,,,,,,,,,,,,,,,,5e-06,,,4.8e-06,3.9e-06,4.4e-06,3.7e-06,3.7e-06
Alicyclobacillaceae,,,,,,,,,,,,,,,,2e-06,2e-06,4e-06,,,2.2e-06,3.2e-06,2.6e-06,2.7e-06,3e-06
Alismataceae,,,,,,,,,,,0.00018,0.00022,0.00017,0.00024,0.00018,0.000199,0.000212,0.000172,0.000175,0.000206,0.0001904,0.0001864,0.0001924,0.0001886,0.0001888
Allantonematidae,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Alloascoideaceae,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Alloionematidae,,,,,,,,,,,,,,,,,,,,,5e-07,,6e-07,,
Alpheidae,,,,,,,,,,,,,,,,,,,,,7e-07,,2e-07,7e-07,5e-07
Alteromonadaceae,0.03,0.013,0.01,0.018,0.007,0.0173,0.0207,0.0173,0.0184,0.0196,0.01468,0.01609,0.01504,0.0166,0.0159,0.015517,0.015265,0.015302,0.01528,0.015326,0.0154369,0.0155269,0.0155322,0.0155388,0.0155192
Ambisporaceae,,,,,,,,,,,,,,,,,,,,,1e-06,,5e-07,9e-07,7e-07
Amblyosporidae,,,,,,,,,,,,,,,,,,,,,4e-07,,,4e-07,
Amborellaceae,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,4e-07,2e-07
Aminicenantales,,,,,,,,,,,,,,,,,,,,,2.2e-06,2.3e-06,2.1e-06,1.6e-06,1.7e-06
Amoebidae,,,,,,,,,,,,,,,,5e-06,3e-06,5e-06,6e-06,5e-06,4.6e-06,5.6e-06,6.4e-06,5.1e-06,4.8e-06
Amoebophilaceae,,,,,,,,,,,6e-05,3e-05,6e-05,,,6.6e-05,6.6e-05,6.4e-05,5.4e-05,6.2e-05,6.36e-05,5.91e-05,6.22e-05,6.5e-05,5.89e-05
Amphidiniaceae,,,,,,,,,,,,,,,,2.9e-05,,,5.7e-05,7.1e-05,2.4e-05,2.49e-05,2.14e-05,2.17e-05,2.19e-05
Amphidiniopsidaceae,,,,,,,,,,,4e-05,2e-05,4e-05,4e-05,5e-05,5e-05,4e-05,5.6e-05,4.4e-05,3.1e-05,4.39e-05,5.11e-05,4.99e-05,5.27e-05,4.82e-05
Amphifilaceae,,,,,,,,,,,0.00016,0.00014,0.00018,0.0002,0.00021,0.000103,0.000137,0.000116,0.000115,0.000102,0.0001166,0.000117,0.0001159,0.000113,0.0001125
Amphisiellidae,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
Amphisoleniaceae,,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,
Amphitremida,,,,,,,,,,,,,,,,,,9e-06,,9e-06,4.5e-06,5.8e-06,4.6e-06,4.8e-06,4.7e-06
Amphorogynaceae,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,6e-07,,5e-07
Ampullariidae,,,,,,,,,,,,,,,,,,,,,4e-07,,4e-07,4e-07,4e-07
