Family,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Cyrenidae,,,,,,,,,,,,,,,,,,,,,7e-07,,,8e-07,
Cystofilobasidiaceae,,,,,,,,,,,,,,,,,,,,,2.4e-06,2.4e-06,2.4e-06,2.3e-06,2.3e-06
Cystofilobasidiales,,,,,,,,,,,,,,,,1.1e-05,,,,,7.4e-06,7e-06,6.8e-06,6.9e-06,7.6e-06
Cytinaceae,,,,,,,,,,,,,,,,3.1e-05,3.1e-05,2.9e-05,4e-05,3.7e-05,3.07e-05,2.8e-05,2.97e-05,3.08e-05,2.99e-05
Cytophagaceae,,,,,,,,,0.0002,,0.00031,0.00036,0.00022,0.00023,0.00017,0.000315,0.000309,0.000343,0.000327,0.000294,0.0004035,0.000381,0.0003724,0.0003946,0.0003941
D52,,,,,,,,,,,,,2e-05,2e-05,,1.2e-05,3e-06,8e-06,6e-06,6e-06,1.05e-05,1.3e-05,1.24e-05,1.05e-05,9.8e-06
DA101 soil group,,,,,,,,,,,,,,,,,1e-05,,,,6.9e-06,6.9e-06,1.03e-05,1.02e-05,9.2e-06
DA111,,,,,,,,,,,,,,,,,,,,5e-06,3.5e-06,2.3e-06,2.2e-06,3.5e-06,4.2e-06
DEV007,,,,,,,,,,,0.00014,0.00023,0.00018,0.00016,8e-05,0.000152,0.000175,0.00017,0.000144,0.000118,0.0001465,0.0001562,0.0001521,0.0001458,0.0001455
DG-20,,,,,,,,,,,,,,,,,,,,,,,,,3e-07
DUNssu044,,,,,,,,,,,,,,,,,,,,,5e-07,,8e-07,7e-07,5e-07
Dacrymycetaceae,,,,,,,,,,,,,,,,2e-05,1.6e-05,1.1e-05,1.4e-05,,1.81e-05,2.91e-05,2.49e-05,1.57e-05,3.13e-05
Dacrymycetales,,,,,,,,,,,,,,,,9e-06,,1.6e-05,,,7.8e-06,6.8e-06,6.5e-06,7.7e-06,6.7e-06
Dactylopiidae,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,,
Dactylopodida,,,,,,0.0005,0.0003,,0.0005,,0.00034,0.00038,0.00037,0.00041,0.00034,0.000279,0.000297,0.000287,0.000351,0.000332,0.0003153,0.0003111,0.0003188,0.000314,0.0003083
Dactylopodolidae,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,,2e-07,3e-07
Dactylopusiidae,,,,,,,,,,,,,,,,,,,1.7e-05,,,1.8e-06,1.2e-06,2e-06,
Dadabacteriales,,,,,,,,,,,,,,,,,1.1e-05,,,8e-06,5.8e-06,4.5e-06,4.8e-06,4.2e-06,6e-06
Daesiidae,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Dajidae,,,,,,,,,,,,,,,,,,,,2e-06,1e-06,6e-07,8e-07,9e-07,7e-07
Dalceridae,,,,,,,,,,,,,,,,,,,,,3e-07,,,,2e-07
Daphniidae,,,,,,,,,,,0.00011,,,,,4e-05,7.1e-05,,4e-05,,4.6e-05,5.9e-06,6.4e-06,4.45e-05,6e-06
Dascillidae,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Dasycladaceae,,,,,,,,,,,,,,2e-05,2e-05,1e-05,9e-06,1.4e-05,9e-06,8e-06,1.3e-05,1.32e-05,1.36e-05,1.37e-05,1.35e-05
Debaryomycetaceae,,,,,0.002,0.0017,0.0035,0.0042,0.0025,0.0032,0.00254,0.00264,0.00235,0.00287,0.0029,0.002315,0.002391,0.002294,0.002438,0.00236,0.0023583,0.0023511,0.0023667,0.0023475,0.0023738
Deep 1,,,,,,,,,,,,,,,,1.4e-05,1.1e-05,6e-06,1.2e-05,1.1e-05,1.69e-05,1.48e-05,1.29e-05,1.23e-05,1.44e-05
Deep Sea Hydrothermal Vent Gp,,,,,,,,,,,,,,,,,,,2e-06,,4e-07,1.1e-06,8e-07,9e-07,2.5e-06
Deferribacteraceae,,,,,,,,,,,,,,,,6e-06,,3e-06,5e-06,4e-06,1.3e-06,1.3e-06,1.7e-06,1.8e-06,1.5e-06
Deferrisomataceae,,,,,,,,,,,,,,,,,1.2e-05,,,,2.4e-06,3.6e-06,4e-06,3.7e-06,2.8e-06
Defferrisomataceae,,,,,,,,,,,,,,,,5e-06,,6e-06,,,3.3e-06,3.5e-06,2.3e-06,2.6e-06,2.8e-06
Defluviicoccaceae,,,,,,,,,,,,,,,,,,,,,1e-06,5e-07,5e-07,8e-07,1e-06
Defluviitaleaceae,,,,,,,,,,,,,,,4e-05,1.6e-05,8e-06,3.9e-05,2e-05,2.3e-05,2.54e-05,2.37e-05,2.48e-05,2.34e-05,2.62e-05
Degeneriaceae,,,,,,,,,,,,,,,,,,,,,1e-06,1.2e-06,4e-07,9e-07,6e-07
Dehalococcoidaceae,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,
Dehalococcoidales Dehalobium,,,,,,,,,,,,,,,,,,,,,,9e-07,5e-07,,
Deinococcaceae,,,,,,,,,,,,,,,,,2.3e-05,1e-05,9e-06,5e-06,1.17e-05,1.18e-05,1.38e-05,1.52e-05,1.06e-05
Delitschiaceae,,,,,,,,,,,,,,,,,,,,,,,5e-07,,
Delphacidae,,,,,,,,,,,,,,,,9e-06,2e-06,,,,3.5e-06,3.9e-06,4e-06,3.5e-06,2.9e-06
Deltopylidae,,,,,,,,,,,,,,,,,,,,,2e-07,,3e-07,2e-07,3e-07
Demequinaceae,,,,,,,,,,,,,,,,,,,2e-06,,6e-07,8e-07,2e-07,6e-07,7e-07
Dendrocerotaceae,,,,,,0.0003,0.0002,0.0002,,0.0004,0.00023,0.00016,0.0002,0.00031,0.00023,0.000189,0.000226,0.000201,0.000196,0.000215,0.000205,0.0002103,0.0002131,0.0002047,0.0002072
Dendrogastridae,,,,,,,,,,,,,,,,,,,,,4e-07,9e-07,,,
Dendronotidae,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Derbidae,,,,,,,,,,,,,,,,,,,,,6e-07,1.3e-06,1e-06,1.3e-06,8e-07
Dermabacteraceae,,,,,,,,,,,,,,,,,,,,,,8e-07,2e-07,7e-07,3e-07
Dermacoccaceae,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,4e-07,4e-07,4e-07
Dermatophilaceae,,,,,,,,,,,,,,,,2e-06,6e-06,3e-06,1.2e-05,4e-06,8.1e-06,7.4e-06,7.5e-06,6.7e-06,6e-06
Derodontidae,,,,,,,,,,,,,,,,,,,,,,,,3e-07,
Desertifilaceae,,,,,,,,,,,,,,,,3e-06,,,,6e-06,1.6e-06,1.8e-06,1.1e-06,1.8e-06,1.6e-06
Desmidiaceae,,,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,
Desmodoridae,,,,,,,,,,,,,,,,1.2e-05,1.7e-05,5e-06,1.4e-05,1.2e-05,1.37e-05,1.53e-05,1.47e-05,1.49e-05,1.45e-05
Desmoscolecidae,,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,2e-07,2e-07
Desmosomatidae,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Desulfarculaceae,,,,,,,,,,,,,,,,,3e-06,,8e-06,,4.8e-06,2.9e-06,4.2e-06,4.3e-06,3.4e-06
Desulfatiglandaceae,,,,,,,,,,,,,,,,1e-05,1.6e-05,9e-06,1.4e-05,1e-05,1.22e-05,1.39e-05,1.42e-05,1.3e-05,1.29e-05
Desulfitobacteriaceae,,,,,,,,,,,,,,,,,,,,,5e-07,,9e-07,,2e-07
Desulfobacteraceae,,,,,,0.0007,0.0009,,0.0012,0.0015,0.00085,0.00069,0.0005,0.00069,0.00058,0.000579,0.000533,0.000557,0.000567,0.000549,0.0005388,0.0005303,0.0005265,0.0005314,0.0005311
Desulfobacteriaceae,,,,,,,,,,,,,,,,,,,,,,7e-07,,6e-07,1.6e-06
Desulfobulbaceae,,,,,,,,0.0006,,,0.00028,0.00043,0.00049,0.00029,0.00033,0.00023,0.000251,0.000247,0.000225,0.000204,0.0002397,0.0002382,0.0002511,0.0002498,0.0002412
Desulfocapsaceae,,,,,,0.0009,,,0.0004,0.0015,0.00059,0.00044,0.00048,0.00058,0.00053,0.000449,0.000436,0.000433,0.000421,0.000466,0.0003857,0.0003893,0.0003851,0.0003824,0.0003936
Desulfohalobiaceae,,,,,,,,,,,,,,,,,1.1e-05,,,,8.9e-06,7.5e-06,6.3e-06,7.3e-06,7.6e-06
Desulfomicrobiaceae,,,,,,,,,,,,,,,,1.3e-05,7e-06,3e-06,5e-06,5e-06,8e-06,7.2e-06,6.6e-06,7.6e-06,7e-06
Desulfosarcinaceae,,,,,,,,,0.0006,,0.00047,0.00039,0.00046,0.00048,0.00045,0.00041,0.000393,0.000383,0.000392,0.000407,0.0003885,0.0003816,0.0003932,0.000388,0.0003914
Desulfovibrionaceae,,,,,,,,,,,,3e-05,6e-05,6e-05,5e-05,5.5e-05,6.1e-05,5.4e-05,4.6e-05,4e-05,6.63e-05,6.49e-05,6.43e-05,6.64e-05,6.68e-05
Desulfurellaceae,,,,,,,,,,,5e-05,,,,,2.3e-05,2.4e-05,2.8e-05,3e-05,9e-06,2.5e-05,2.35e-05,2.39e-05,2.58e-05,2.35e-05
Desulfurobacteriaceae,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Desulfurococcaceae,,,,,,,,,,,,,,,,2e-06,3e-06,7e-06,1.1e-05,,7.9e-06,9.4e-06,8.9e-06,1e-05,8.6e-06
Desulfuromonadaceae,,,,,,,,,,,,,,,,,,,2e-06,,3.5e-06,2.7e-06,3.2e-06,1.8e-06,3.2e-06
Devosiaceae,,,,,,,,,,,,,,,,,7e-06,,,7e-06,4.1e-06,4.5e-06,3.5e-06,3.4e-06,4.5e-06
Diadesmidaceae,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,,2e-07,2e-07
Diapheromeridae,,,,,,,,,,,,,,,,,,,,,,,,3e-07,
Diaporthales,,,,,,,,,,,,,,,,,,,,2e-06,1.8e-06,1.9e-06,2.7e-06,1.9e-06,1.5e-06
Diapriidae,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,3e-07,,3e-07
Diatomea,,,,,,,,,,,,,,,2e-05,0.000133,0.000124,0.000144,0.000128,5.2e-05,0.0001491,0.0001717,0.0001626,0.0001266,0.0001649
Diatrypaceae,,,,,,,,,,,,,,,,1.5e-05,9e-06,1.7e-05,,,3.1e-06,2.6e-06,2.2e-06,3.5e-06,3.5e-06
Dicranaceae,,,,,,,,,,,,,,,,,,,4e-06,,4e-07,2e-07,1.9e-06,2.3e-06,3.2e-06
Dicroglossidae,,,,,,,,,,,,,,,,,8e-06,,7e-06,7e-06,6.3e-06,6e-06,7e-06,7e-06,7.2e-06
Dictyochaceae,,,,,,,,,,,,,,,,,,,,,5e-07,,,,
Dictyochophyceae,,,,,,,,,,,,,,,,,,5e-06,,8e-06,1.72e-05,1.26e-05,2.07e-05,6.8e-06,1.85e-05
Dictyoglomaceae,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,,3e-07,6e-07
Dictyonellidae,,,,,,,,,,,,,,,,,,,,,3e-07,6e-07,4e-07,6e-07,3e-07
Dictyopharidae,,,,,,,,,,,,,,,,,,,,2e-06,6e-07,1.1e-06,1.4e-06,1.3e-06,8e-07
Dictyosteliaceae,,,,,,,,,,,,,,,,,,,,,8e-07,3e-07,6e-07,5e-07,9e-07
Dictyotaceae,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Didymellaceae,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,2e-07,
Didymiaceae,,,,,,,,,,,,,,,,,,,,,,3e-07,,4e-07,8e-07
Didymosphaeriaceae,,,,,,,,,,,,,,,,,,,,,7e-07,4e-07,6e-07,,8e-07
Dietziaceae,,,,,,,,,,,,,,,,,,2e-06,,,1.4e-06,1.5e-06,1.5e-06,1.1e-06,1.3e-06
Difflugiidae,,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,2e-07,2e-07
Difflugina,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Digenea,,,,,,,,,,,4e-05,6e-05,7e-05,5e-05,6e-05,6.5e-05,6.9e-05,6e-05,6.9e-05,7.4e-05,9.96e-05,9.05e-05,9.68e-05,0.0001037,0.0001006
Dileptidae,,,,,,,0.0002,,,,7e-05,0.00011,0.00011,3e-05,0.00011,0.000139,0.000114,0.00013,0.00013,0.000108,0.0001211,0.0001242,0.0001185,0.0001211,0.0001212
Dilleniaceae,,,,,,,,,,,,,,,,,2e-06,,3e-06,,8e-07,6e-07,5e-07,4e-07,6e-07
Dimargaritaceae,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Dinobryaceae,,,,,,,,,,,,,,,,,,,,,,2.3e-06,,,
Dinophyceae,0.003,0.002,,0.003,,0.0019,0.0026,0.0025,0.0031,0.0025,0.00259,0.00291,0.00262,0.00273,0.00279,0.00271,0.0026,0.002511,0.002529,0.002716,0.0027432,0.0027501,0.0026692,0.0026918,0.0027021
Dinophysaceae,,,,,,,,,,,,,,,,,,,,3e-06,1.8e-06,1.1e-06,1.2e-06,2e-06,8.5e-06
Diogenidae,,,,,,,,,,,,,,,,,,,2e-06,,2.1e-06,1.6e-06,,2.2e-06,2e-06
Diopisthoporidae,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Dioscoreaceae,,,,,,,,,,,,,,,,,,,,,6e-07,2e-06,2.2e-06,3.4e-06,2.1e-06
Diplogasteridae,,,,,,,,,,,4e-05,4e-05,3e-05,6e-05,,4.9e-05,5.3e-05,5.9e-05,5.5e-05,4.1e-05,5.42e-05,5.31e-05,5.58e-05,5.13e-05,5.13e-05
Diplogasteroididae,,,,,,,,,,,,,,,,4e-06,,,,,4e-06,4.3e-06,4.9e-06,4.5e-06,3.9e-06
Diploneidaceae,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Diplonemidae,,,,,,0.0005,0.0004,0.0004,0.0004,,0.00017,0.00025,0.00022,0.00028,0.00026,0.000229,0.000237,0.000227,0.000221,0.000234,0.000225,0.0002337,0.0002284,0.0002262,0.0002299
Diplopoda,,,,,,,,,,,,,,,,1.4e-05,9e-06,1.1e-05,1.5e-05,2.1e-05,1.62e-05,1.61e-05,3.09e-05,2.93e-05,2.86e-05
Diplopsaliaceae,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Diplorickettsiaceae,,,,,,,,,,,,,,,,3e-06,5e-06,,,7e-06,7.4e-06,9.3e-06,6.9e-06,9.2e-06,9e-06
Diplotriaenidae,,,,,,,,,,,,,,,,,6e-06,,,,,,,,
Diplura,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,6e-07,7e-07
Dipluridae,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07,5e-07
Dipodascaceae,,,,,,,,,,,,,,,,,,,7e-06,,1.4e-06,1.2e-06,1.6e-06,1.4e-06,5.4e-06
Dipsocoridae,,,,,,,,,,,,,,,,,,,,,,3e-07,,3e-07,
Discinellaceae,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Discocephalidae,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Discosporangiaceae,,,,,,,,,,,,,,,,,,,,,,,,5e-07,
Distigmidae,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,3e-07,2e-07
Dolichodoridae,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,2e-07,4e-07,2e-07
Dolichomastigaceae,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Dorvilleidae,,,,,,,,,,,,,,,,,,,,,1e-06,1e-06,2.9e-06,1.2e-06,1.5e-06
Dorylaimia,,,,,,,,,,,0.00027,0.0002,0.00044,0.00028,0.00032,0.000326,0.000353,0.000284,0.000279,0.000281,0.0003054,0.0003037,0.0002975,0.0003029,0.0002943
Dorylaimida,,,,,,,,,,,,,,,,,,,,,,7e-07,1e-06,,6e-07
Dothioraceae,,,,,,,,,,,,,,,,,,,,,,3e-07,,,
Dotidae,,,,,,,,,,,,,,,,,,,,,4e-07,,,7e-07,
Draconibacterium,,,,,,,,,,,,,,,,,,1e-05,,,3.2e-06,4.1e-06,3.5e-06,2.9e-06,2.1e-06
Droseraceae,,,,,,,,,,,,,,,,,,,,,1.1e-06,1.2e-06,9e-07,8e-07,1.2e-06
Drosophilidae,,,,,,,,,,,,2e-05,,,,2.2e-05,1.3e-05,2.2e-05,1.1e-05,1.2e-05,1.66e-05,2.22e-05,1.79e-05,1.51e-05,1.56e-05
Drosophyllaceae,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Dryopteridaceae,,,,,,,,,,,,,,,,,,,,,,,6e-07,,1e-06
Dugesiidae,,,,,,,,,,,,,,,,1.6e-05,1e-05,1.9e-05,8e-06,1.5e-05,2.47e-05,1.67e-05,2.9e-05,2.25e-05,1.68e-05
Dumortieraceae,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Dunaliellaceae,,,,,,,,,,,,,,,,1e-05,1.1e-05,7e-06,1e-05,7e-06,1.42e-05,1.2e-05,1.24e-05,1.27e-05,1.19e-05
Dysteriidae,,,,,,,,,,,,,,,,,,3e-06,3e-06,,3e-06,3.3e-06,1.7e-06,3.9e-06,2.4e-06
Dytiscidae,,,,,,,,,,,,,,,,,,,,,1.4e-06,2e-06,1.3e-06,1.2e-06,5e-07
E6aC02,,,,,,,,,,,,2e-05,,,3e-05,1.8e-05,2e-05,7e-06,1.5e-05,9e-06,1.24e-05,1.18e-05,1.25e-05,1.22e-05,1.22e-05
EC3,,,,,,,,,,,,,,,,,,,1.8e-05,1.4e-05,5.1e-06,4.5e-06,4.7e-06,5.1e-06,5.1e-06
EF100-94H03,,,,,,,,,,,,,,,,,,,,,9e-07,1.2e-06,1e-06,8e-07,1e-06
EJ-E01,,,,,,,,,,,,,,,,,,,,,,3e-07,,,3e-07
EPR3968-O8a-Bc78,,,,,,,,,,,,,,,,,,1.8e-05,,1.4e-05,7.9e-06,5.2e-06,6.1e-06,5.8e-06,7.5e-06
EV818SWSAP88,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.5e-06,2.3e-06,1.1e-06,1.6e-06
Echinamoebida,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Echinophthiriidae,,,,,,,,,,,,,,,,,,,,,4e-07,7e-07,7e-07,4e-07,4e-07
Echinorhynchidae,,,,,,,,,,,,,,,,,,,,,6e-07,4e-07,3e-07,,
Echinothuriidae,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Echiura,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Ecphyadophoridae,,,,,,,,,,,,,,,,1.6e-05,,,,,1.31e-05,1.26e-05,1.29e-05,1.45e-05,1.39e-05
Ectobiidae,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Ectocarpaceae,,,,,,,,,,,,,,,,,,,,,6e-07,,3e-07,4e-07,
Ectothiorhodospiraceae,,,,,,,,,,,0.00073,0.00065,0.00062,0.00047,0.00024,0.000401,0.000404,0.00036,0.000416,0.000436,0.0003439,0.0003415,0.0003422,0.0003415,0.0003461
Eel-36e1D6,,,,,,,,,,,,,,,,1e-05,,,,,6.2e-06,5.3e-06,6e-06,4.7e-06,5.6e-06
Eimeriidae,,,,,,,,,,,,,,,,1.5e-05,8e-06,1.2e-05,1.9e-05,1.6e-05,2.08e-05,2.18e-05,2.12e-05,1.88e-05,2.04e-05
Elateridae,,,,,,,,,,,,,,,,,,,,,9e-07,6e-07,,1.2e-06,8e-07
Electridae,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Elev-16S-1332,,,,,,,,,,,,,,,,8e-06,,1e-05,,9e-06,1.31e-05,1.27e-05,1.35e-05,1.42e-05,1.29e-05
Ellin6055,,,,,,,,,,,,,,,,3e-06,,2e-06,,3e-06,4.2e-06,1.8e-06,4.2e-06,8e-07,4e-06
Ellipura,0.04,0.04,0.029,0.027,0.038,0.0305,0.0312,0.0309,0.032,0.029,0.03092,0.03128,0.03136,0.03121,0.03138,0.031001,0.031187,0.030697,0.031096,0.030991,0.0308844,0.0308383,0.0308336,0.0308771,0.0309135
Ellobiidae,,,,,,,,,,,,,,,,,,,,,6e-07,6e-07,4e-07,2e-07,8e-07
Ellobiopsidae,,,,,,,,,,,,,,,,,,,,,5e-07,2e-07,3e-07,1e-06,2e-07
Elmidae,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Elphidiidae,,,,,,,,,,,,,,,,,,,,,4e-07,8e-07,1e-06,2e-07,6e-07
Elsinoaceae,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Embiidae,,,,,,,,,,,,,,,,,,,,,6e-07,8e-07,6e-07,5e-07,6e-07
Emydidae,,,,,,,,,,,,,,,,,,,,,6e-07,5e-07,1e-06,4e-07,5e-07
Encyrtidae,,,,,,,,,,,2e-05,,,,4e-05,2.5e-05,2.2e-05,1.8e-05,1.1e-05,1.9e-05,1.68e-05,1.95e-05,1.66e-05,1.89e-05,1.9e-05
Endochytriaceae,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Endodontidae,,,,,,,,,,,,,,,,,,,,,,3e-07,,,
Endogonaceae,,,,,,,,,,,0.00049,0.00037,0.00045,0.00045,0.00045,0.000405,0.000451,0.000389,0.000407,0.000427,0.0004047,0.0004018,0.0004054,0.0003955,0.0004143
Endomychidae,,,,,,,,,,,,,,,,,2e-06,,,,7e-07,2e-07,2e-07,6e-07,6e-07
Endozoicomonadaceae,,,,,,,,,,,,,,,,,,,,,1.2e-06,1.6e-06,1.5e-06,1e-06,1.7e-06
Enoplia,0.019,,0.016,,,0.0076,0.0069,0.0084,0.0059,0.0073,0.00649,0.00662,0.00626,0.00667,0.00602,0.00668,0.006583,0.006516,0.00654,0.0065,0.0064466,0.0064898,0.0064419,0.0064523,0.0064587
Enoploteuthidae,,,,,,,,,,,,,,,,,,,,2e-06,4e-07,3e-07,2e-07,8e-07,1.3e-06
Ensiculiferaceae,,,,,,0.0012,0.001,0.0017,,0.0015,0.00144,0.00137,0.00146,0.00143,0.00126,0.001312,0.001355,0.00141,0.001241,0.001359,0.0013369,0.0013266,0.0013304,0.0013086,0.0013206
Enterobacteriaceae,,,,,,,,,,,,0.00045,0.00015,,,0.000163,0.000176,0.000151,0.000191,0.000148,0.0002698,0.0002523,0.0004553,0.0002513,0.0002411
Enterococcaceae,,,,,,,,,,,,3e-05,,,,9e-06,2.4e-05,2.5e-05,2.6e-05,1.2e-05,3.23e-05,3.28e-05,3.09e-05,3.25e-05,3.03e-05
Enterogona,,,,,,,,,,,,6e-05,,,,,,2.4e-05,3.3e-05,,,,3.53e-05,,
Entomophthoraceae,,,,,,,,,,,,,,,,1.1e-05,,,7e-06,4e-06,,3.8e-06,4e-06,5e-06,7.3e-06
Entomoplasmataceae,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,2e-07,2e-07,
Entomoplasmatales Candidatus Hepatoplasma,,,,,,,,,,,,,,,,,,,,3e-06,2.2e-06,2.2e-06,1.8e-06,1.5e-06,1.6e-06
Entorrhizaceae,,,,,,,,,,,,,,,,4.8e-05,5.6e-05,5.9e-05,5.2e-05,5e-05,6e-05,6.06e-05,5.8e-05,5.51e-05,6.31e-05
Entylomataceae,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Ephedraceae,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Ephelotidae,,,,,,,,,,0.0002,0.00016,0.0001,9e-05,0.00011,0.00013,0.000115,9.9e-05,8.6e-05,8.8e-05,0.000115,9.96e-05,0.0001029,0.0001097,0.0001042,0.0001063
Ephemerellidae,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Ephemeridae,,,,,,,,,,,0.00014,0.0001,,,,6e-05,4.9e-05,5.6e-05,3.6e-05,4.3e-05,4.8e-05,5.13e-05,4.73e-05,4.98e-05,4.82e-05
Epistylidae,,,,,,,,,,,,,,,,,,,,,7e-07,7e-07,4e-07,,4e-07
Epsilonematidae,,,,,,,,,,,,,,,,2e-06,3e-06,3e-06,5e-06,2e-06,3.7e-06,2.8e-06,3.4e-06,4.2e-06,3.5e-06
Eriocraniidae,,,,,,,,,,,,,,,,,,,,,,2e-07,,,3e-07
Erwiniaceae,,,,,,,,,,,,,,,,,,3e-06,3e-06,3e-06,3.4e-06,4.8e-06,3.5e-06,2.5e-06,2.6e-06
Erysipelotrichaceae,,,,,,0.0002,,,,,6e-05,6e-05,2e-05,6e-05,6e-05,0.000204,8.2e-05,0.000166,0.000124,0.000112,0.0003339,0.0002032,0.0003369,0.0001857,0.0001882
Erysiphaceae,,,,,,,,,,,,,,,3e-05,,4e-06,1.4e-05,,1e-05,,,2e-07,2e-07,
Erysiphales,,,,,,,,,,,0.00016,,0.00014,0.00021,,8.6e-05,0.000106,9e-05,8.7e-05,8.5e-05,8.84e-05,9.14e-05,9.42e-05,9.36e-05,9.2e-05
Erythrobacteraceae,,,,,,0.0035,0.0031,0.0032,0.0036,0.0032,0.00252,0.00235,0.00217,0.00213,0.00235,0.002072,0.002084,0.00202,0.00208,0.001994,0.0020469,0.0020508,0.0020461,0.0020505,0.002052
Erythroxylaceae,,,,,,,,,,,,,,,,,,,,,7e-07,8e-07,,,7e-07
Ethanoligenenaceae,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,,4e-07,4e-07
Eubacteriaceae,,,,,,,,,,,,,,,,,,4e-06,,,7.5e-06,8e-06,8.4e-06,7.2e-06,7.6e-06
Eubacteriales Family XII. Incertae Sedis,,,,,,,,,,,,,,,,,,,,,2.4e-06,2e-06,2.4e-06,1.7e-06,2.6e-06
Eucarida,,,,,,,,,,,,4e-05,,,,2.6e-05,2.9e-05,2.6e-05,2.5e-05,,1.43e-05,1.47e-05,1.37e-05,1.56e-05,1.59e-05
Eucestoda,,,,,,0.0003,0.0007,0.0004,0.0003,0.0007,0.00048,0.00051,0.00038,0.00041,0.00056,0.000444,0.000471,0.000472,0.000456,0.000475,0.0004768,0.0004723,0.0004755,0.0004837,0.0004777
Eucinetidae,,,,,,,,,,,,,,,,,,,,,,3e-07,,3e-07,
Eucnemidae,,,,,,,,,,,,,,,,3e-06,,,,,5e-07,6e-07,8e-07,1.1e-06,7e-07
Euglenaceae,,,,,,,,,,0.0003,0.00018,0.00023,0.00022,0.0002,0.00015,0.00021,0.000199,0.000202,0.000189,0.000211,0.0002094,0.0002079,0.0002092,0.0002095,0.000206
Euglenozoa,,,,,,0.0006,0.0005,0.0002,,,5e-05,7e-05,0.0001,0.00012,9e-05,0.000234,0.000241,0.000204,0.000242,0.000221,0.0002312,0.0002298,0.0002214,0.0002321,0.0002315
Euglyphidae,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Eulichadidae,,,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07
Eunotiaceae,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.5e-06,1.8e-06,1.6e-06,1.7e-06
Euphorbiaceae,,,,,,,,,,,,0.00047,,,0.00049,0.0003,0.000383,0.000333,0.000336,0.000361,0.0002309,0.0002314,0.0002334,0.0002364,0.000231
Euphroniaceae,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Euplotia,,,,,,,,,,,,,,,,,,,,,,,4e-07,,2e-07
