genus,1000,10000,100000,1000000,10000000
Aaosphaeria,4.736651464521124e-06,4.736651464521124e-06,4.736651464521124e-06,4.736651464521125e-06,4.5021806937335e-06
Abditibacterium,,,,,
Abelmoschus,,,,,
Abidjanvirus,,,,,
Abies,2.2526483789319304e-06,2.2526483789319304e-06,2.2526483789319304e-06,2.2526483789319304e-06,2.2526483789319304e-06
Abiotrophia,1.0344881529458809e-05,1.0344881529458809e-05,1.0344881529458809e-05,2.2507627775311245e-06,2.2507627775311245e-06
Abortiporus,,,,,
Abrostola,1.2025377634168706e-05,1.2025377634168706e-05,1.2025377634168706e-05,9.837625188743695e-06,1.1711568363633146e-05
Abrus,1.8117414750781197e-05,1.8117414750781197e-05,1.8117414750781197e-05,2.253587147341925e-06,2.253587147341925e-06
Abscondita,,,,,
Absidia,,,,,
Abyssalbus,0.00019556757507977794,0.000195567575079778,0.00017560985259535195,0.00016420020877011692,0.00015133457113390873
Abyssibacter,,,,,
Abyssibius,0.0002978881417219227,0.0002978881417219228,0.00027107835105337843,0.0002529657100284222,0.00026264183954336217
Abyssicoccus,4.088012276461079e-06,4.088012276461079e-06,4.088012276461079e-06,4.088012276461079e-06,3.752137363464532e-06
Abyssisolibacter,,,,,
Acacia,,,,,
Acanthamoeba,2.3796627043394476e-05,2.3796627043394476e-05,2.3796627043394476e-05,1.4733715350557943e-05,1.622256245393262e-05
Acanthephyra,3.373198648368657e-06,3.373198648368657e-06,3.373198648368657e-06,3.373198648368657e-06,3.373198648368657e-06
Acanthoceras,0.00015724732935265586,0.00015724732935265586,0.00015724732935265586,0.00016113902403416862,0.00014321037289890607
Acanthocheilonema,,,,,
Acanthocnemus,3.462723778524187e-05,3.462723778524187e-05,3.462723778524187e-05,,
Acanthocyclops,,,,,
Acanthodendrilla,3.3147596302056184e-06,3.3147596302056184e-06,3.3147596302056184e-06,3.3147596302056184e-06,
Acanthophora,,,,,
Acanthopleuribacter,,,,,
Acanthoscelides,,,,,
Acanthotrema,3.3147596302056184e-06,3.3147596302056184e-06,3.3147596302056184e-06,3.3147596302056184e-06,
Acanvirus,,,,,
Acaricomes,,,,,
Acaromyces,3.4972877732959766e-06,3.4972877732959766e-06,3.4972877732959766e-06,3.4972877732959766e-06,3.6045545519402017e-06
Acarospora,,,,,
Acartia,4.313710584965218e-05,4.313710584965219e-05,4.313710584965219e-05,3.981270979341495e-05,4.9105604225145874e-05
Acarus,,,,,
Acaryochloris,5.761526376961153e-05,5.7615263769611536e-05,5.7615263769611536e-05,3.729073615102523e-05,4.009619315767963e-05
Acaulospora,,,,,
Acavomonas,4.502010147531168e-06,4.502010147531168e-06,4.502010147531168e-06,4.502010147531168e-06,4.502010147531168e-06
Acentria,9.87036209416831e-06,9.870362094168311e-06,9.87036209416831e-06,7.3946745250609545e-06,1.0810782073119996e-05
Acephala,,,,,
Acer,1.6281162041030634e-05,1.628116204103063e-05,1.628116204103063e-05,1.083967467044962e-05,1.305813353779903e-05
Aceraius,,,,,
Acerihabitans,,,,,
Acetabularia,1.576898253867866e-05,1.576898253867866e-05,1.5768982538678658e-05,5.709694907135059e-06,4.501142005690045e-06
Acetanaerobacterium,,,,,
Acetatifactor,,,,,
Aceticella,1.0493682033086728e-05,1.0493682033086726e-05,1.0493682033086726e-05,2.6091846036739884e-06,2.2506416294138953e-06
Acetivibrio,8.497676893913757e-06,8.497676893913757e-06,8.497676893913757e-06,8.497676893913757e-06,7.3204803066141946e-06
Acetoanaerobium,5.742655004983901e-06,5.742655004983901e-06,5.742655004983901e-06,5.742655004983901e-06,6.75858495787551e-06
Acetobacter,0.00012176528783604802,0.00012176528783604803,0.00010546155833326261,0.0001098410120973717,0.0001036160427588434
Acetobacterium,1.599797940250207e-05,1.599797940250207e-05,1.599797940250207e-05,1.2384733615447945e-05,1.2159884370315554e-05
Acetobacteroides,,,,,
Acetohalobium,1.4252614440165577e-05,1.4252614440165577e-05,1.4252614440165577e-05,4.427470616038969e-06,2.2517096105219352e-06
Acetomicrobium,4.08517584902045e-06,4.08517584902045e-06,4.08517584902045e-06,4.08517584902045e-06,3.7497039936749445e-06
Acetonema,,,,,
Achaetomiella,3.327643063694628e-06,3.327643063694628e-06,3.327643063694628e-06,3.327643063694628e-06,
Achlya,0.00032258007856879344,1.5205203556528886e-05,1.5205203556528886e-05,1.3335433703339896e-05,8.108120433116946e-06
Achnanthes,7.617308135298486e-06,7.617308135298486e-06,7.617308135298486e-06,7.617308135298487e-06,4.512002649649171e-06
Achnanthidium,2.2506416294138953e-06,2.2506416294138953e-06,2.2506416294138953e-06,2.2506416294138953e-06,2.2506416294138953e-06
Acholeplasma,1.7684744591727856e-05,1.7684744591727856e-05,1.7684744591727856e-05,1.27390297464581e-05,1.4863279388521751e-05
Acholoe,5.3874903019219364e-05,5.3874903019219364e-05,3.522951630033165e-05,2.8917182355788796e-05,3.063432391942504e-05
Achromatium,,,,,
Achromobacter,0.0004104470306336842,0.00041044703063368416,0.0004287673692769652,0.00043413751852809933,0.0004405492819821409
Acidaminobacter,,,,,
Acidaminococcus,1.4320186733013387e-05,1.4320186733013385e-05,1.4320186733013387e-05,5.156111103996416e-06,6.005175816592713e-06
Acidianus,1.1261033283307082e-05,1.1261033283307082e-05,1.1261033283307082e-05,3.71374368160318e-06,4.50717429468385e-06
Acidibacter,,,,,
Acidibrevibacterium,2.560809028859673e-05,2.5608090288596725e-05,2.560809028859673e-05,2.308738549877933e-05,2.1628958364705232e-05
Acidicapsa,,,,,
