,1K,10K,100K,1M,10M
Acidothermales,,,,3e-06,1.65e-06
Candidatus Mcinerneyibacteriales,,,,2e-06,1.3750000000000002e-06
Prorocentrales,,,,3e-06,1.6499999999999999e-06
Rhodymeniales,,,,2e-06,7.249999999999999e-07
Cercomonadida,,,,2.333333333333333e-06,1.025e-06
Candidatus Altiarchaeales,,,,2.8e-06,2.4e-06
Gloeomargaritales,,,,1.6e-06,1.2250000000000001e-06
Auriculariales,,,,2.4e-06,1.4749999999999999e-06
Chaetophorales,,,,2e-06,1.25e-06
Erythropeltidales,,,,2e-06,1.2e-06
Hildenbrandiales,,,,1.2e-06,1.0749999999999999e-06
Pneumocystidales,,,,3.2000000000000007e-06,3.0250000000000003e-06
Entylomatales,,,,1.3333333333333332e-06,9.000000000000001e-07
Myzocytiopsidales,,,,1.5e-06,2e-07
Urostylida,,,,1.75e-06,7.75e-07
Egibacterales,,,,1.4999999999999998e-06,1.15e-06
Candidatus Gastranaerophilales,,,,2.25e-06,1.375e-06
Picocystales,,,,2.4e-06,2.5250000000000004e-06
Neobodonida,,,,2e-06,2.75e-07
Methanococcales,,,,2e-06,2.125e-06
Sulfolobales,,,,1.6666666666666665e-06,9.75e-07
Haplosporida,,,,1e-06,2.5e-07
Ahnfeltiales,,,,1e-06,2e-07
Patellariales,,,,2e-06,1.35e-06
Glaucocystales,,,,1.6666666666666665e-06,1.625e-06
Thelephorales,,,,1e-06,1e-06
Phallales,,,,1.2e-06,4.5e-07
Cystofilobasidiales,,,,1e-06,1.2499999999999999e-06
Desulfurococcales,,,,1e-06,6.75e-07
Prasiolales,,,,1e-06,7.5e-07
Endogenida,,,,1e-06,1e-07
Dictyoglomales,,,,1e-06,1e-06
Chlamydodontida,,,,1e-06,1.275e-06
Chaetosphaeriales,,,,1.3333333333333332e-06,7.000000000000001e-07
Nassellaria,,,,1e-06,1e-07
Himatismenida,,,,1e-06,4.4999999999999993e-07
Synhymeniida,,,,1e-06,1e-07
Acrosymphytales,,,,1e-06,
Rhabdonematales,,,,1e-06,5.5e-07
Umbilicariales,,,,1e-06,4.75e-07
Gloeophyllales,,,,1.6666666666666665e-06,1.425e-06
Mytilinidiales,,,,1.2499999999999999e-06,1.2499999999999999e-06
Actinopolysporales,,,,1.2499999999999999e-06,1.35e-06
Microthyriales,,,,1.2499999999999999e-06,1.25e-06
Trypetheliales,,,,1.3333333333333332e-06,6.249999999999999e-07
Acrospermales,,,,1.5e-06,5.75e-07
Thermogemmatisporales,,,,1.2499999999999999e-06,1.225e-06
Mastogloiales,,,,1.2499999999999999e-06,1.2e-06
Methanomassiliicoccales,,,,2.8e-06,3.4250000000000002e-06
Caliciales,,,,1e-06,8.249999999999999e-07
Monomastigales,,,,2e-06,1.05e-06
Marsupiomonadales,,,,2e-06,2.05e-06
Phaeomoniellales,,,,1e-06,5.499999999999999e-07
Goniochloridales,,,,1e-06,3.75e-07
Acanthoecida,,,,1e-06,5e-07
Coprothermobacterales,,,,1e-06,5.75e-07
Metopida,,,,1e-06,9e-07
Thermotomaculales,,,,1.4e-06,7.25e-07
Labyrinthulida,,,,1e-06,2.25e-07
Lineolatales,,,,1.2499999999999999e-06,1.2250000000000001e-06
Candidatus Limnocylindrales,,,,1e-06,2.5e-07
Atribacterales,,,,1e-06,5.5e-07
