Order,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Acrosymphytales,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,2e-07,7e-07,2e-07
Actiniaria,,,,,,,,,,,,2e-05,,,,1.6e-05,1.9e-05,1.2e-05,1.5e-05,1.8e-05,1.3e-05,1.27e-05,1.3e-05,1.25e-05,1.53e-05
Actinomarinales,,,,,,,,,,,0.00012,0.00012,0.00024,0.00012,0.00011,0.000124,0.000136,0.000114,0.00015,0.000133,0.0001242,0.0001189,0.0001226,0.0001218,0.0001248
Actinomycetales,,,,,,,,,0.0016,,0.0002,,0.0002,0.00017,0.00024,0.000165,0.000171,0.000153,0.000174,0.000145,0.0001577,0.0001511,0.000233,0.0001601,0.0001605
Actinopolysporales,,,,,,,,,,,,,,,,,,,,2e-06,5e-07,1.5e-06,1.2e-06,1.3e-06,4e-07
Acytosteliales,,,,,,,,,,,,,,,,2e-06,,,2e-06,,4e-07,3e-07,2e-07,,
Adinetida,,,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,
Aeromonadales,,,,,,0.0004,,,,0.0006,0.00043,0.00037,0.00033,0.00066,0.0004,0.000433,0.000514,0.000465,0.000479,0.000471,0.0004473,0.0004638,0.0004537,0.0004641,0.0004619
Agamococcidiorida,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,,
Agaricales,,,,,,,,,,,9e-05,5e-05,9e-05,4e-05,4e-05,6.4e-05,4.8e-05,5.6e-05,7.1e-05,6.3e-05,7.04e-05,7.21e-05,7.45e-05,7.3e-05,7.25e-05
Agaricomycetes,,,,,,,,,,,,,,,,8e-06,1.1e-05,1e-05,1.3e-05,1.1e-05,1.41e-05,1.57e-05,1.48e-05,1.69e-05,1.61e-05
Agaricostilbales,,,,,,,,,,,,,,,,,,,,,1.5e-06,7e-07,7e-07,1.6e-06,1.1e-06
Agaricostilbomycetes,,,,,,,,,,,,,,,,,,,,,2e-07,,,4e-07,3e-07
Ahnfeltiales,,,,,,,,,,,,,,,,,,,,,,8e-07,8e-07,6e-07,1e-06
Alismatales,,,,,,,,,,,0.00018,0.00022,0.00017,0.00024,0.00018,0.000199,0.000212,0.000172,0.000175,0.000206,0.0002136,0.0002045,0.0002056,0.0002073,0.0002079
Alloascoideales,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Alphaproteobacteria Unknown Family,,,,,,,,,,,8e-05,6e-05,0.0001,,,9.7e-05,0.000108,0.0001,0.000107,9.8e-05,0.0001043,9.84e-05,0.0001048,0.000101,0.0001018
Alphaproteobacteria uncultured,,,,,,,,,,,,,,,,3.5e-05,4e-05,3.7e-05,3.2e-05,4.1e-05,3.52e-05,3.42e-05,3.25e-05,3.59e-05,3.34e-05
Alteromonadales,0.077,0.065,0.063,0.078,0.062,0.066,0.0654,0.0626,0.0668,0.0648,0.05986,0.06108,0.0584,0.0612,0.06064,0.060576,0.060222,0.060314,0.060397,0.060233,0.0604351,0.0606243,0.0606035,0.0605626,0.060577
Amblyospora,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Amborellales,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,4e-07,2e-07
Aminicenantales,,,,,,,,,,,,,,,,,,,,,8e-07,6e-07,7e-07,7e-07,5e-07
Amoeboaphelidium protococcarum  ,,,,,,,,,,,,,,,,,,,,,4e-07,,,,3e-07
Amphidiniales,,,,,,,,,,,,,,,,2.9e-05,,,5.7e-05,7.1e-05,2.4e-05,2.49e-05,2.14e-05,2.17e-05,2.19e-05
Amphifilida,,,,,,,,,,,0.00016,0.00014,0.00018,0.0002,0.00021,0.000103,0.000137,0.000116,0.000115,0.000102,0.0001166,0.000117,0.0001159,0.000113,0.0001125
Amphioxiformes,,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,3e-07,3e-07
Amphipoda,,,,,,,,,,,,,,,,,,2e-06,,,2e-07,8e-07,1.1e-06,4e-07,5e-07
Amphitremida,,,,,,,,,,,,,,,,,,9e-06,,9e-06,3.4e-06,4.5e-06,3.4e-06,3.9e-06,3.8e-06
Anaerolineales,,,,,,,,,,,3e-05,6e-05,4e-05,0.0001,5e-05,0.000142,8e-05,0.000256,0.000215,0.00021,0.0003025,0.0002556,0.0002514,0.0002598,0.0002518
Anaeroplasmatales,,,,,,,,,,,,,,,,,,,,,2.7e-06,2.4e-06,2e-06,2.6e-06,2.5e-06
Anaerosomatales,,,,,,,,,,,,,,,,,,,,,1e-06,1e-06,1.1e-06,,9e-07
Ancyromonadida,,,,,,,,,,,,,,,,,,,,,7e-07,9e-07,9e-07,1.1e-06,7e-07
Andreaeales,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,2e-07,
Anopla,,,,,,,,,,,,,,,,,,,,,,4e-07,5e-07,5e-07,5e-07
Anthoathecata,,,,,,,,,,,,,,,,,2.4e-05,,,,1.93e-05,1e-05,2.19e-05,2.19e-05,1.06e-05
Anthozoa,,,,,,,,,,,,,,,,9e-06,8e-06,,,,8.6e-06,7.6e-06,7e-06,8.3e-06,7.9e-06
Anura,,,,,,,,,,,,2e-05,,,,2e-05,1.7e-05,4e-06,1.7e-05,1.8e-05,2.01e-05,1.86e-05,1.96e-05,1.92e-05,1.94e-05
Aphelidium aff. melosirae P-1,,,,,,,,,,,,,,,,,,,,,8.7e-06,,,,5.7e-06
Aphragmophora,,,,,,,,,,,,,,,,,,,,,6e-07,,,2e-07,2e-07
Apiales,,,,,,,,,,,,,,,,,,,,,1.4e-06,2.3e-06,1.7e-06,8e-07,1.5e-06
Apicomplexa,,,,,,,,,,,,0.00017,,2e-05,,0.000108,0.000116,0.000138,0.000132,0.000127,0.0001276,0.0001273,0.0001374,0.000124,0.0001305
Aplysiida,,,,,,,,,,,,,,,,,,,,,3e-07,,,5e-07,
Apusomonadida,,,,,,,,,,,,,,,,,,,,,1e-06,2.3e-06,1.7e-06,1.3e-06,1.8e-06
Aquificales,,,,,,,,,,,,,,,,,1.3e-05,1e-05,,,1.35e-05,2.12e-05,2.56e-05,1.29e-05,2.05e-05
Araeolaimida,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07
Araneae,,,,,,,,,,,,,2e-05,,,,,,,,1.7e-06,1.8e-06,1.3e-06,1.9e-06,2e-06
Araucariales,,,,,,0.004,0.0045,0.0062,0.0037,0.0054,0.00309,0.00311,0.00325,0.003,0.00295,0.003075,0.002984,0.003137,0.003011,0.003001,0.0030595,0.0030609,0.0030702,0.0030581,0.0030451
Arcellinida,,,,,,,,,,,,,,,,,,,,,2e-07,7e-07,4e-07,2e-07,6e-07
Archaeoglobales,,,,,,,,,,,,,,,,,,,,,1.8e-06,4.2e-06,1.6e-06,8e-07,1.5e-06
Archaeognatha,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,3e-07,
Archaeosporales,,,,,,,,,,,,,,,,,,,,,1.2e-06,4e-07,1e-06,9e-07,1.1e-06
Archigregarinorida,,,,,,0.0005,,0.0006,0.0003,0.0005,0.00046,0.00047,0.00048,0.00044,0.00055,0.00047,0.00046,0.000454,0.000433,0.000477,0.0004754,0.000476,0.0004721,0.0004696,0.0004823
Architaenioglossa,,,,,,,,,,,,,,,,,,,,,4e-07,,4e-07,4e-07,4e-07
Ardenticatenales,,,,,,,,,,,,,,,,,,3e-06,1.1e-05,,4.5e-06,4e-06,3.4e-06,4.7e-06,3.1e-06
Arecales,,,,,,,,,,,,,,,,,,,7e-06,2e-06,1.11e-05,9e-06,8.8e-06,9.7e-06,1.18e-05
Arenicellales,,,,,,0.0006,,0.0012,0.0014,0.0012,0.00107,0.00101,0.00106,0.00116,0.00118,0.00114,0.001168,0.00106,0.001202,0.000961,0.0009318,0.0009457,0.0009369,0.0009273,0.0009363
Arguloida,,,,,,,,,,,,,,,,,,,,6e-06,2.8e-06,3.1e-06,2.1e-06,3.6e-06,3e-06
Arhynchobdellida,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Armatimonadales,,,,,,,,,,,,,,,,,,,,2e-06,1.2e-06,1.3e-06,1.1e-06,8e-07,9e-07
Arthoniomycetes,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07
Arthracanthida,,,,,,,,,,,,,,,,,,,,,,2e-07,,5e-07,
Artiodactyla,,,,,,,,,,,,,,,,,,,2e-06,,4e-07,1e-06,1.5e-06,1.1e-06,1.1e-06
Ascoideales,,,,,,,,,,,,,,,,,3e-06,,,2e-06,2.2e-06,2.6e-06,2.7e-06,2.8e-06,2.2e-06
Asparagales,,,,,,,,,,,0.00049,0.00033,,0.00064,,0.000304,0.000356,0.000151,0.000292,0.000189,0.0003004,0.0002451,0.0002639,0.0002721,0.0003037
Asterales,,,,,,,,,,,,,,,,,,,,,2e-07,8e-07,6e-07,9e-07,7e-07
Auriculariales,,,,,,,,,,,0.00014,,,,0.00012,9e-05,9.2e-05,8.1e-05,0.0001,9.1e-05,7.86e-05,8.02e-05,8.04e-05,8.36e-05,8.44e-05
Austrobaileyales,,,,,,,,,,,,,,,,,,,,,6e-07,7e-07,,,
Axinellida,,,,,,,,,,,,,,,,,,,,,4e-07,,,2e-07,
B1-7BS,,,,,,,,,,,,,,,,,,,,,,,4e-07,,
B2M28,,,,,,,,,,,0.00035,0.00039,0.00018,0.0002,0.00023,0.000172,0.000185,0.000167,0.000186,0.000184,0.0001771,0.0001728,0.0001733,0.000176,0.0001664
BC-COM435,,,,,,,,,,,,,,,,,,,,,3e-07,,,,3e-07
BD2-11 terrestrial group,,,,,,,,,,,3e-05,,3e-05,,,2.5e-05,1.3e-05,1.9e-05,2.4e-05,2e-05,2.07e-05,2.23e-05,2.33e-05,2.23e-05,2.35e-05
BD7-11,,,,,,,,,,,3e-05,,3e-05,3e-05,,2.2e-05,1.5e-05,2.6e-05,2.1e-05,2e-05,1.92e-05,2.07e-05,1.78e-05,1.85e-05,1.81e-05
BD7-8 marine group,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
BD72BR169,,,,,,,,,,,,,,,,,,,,,7e-07,,8e-07,,9e-07
BMS9AB35,,,,,,,,,,,,,,,,,,,,,,,4e-07,,3e-07
BOLA914,,,,,,,,,,,,,,,,,,,,,,,,,4e-07
Babeliales,,,,,,,,,,0.0002,,,2e-05,4e-05,,4e-05,2.3e-05,1.7e-05,5.3e-05,4.3e-05,3.51e-05,3.75e-05,3.86e-05,3.54e-05,3.62e-05
Bacillales,,,,0.002,,0.0011,0.0008,0.0005,0.0005,0.0011,0.00089,0.00078,0.00103,0.00115,0.00092,0.001549,0.001463,0.001198,0.001304,0.001352,0.001645,0.0017014,0.001631,0.0017162,0.0017104
Bacillariales,,,,,,,,,,,,,,,,,2e-06,1e-05,,,4.15e-05,3.78e-05,3.5e-05,3.89e-05,4.67e-05
Bacillariophyceae,,,,,,,,,,,,,,,,,,,,,2.2e-06,1.3e-06,2e-06,8e-07,3.3e-06
Bacillariophyta sp. GSL075  ,,,,,,,,,,,,,,,,,,,,,,8e-07,4e-07,6e-07,6e-07
Bacteriovoracales,,,,,,,,,0.0007,,0.00013,0.00019,0.00011,0.00014,0.00016,0.000198,0.00018,0.000188,0.000164,0.000182,0.000174,0.0001728,0.0001705,0.0001749,0.0001725
Bacteroidales,,,,,,,,,0.001,,0.00077,0.00083,0.00056,0.00103,0.00088,0.003037,0.002652,0.002833,0.002141,0.003079,0.003138,0.0031795,0.0030007,0.0029775,0.0032151
Bacteroidetes VC2.1 Bac22,,,,,,,,,,,,,,,5e-05,1.5e-05,2e-05,1.3e-05,1.4e-05,2.4e-05,1.86e-05,2.24e-05,1.92e-05,1.79e-05,2.08e-05
Bacteroidia Draconibacteriaceae,,,,,,,,,,,,,,,,2e-06,1e-05,1.9e-05,6e-06,5e-06,1.04e-05,1.21e-05,1.1e-05,1.03e-05,8.2e-06
Baeomycetales,,,,,,,,,,,,,,,,,,,,,,,3e-07,,3e-07
Balneolales,,,,,,,,,,,,3e-05,,,,2e-05,1.9e-05,1.2e-05,1.9e-05,2.2e-05,2.2e-05,2.97e-05,1.99e-05,2.06e-05,2.8e-05
Bangiales,,,,,,,,,,,,,,,,,,,,,1.9e-06,3.4e-06,2.4e-06,4.4e-06,9e-07
Barbatosporales,,,,,,,,,,,,,,,,,,,,,1.1e-06,1e-06,1.6e-06,,
Basidiobolales,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,8e-07,4e-07,7e-07
Bathyarchaeia,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,2e-07,4e-07,5e-07
Bathynellacea,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Batrachospermales,,,,,,,,,,,,,,,,,,,,,7.3e-06,6.6e-06,6.6e-06,5.9e-06,5.5e-06
Bdelloidea,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Bdellovibrionales,,,,,,0.0007,,,,,0.00022,0.00038,0.00031,0.00019,0.00023,0.000337,0.000315,0.000285,0.000284,0.000286,0.0002905,0.0002984,0.0002919,0.0002876,0.0002939
Berkelbacteria,,,,,,,,,,,,,,,,,,,,,5e-07,2e-07,6e-07,3e-07,7e-07
Bicosoecida,,,,,,,,,,,0.0002,0.00022,0.00033,0.00031,0.00029,0.000218,0.000211,0.000188,0.000201,0.000232,0.0002121,0.0002322,0.0002288,0.0002338,0.0002151
Biddulphiales,,,,,,,,,,,,,,,,,7e-06,3e-06,,,3.2e-06,2.5e-06,2.6e-06,2.7e-06,2.7e-06
Biemnida,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Bifidobacteriales,,,,,,,,,,,2e-05,,,,,1.4e-05,2.9e-05,2.7e-05,3.9e-05,2.3e-05,2.61e-05,2.62e-05,3.39e-05,2.59e-05,3.34e-05
Bivalvia,,,,,,,,,,,,,,2e-05,,1e-05,2.7e-05,1e-05,1.4e-05,1.9e-05,2.78e-05,3.3e-05,2.52e-05,2.59e-05,2.75e-05
Bivalvulida,,,,,,,,,,,,,,,,,8.3e-05,,,,5.38e-05,5.75e-05,5.3e-05,7.36e-05,7.11e-05
Blastocatellales,,,,,,,,,,,,2e-05,,,4e-05,6.7e-05,4.5e-05,8.4e-05,8.8e-05,0.000106,0.0001196,0.0001116,0.0001119,0.0001136,0.0001287
Blastocladiales,,,,,,,,,,,,,,,,2e-05,3.2e-05,3e-05,1.7e-05,3.1e-05,2.69e-05,2.51e-05,2.53e-05,2.46e-05,2.59e-05
Blastocystis,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,,2e-07
Blastodiniales,,,,,,,,,,,,,,,,,,,,,1.12e-05,9.9e-06,1.05e-05,9.5e-06,1.04e-05
Blattodea,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.1e-06,5.3e-06,1.2e-06,1.5e-06
Blfdi19,,,,,,,,,,,,,,,,,,,,,2.7e-06,1.9e-06,2.7e-06,2.4e-06,2.3e-06
Boletales,,,,,,,,,,,,,,,,5.3e-05,6.3e-05,4.6e-05,5.6e-05,6.5e-05,5.54e-05,5.96e-05,5.88e-05,5.94e-05,6.03e-05
Boliniales,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,,
Bonnemaisoniales,,,,,,,,,,,,,,,,,,,,,1e-06,3e-07,9e-07,6e-07,1e-06
Boraginales,,,,,,,,,,,,,,,,,,,,3e-06,1.2e-06,1.3e-06,8e-07,1.7e-06,1e-06
Botryosphaeriales,,,,,,,,,,,,,,,,,,,,,4e-07,,2e-07,2e-07,4e-07
Bradymonadales,,,,,,,,0.0009,0.0004,0.0004,0.00045,0.00049,0.00037,0.00037,0.0004,0.000492,0.000508,0.000487,0.000511,0.00044,0.0004915,0.0005018,0.0004831,0.0004911,0.0004855
Brassicales,,,,,,,,,,,,,,,,3e-06,6e-06,1.2e-05,3e-06,6e-06,1.8e-05,1.61e-05,1.92e-05,1.39e-05,2e-05
Brocadiales,,,,,,,,,,,,,,,,,,,,,1e-06,1.2e-06,1.1e-06,1.7e-06,6e-07
Bryales,,,,,,,,,,,,2e-05,,,,1.2e-05,4e-06,3e-06,1.4e-05,9e-06,1.23e-05,1.21e-05,1.22e-05,1.08e-05,1.25e-05
Bryobacterales,,,,,,,,,,,,,,,,,2e-06,2e-06,2e-06,,2.8e-06,4.2e-06,4.6e-06,4.2e-06,3.9e-06
Bryopsidales,,,,,,,,,,,,,,,,,5e-06,2e-06,,,4.2e-06,4.9e-06,3.4e-06,3.7e-06,3.9e-06
Bubarida,,,,,,,,,,,,,,,,,,,,,3e-07,6e-07,4e-07,6e-07,3e-07
Burkholderiales,0.011,,0.006,,,0.0065,0.0052,0.0048,0.005,0.0049,0.00481,0.00564,0.0051,0.00482,0.00527,0.005111,0.005198,0.00566,0.005547,0.005353,0.0055581,0.0055343,0.0055452,0.00553,0.005529
Bursariomorphida,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,
Bursovaginoidea,,,,,,,,,,,,,,,,,2e-06,,,,2e-07,3e-07,,,4e-07
Buxales,,,,,,,,,,,,,,,,,,,,,,,,,5e-07
Buxbaumiales,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
C0119,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
C178B,,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,2e-07,
C86,,,,,,,,,,,,,,,,,,,,2e-06,1.2e-06,2.4e-06,2.4e-06,1.6e-06,1.8e-06
CCM11a,,,,,,,,,,,,,,,,7e-06,9e-06,,7e-06,5e-06,1.17e-05,1.15e-05,1.17e-05,1.11e-05,1.19e-05
CK-1C2-67,,,,,,,,,,,,,,,,,,,,,1.4e-06,1.9e-06,1.4e-06,2.1e-06,1.1e-06
Caedibacterales,,,,,,,,,,,,,,,,1.1e-05,5e-06,6e-06,1e-05,9e-06,6.8e-06,7.9e-06,8e-06,8e-06,6.6e-06
Caenarcaniphilales,,,,,,,,,,,,,,,,,,,,,6e-07,9e-07,7e-07,5e-07,1e-06
Calanoida,,,,,,,,,,,,,,,,,,,,,1.2e-06,3.8e-06,1.5e-06,1e-06,5e-07
Caldilineales,,,,,,,,,,,,0.00014,4e-05,,6e-05,7.5e-05,5.1e-05,4.7e-05,6.3e-05,5.1e-05,5.9e-05,5.71e-05,6.03e-05,5.38e-05,6.29e-05
Caldisericales,,,,,,,,,,,2e-05,5e-05,4e-05,2e-05,5e-05,4.9e-05,4.3e-05,4.4e-05,4.4e-05,4.4e-05,3.99e-05,4.3e-05,4.19e-05,4.16e-05,4.23e-05
Calditrichales,,,,,,,,,,,,,,,,1.2e-05,9e-06,1.4e-05,9e-06,1.1e-05,1.36e-05,1.44e-05,2.67e-05,2.09e-05,1.45e-05
Caliciales,,,,,,,,,,,,,,,,,,,,,1.1e-06,1.8e-06,9e-07,3e-07,9e-07
Camarodonta,,,,,,,,,,,,,,,,,,,3e-06,2e-06,1.4e-06,1.2e-06,1.2e-06,1.3e-06,1.4e-06
Campylobacterales,,,,,,,,0.0003,,,0.00031,0.00041,0.00024,0.00022,0.00029,0.000323,0.00034,0.000361,0.000381,0.000382,0.0003694,0.000367,0.0003733,0.000358,0.000377
Candidatus Actinomarinales,,,,,,,,,0.0002,,0.0001,8e-05,4e-05,6e-05,0.0001,0.000106,8.6e-05,9.5e-05,9e-05,9.9e-05,0.0001033,0.0001011,9.98e-05,0.0001003,0.0001002
Candidatus Adlerbacteria bacterium GW2011_GWC1_50_9,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Candidatus Amesbacteria bacterium GW2011_GWA2_42_12,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Candidatus Aminicenantales,,,,,,,,,,,,,,,,,,,,,1.4e-06,1.7e-06,1.4e-06,9e-07,1.2e-06
Candidatus Azambacteria,,,,,,,,,,,,,,,,,,,,,2.2e-06,1.5e-06,1.6e-06,1.8e-06,1.9e-06
Candidatus Berkiellales,,,,,,,,,,,,,,,,,,,,,1.3e-06,1.5e-06,1.6e-06,1.1e-06,1.7e-06
Candidatus Campbellbacteria,,,,,,,,,,,,,2e-05,,,1.4e-05,1.3e-05,1.1e-05,1.2e-05,1e-05,1.17e-05,1.29e-05,1.04e-05,1.31e-05,1.03e-05
Candidatus Collierbacteria bacterium GW2011_GWA2_42_17,,,,,,0.001,,0.0008,,0.0012,0.00059,0.00072,0.00087,0.0008,0.0007,0.000811,0.000744,0.000779,0.000756,0.000749,0.0007847,0.0007842,0.0008003,0.0007854,0.0007898
Candidatus Curtissbacteria bacterium GW2011_GWA1_40_47,,,,,,,,,,,,,,,,,,,,,,4.9e-06,,8.2e-06,
Candidatus Daviesbacteria bacterium GW2011_GWA1_41_61,,,,,,,,,,,,,,,,,,,,,,,1e-06,,
Candidatus Giovannonibacteria bacterium GW2011_GWB1_43_13,,,,,,,,,,,,,,,,4e-06,5e-06,5e-06,3e-06,7e-06,2.2e-06,2.7e-06,2.3e-06,2.6e-06,2.3e-06
Candidatus Izemoplasmatales,,,,,,,,,,,,,,,,,,,,,1.2e-06,8e-07,8e-07,5e-07,9e-07
Candidatus Kaiserbacteria,,,,,,,,,,,,,4e-05,,,1.8e-05,2.1e-05,3.5e-05,2.7e-05,3.7e-05,3.14e-05,3.15e-05,3.2e-05,2.9e-05,2.89e-05
Candidatus Komeilibacteria,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,,4e-07,
