genus,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Terracoccus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,4.000040000400004e-06,2.000016000128001e-06,1.0000060000360005e-06,0.0,6.87578710014343e-07,1.3750168439125092e-06,6.879200231659802e-07,6.873812388441177e-07,1.375112208248963e-06
Terramyces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,1e-05,0.0,0.0,0.0,2.000016000128001e-06,3.000030000300003e-06,5.000040000320002e-06,1.1000066000396002e-05,8.000064000512004e-06,4.813050970100402e-06,8.250101063475055e-06,9.630880324323725e-06,3.436906194220588e-06,3.437780520622407e-06
Terribacillus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,6.87578710014343e-07,6.875084219562546e-07,1.3758400463319605e-06,2.062143716532353e-06,0.0
Terricaulis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,2.000020000200002e-06,5.000040000320003e-06,0.0,0.0,4.813050970100401e-06,6.875084219562546e-07,6.879200231659802e-07,2.7495249553764707e-06,1.3751122082489629e-06
Terriglobus,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,2.000020000200002e-05,0.0,2e-05,0.0,0.0,1.5000120000960009e-05,9.00009000090001e-06,1.1000088000704005e-05,8.000048000288004e-06,1.1000088000704007e-05,1.1001259360229487e-05,9.625117907387565e-06,6.879200231659803e-06,1.0998099821505883e-05,1.1000897665991705e-05
Terrihabitans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,0.0,0.0,2.000016000128001e-06,0.0,0.0,0.0,3.000024000192002e-06,2.062736130043029e-06,6.875084219562546e-07,1.3758400463319607e-06,1.3747624776882351e-06,1.375112208248963e-06
Terrihalobacillus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,1.0000080000640005e-06,6.87578710014343e-07,6.875084219562546e-07,0.0,6.873812388441177e-07,6.875561041244814e-07
Terrilactibacillus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,3.000024000192002e-06,0.0,0.0,6.879200231659802e-07,0.0,0.0
Terrimesophilobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,0.0,0.0,0.0,7.000070000700008e-06,3.000024000192002e-06,4.000024000144001e-06,1.0000080000640005e-06,6.87578710014343e-07,0.0,0.0,6.873812388441177e-07,6.875561041244814e-07
Terrimicrobium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,0.0,5.000040000320002e-06,4.000040000400004e-06,2.000016000128001e-06,4.000024000144001e-06,1.0000080000640005e-06,6.87578710014343e-07,6.875084219562546e-06,4.815440162161862e-06,4.811668671908823e-06,3.437780520622407e-06
Terrimonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,1e-05,4e-05,0.0,1.000010000100001e-05,1.3000104000832007e-05,9.000090000900008e-06,1.5000120000960009e-05,1.5000090000540005e-05,1.5000120000960005e-05,1.5126731620315548e-05,1.1687643173256328e-05,1.3758400463319606e-05,8.248574866129412e-06,1.7188902603112035e-05
Terrirubrum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrisporobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,2e-05,0.0,4.000032000256002e-06,1.000010000100001e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.873812388441177e-07,2.062668312373444e-06
Tersicoccus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87578710014343e-07,0.0,1.3758400463319605e-06,0.0,0.0
Teseptimavirus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tessaracoccus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1.000010000100001e-05,6.000048000384003e-06,9.00009000090001e-06,8.000064000512004e-06,7.000042000252003e-06,7.000056000448003e-06,7.563365810157772e-06,8.250101063475055e-06,1.1694640393821666e-05,7.561193627285294e-06,6.875561041244814e-06
