family,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Acidobacteriaceae,,,,,,,0.0006666666666666666,,,0.0003418803418803418,3.333111125924941e-05,0.0003657401250166245,3.373022565520964e-05,0.0004068900040689001,6.635700066357004e-05,0.0001494428381144305,0.00015641649803012987,0.00015862276592783995,0.0001880491521577135,0.00013369158329964734,0.00013682366078325843,0.00013695573899771376,0.00011517853780846999,0.0001873042945569489,0.00016107394397275605
Acidocellaceae,,,,,,,,,,,6.666222251849882e-05,6.64982045484772e-05,0.00010119067696562891,,,5.847763230564672e-05,5.213883267670995e-05,9.064158053019424e-05,3.242226761339888e-05,6.847617681201448e-05,5.9584497437870616e-05,7.952268715996283e-05,7.530904395169193e-05,5.949665827103082e-05,7.722723341159536e-05
Acidothermaceae,,,,,,,,,,,,,,3.390750033907501e-05,,6.497514700627413e-06,3.258677042294372e-06,,6.484453522679777e-06,,,4.4179270644423795e-06,,2.203579935964105e-06,2.206492383188439e-06
Acinetidae,,,,,,,,,,,,,,,,1.2995029401254826e-05,,,,,2.206833238439652e-06,6.626890596663569e-06,6.644915642796345e-06,,4.412984766376879e-06
Acinetosporaceae,,,,,,,,,,,,,,,,3.2487573503137065e-06,3.258677042294372e-06,6.474398609299589e-06,9.726680284019664e-06,,,4.4179270644423795e-06,,4.40715987192821e-06,
Ackermannviridae,,,,,,,,,,,,,,,,,,,,,2.206833238439652e-06,,,4.40715987192821e-06,
Acmaeidae,,,,,,,,,,,,,,,,,,,,,,2.2089635322211897e-06,,,
Acoetidae,,,,,,,,,,,,,,,,,3.258677042294372e-06,,,,,,,,
Acrasidae,,,,,,,,,,,,,,,,,,,,,,,,,
Acrididae,,,,,,,,,,,3.333111125924941e-05,,,,,9.746272050941119e-06,3.258677042294372e-06,2.5897594437198357e-05,1.2968907045359554e-05,2.2825392270671494e-05,2.4275165622836172e-05,2.6507562386654277e-05,1.5504803166524806e-05,2.203579935964105e-05,1.7651939065507515e-05
Acroceridae,,,,,,,,,,,3.333111125924941e-05,,3.373022565520964e-05,,3.317850033178502e-05,1.9492544101882238e-05,6.517354084588744e-06,1.2948797218599179e-05,9.726680284019664e-06,9.782310973144928e-06,6.6204997153189565e-06,1.1044817661105949e-05,1.7719775047456923e-05,1.322147961578463e-05,1.3238954299130635e-05
