,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Kingdom,0.6452627671889211,0.6329143157633358,0.6125352371804486,0.6070877816829777,0.5942716133460593,0.6703938869179074,0.6769263088118793,0.6728311987130197,0.6836909845249273,0.686937372424592,0.6882495261266734,0.6927326022709348,0.689340763914631,0.6887067663302402,0.6911172348509935,0.6927569103915642,0.6915626166539826,0.6930540797878194,0.6923257369586158,0.6920187208497757,0.6967609980216606,0.6967333797668511,0.6967820696693743,0.6968031456333349,0.6965181711614274
Phylum,2.3553591855465372,2.3051299859203382,2.299221951414807,2.3599545131487574,2.4292654587722153,2.6730240808657295,2.6699009351729983,2.687076588288482,2.654222147431562,2.6692750953454563,2.7830222574456567,2.7735584104259177,2.7834235608973192,2.7721719998894043,2.7866903587270313,2.816446015184921,2.8147705223737445,2.8158543758286285,2.815961865920573,2.8147401532233687,2.8329434511836444,2.832144020162332,2.832671214291429,2.8348313130511347,2.8318621990394894
Class,2.389605767305345,2.296578015801136,2.310240227767589,2.385477809351089,2.378981090526806,2.859790702872074,2.849080704804497,2.8787243287731927,2.826780768615848,2.8496026836640027,2.9982021699554946,2.9891749244945736,3.0038239870702625,2.986379228208921,3.009611300625864,3.055452869950438,3.054992357047462,3.0536370046625727,3.052917063877741,3.0534263277638596,3.081248261924048,3.07967369869417,3.0801844471329307,3.0811294385728902,3.0790584206475993
Order,2.8506667545174653,2.7520772132444664,2.765919487068813,2.749326035810718,2.7893093049130355,3.3986619386203474,3.3740322648317145,3.4157170973828883,3.3858713972752708,3.383791209511713,3.6006744534964383,3.5991994222433434,3.5957836471111686,3.5834192162067433,3.605190621260263,3.6831702949803673,3.6839816068094464,3.6797713273484858,3.683387504985399,3.6817863230570875,3.717072396582852,3.7148246819336017,3.7167646039508115,3.716726957508805,3.7160313371999028
Family,3.055390038464177,2.8917414762520206,2.9649496298814664,2.921444007915122,2.9696559656488315,3.6640779195871547,3.6245176006970605,3.651692585654122,3.64073045002787,3.6131724686654807,3.892554620994352,3.8961799516152738,3.882812229168299,3.8691449719248414,3.8918530662444137,3.996252917086147,3.992465312162169,3.989738645976153,3.9910944148660077,3.9905661113038065,4.031748792595998,4.030264274853474,4.033487071700928,4.031677006155556,4.0331456265161645
Genus,3.0605930816224056,2.8074136016694977,2.892216286569675,2.8658287562109077,2.9467986592841595,3.6453086551704197,3.6276214831573665,3.650048058285655,3.5908445190279417,3.628680126612614,3.8898389142500633,3.894838656841515,3.8768149067025224,3.8625149734347834,3.8781773038415155,3.990138259728687,3.9875577133629565,3.9900928635758737,3.9904967781673544,3.9845534826165707,4.0370093790019865,4.036961639216269,4.0380792427273775,4.036410602277226,4.039109728909504
Species,2.9454595984802667,2.7150376173207165,2.7488084537638726,2.729041420676482,2.828185007868218,3.4576192722221823,3.4670569150115047,3.505870405945701,3.4485178766989026,3.456080351171533,3.7048394652414878,3.7086791329050266,3.686427055637525,3.6860934933950444,3.6930320367806706,3.8003317360336757,3.7978341742844988,3.792491142463569,3.797647300670138,3.794555938813003,3.85976519408396,3.860468624726872,3.8609426298539313,3.8620414335850297,3.858638657629022
