,taxon_id,1K_1-genus,1K_2-genus,1K_3-genus,1K_4-genus,1K_5-genus,10K_1-genus,10K_2-genus,10K_3-genus,10K_4-genus,10K_5-genus,100K_1-genus,100K_2-genus,100K_3-genus,100K_4-genus,100K_5-genus,1M_1-genus,1M_2-genus,1M_3-genus,1M_4-genus,1M_5-genus,10M_1-genus,10M_3-genus,10M_4-genus,10M_5-genus
Deferrisoma,1125862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0,2.0,3.0,1.0,22.0,25.0,26.0,29.0
Chromatocurvus,1132027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,7.0,6.0,4.0,6.0,70.0,58.0,66.0,69.0,73.0,650.0,653.0,697.0,714.0
Methylomarinum,1221209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,12.0,13.0,12.0,7.0,9.0,119.0,110.0,109.0,104.0
Methylogaea,1295378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,8.0,6.0,8.0,7.0,57.0,51.0,62.0,57.0
Rufibacter,1379908.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,4.0,7.0,31.0,30.0,32.0,21.0,37.0,325.0,338.0,323.0,339.0
Alteribacillus,1433300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,17.0,15.0,13.0,14.0
Pricia,1434034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,2.0,7.0,1.0,3.0,30.0,34.0,39.0,34.0,41.0,396.0,381.0,395.0,386.0
Romboutsia,1501226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,4.0,4.0,4.0,45.0,41.0,47.0,44.0
Alsobacter,1502180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,4.0,6.0,9.0,10.0,75.0,63.0,78.0,70.0
Phaeocystidibacter,1577779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,13.0,15.0,11.0,16.0,14.0,150.0,167.0,171.0,181.0
Puniceibacterium,1608404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,12.0,7.0,11.0,7.0,11.0,102.0,114.0,94.0,96.0,110.0,1062.0,1076.0,1098.0,1066.0
Microseira,1609595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,6.0,4.0,26.0,28.0,35.0,30.0
Phreatobacter,1632780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,9.0,7.0,6.0,8.0,73.0,71.0,82.0,74.0
Rhodobaculum,1640884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,3.0,10.0,6.0,4.0,58.0,59.0,67.0,51.0
Chiayiivirga,1648505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,5.0,4.0,5.0,31.0,30.0,28.0,19.0
Lentilitoribacter,1649463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,2.0,14.0,25.0,28.0,19.0,10.0,169.0,186.0,178.0,189.0
Minicystis,1649470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,8.0,3.0,6.0,56.0,57.0,49.0,56.0
Spelaeicoccus,1649497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,8.0,6.0,7.0,7.0
Thiopseudomonas,1654787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,8.0,13.0,15.0,11.0,9.0,139.0,134.0,131.0,112.0
Marivivens,1759396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,4.0,5.0,5.0,5.0,37.0,51.0,38.0,57.0,47.0,467.0,447.0,479.0,440.0
Mongoliibacter,1769735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,8.0,9.0,6.0,17.0,6.0,121.0,111.0,107.0,106.0
Pseudobacteriovorax,1769746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,8.0,6.0,4.0,2.0,7.0,78.0,80.0,70.0,86.0
Planktosalinus,1810932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,2.0,2.0,17.0,25.0,16.0,17.0,34.0,246.0,235.0,243.0,216.0
Caballeronia,1827195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,14.0,22.0,28.0,28.0,25.0,195.0,191.0,202.0,203.0
Tamilnaduibacter,1857014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,9.0,6.0,6.0,9.0,76.0,91.0,88.0,72.0
Candidatus Electrothrix,1859128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,6.0,7.0,6.0,8.0,93.0,87.0,84.0,85.0
Serpentinicella,1890059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,15.0,15.0,17.0,14.0
Halodesulfovibrio,1912771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,10.0,6.0,9.0,12.0,6.0,82.0,79.0,82.0,84.0
Eisenibacter,1937963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,4.0,1.0,1.0,17.0,24.0,21.0,19.0,23.0,196.0,189.0,195.0,202.0
Pontibacterium,2036025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,18.0,34.0,25.0,19.0,24.0,247.0,264.0,253.0,246.0
Arboricoccus,2066435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,16.0,10.0,17.0,11.0,15.0,107.0,97.0,112.0,103.0
Glaesserella,2094023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,13.0,6.0,4.0,8.0,12.0,104.0,99.0,102.0,101.0
Methylocucumis,2204160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,18.0,24.0,25.0,20.0
Limimaricola,2211638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,6.0,8.0,6.0,7.0,63.0,68.0,57.0,58.0,48.0,546.0,528.0,561.0,571.0
Xinfangfangia,2250589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,3.0,4.0,3.0,23.0,24.0,25.0,24.0,29.0,231.0,223.0,238.0,241.0
Aliarcobacter,2321111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,12.0,6.0,6.0,8.0,8.0,97.0,102.0,102.0,95.0
Pelagivirga,2338561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,4.0,2.0,5.0,37.0,49.0,40.0,43.0,42.0,426.0,429.0,430.0,430.0
Natronospirillum,2562805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,18.0,14.0,13.0,14.0,10.0,133.0,137.0,144.0,137.0
Edaphochlamys,2594176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,8.0,7.0,53.0,52.0,55.0,58.0
Aestuariivirga,2650923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,8.0,4.0,5.0,38.0,29.0,31.0,46.0,37.0,325.0,334.0,324.0,332.0
Parasphingorhabdus,2709685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,13.0,10.0,8.0,6.0,10.0,79.0,98.0,93.0,97.0,94.0,930.0,932.0,932.0,954.0
Planctomonas,2729624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,2.0,1.0,23.0,29.0,32.0,27.0
Mycoplasmopsis,2767358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,19.0,21.0,21.0,19.0
Spartinivicinus,2768738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,16.0,13.0,10.0,11.0,109.0,98.0,109.0,102.0
Polystyrenella,2795774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,13.0,21.0,20.0,18.0,17.0,151.0,160.0,162.0,166.0
Ginsengibacter,2806031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,9.0,2.0,49.0,46.0,40.0,49.0
Paremcibacter,2813804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,3.0,24.0,13.0,15.0,20.0,15.0,175.0,167.0,174.0,183.0
Aestuarium,2820509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,2.0,5.0,3.0,48.0,35.0,47.0,36.0,34.0,383.0,378.0,366.0,361.0
Arenibacterium,2824249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,24.0,26.0,19.0,21.0,18.0,225.0,230.0,243.0,246.0
Pukyongia,2831916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,1.0,3.0,32.0,17.0,26.0,20.0,21.0,197.0,203.0,219.0,211.0
Miltoncostaea,2843200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,11.0,11.0,23.0,15.0,14.0,150.0,173.0,168.0,177.0
Pseudocolwellia,2848177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,8.0,9.0,2.0,11.0,70.0,80.0,77.0,66.0,73.0,727.0,730.0,694.0,730.0
Marinifaba,2851088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,12.0,23.0,21.0,18.0,15.0,174.0,169.0,174.0,182.0
Chitinasiproducens,2870408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,3.0,1.0,1.0,21.0,24.0,22.0,18.0
Waterburya,2886915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,5.0,32.0,38.0,20.0,26.0,24.0,269.0,276.0,252.0,267.0
Pacificispira,2888759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,11.0,18.0,8.0,10.0,13.0,130.0,116.0,124.0,105.0
Denitrificimonas,2901261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,2.0,4.0,3.0,19.0,23.0,14.0,20.0,21.0,191.0,182.0,186.0,178.0
Desulfocicer,2904316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,13.0,13.0,10.0,15.0,10.0,95.0,99.0,105.0,97.0
Geotalea,2910589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,4.0,7.0,5.0,40.0,39.0,38.0,39.0
Antarctobacter,74032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,6.0,5.0,3.0,5.0,35.0,40.0,45.0,37.0,45.0,383.0,391.0,416.0,432.0
Thalassobacter,266808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,13.0,15.0,13.0,11.0,100.0,93.0,106.0,103.0,119.0,1095.0,1082.0,1096.0,1113.0
Oceanihabitans,2045416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,5.0,5.0,7.0,5.0,64.0,55.0,66.0,81.0,61.0,668.0,664.0,690.0,673.0
Nocardia,1817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,4.0,4.0,2.0,3.0,37.0,39.0,44.0,49.0,43.0,444.0,443.0,432.0,444.0
Tetrasphaera,99479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,10.0,14.0,16.0,13.0,10.0,102.0,113.0,119.0,119.0
Acaryochloris,155977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,2.0,3.0,20.0,25.0,24.0,23.0,32.0,245.0,218.0,215.0,238.0
Lentibacillus,175304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,14.0,21.0,18.0,20.0
Persicitalea,442431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,2.0,3.0,5.0,38.0,47.0,33.0,41.0,43.0,424.0,427.0,425.0,432.0
Salinihabitans,1398404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0,18.0,17.0,17.0,22.0,15.0,158.0,155.0,160.0,187.0
Carboxylicivirga,1628153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,8.0,5.0,3.0,34.0,42.0,38.0,28.0,41.0,409.0,427.0,405.0,415.0
Litorivivens,1654711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,3.0,4.0,4.0,20.0,20.0,27.0,28.0,26.0,232.0,232.0,257.0,238.0
Fuerstiella,1936111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,14.0,10.0,7.0,4.0,82.0,88.0,79.0,90.0,97.0,843.0,833.0,826.0,848.0
Limnoglobus,2731450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,9.0,6.0,8.0,5.0,9.0,62.0,70.0,69.0,74.0
Phycocomes,2873978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,5.0,0.0,10.0,13.0,15.0,16.0,17.0,165.0,175.0,167.0,161.0
Aggregatimonas,2913017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,3.0,3.0,5.0,4.0,36.0,33.0,28.0,40.0,32.0,433.0,415.0,419.0,432.0
Methylosinus,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,4.0,7.0,4.0,12.0,82.0,78.0,75.0,81.0
Sporocytophaga,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,20.0,11.0,15.0,15.0,19.0,145.0,151.0,153.0,151.0
Chromatium,1047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,6.0,7.0,6.0,8.0,12.0,81.0,78.0,86.0,91.0
Phormidium,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,16.0,10.0,11.0,12.0,19.0,160.0,147.0,136.0,153.0
Prochlorococcus,1218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,14.0,25.0,13.0,15.0,17.0,170.0,177.0,169.0,190.0
Lactobacillus,1578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,4.0,5.0,4.0,54.0,49.0,52.0,51.0
Frankia,1854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,3.0,20.0,23.0,26.0,19.0,21.0,246.0,242.0,236.0,244.0
Sporolactobacillus,2077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,12.0,11.0,11.0,9.0
Verrucomicrobium,2735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,12.0,12.0,14.0,19.0,20.0,176.0,176.0,174.0,171.0
Ophiostoma,5159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0
Tilletiaria,5280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,10.0,11.0,6.0,9.0
Bodo,5712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,7.0,6.0,4.0,3.0,50.0,46.0,54.0,55.0
Stentor,5962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,25.0,22.0,18.0,21.0,21.0,211.0,212.0,212.0,202.0
Azoarcus,12960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,18.0,25.0,21.0,27.0,33.0,264.0,272.0,259.0,283.0
Brachymonas,28219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,4.0,22.0,17.0,15.0,17.0,14.0,181.0,171.0,165.0,172.0
Ornithobacterium,28250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,14.0,14.0,10.0,11.0,17.0,132.0,138.0,142.0,145.0
Caedibacter,28905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,7.0,10.0,6.0,16.0,11.0,77.0,66.0,79.0,72.0
Candidatus Phytoplasma,33926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,5.0,0.0,3.0,29.0,32.0,31.0,30.0
Kineococcus,33981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,8.0,4.0,8.0,5.0,68.0,59.0,59.0,68.0
Simkania,34093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,0.0,3.0,23.0,24.0,24.0,25.0
Desulfacinum,35836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,4.0,7.0,5.0,7.0,7.0,62.0,71.0,71.0,72.0
Aquabacter,45402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,4.0,7.0,9.0,9.0,67.0,59.0,58.0,64.0
Lautropia,47670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,12.0,10.0,9.0,7.0,10.0,97.0,111.0,100.0,101.0
Lachnellula,47830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,14.0,20.0,18.0,17.0
Desulfospira,53328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,21.0,17.0,21.0,22.0,15.0,161.0,165.0,161.0,156.0
Thiodictyon,53392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,7.0,12.0,12.0,10.0,15.0,131.0,133.0,129.0,111.0
Merismopedia,53402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,16.0,14.0,20.0,16.0
Amaricoccus,56999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,4.0,3.0,6.0,2.0,28.0,40.0,43.0,44.0,38.0,400.0,410.0,399.0,385.0
Pseudozyma,63298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,12.0,8.0,9.0,9.0
Meiothermus,65551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,6.0,7.0,5.0,45.0,43.0,39.0,48.0
Rhodanobacter,75309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,3.0,5.0,2.0,31.0,31.0,32.0,29.0,41.0,341.0,354.0,358.0,340.0
Thermochromatium,85073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,4.0,3.0,4.0,1.0,7.0,35.0,37.0,32.0,41.0
Frigoribacterium,96492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,4.0,10.0,12.0,8.0,71.0,72.0,72.0,70.0
Pleomassaria,100043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,7.0,9.0,5.0,2.0,4.0,41.0,40.0,47.0,45.0
Batrachochytrium,100474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,4.0,3.0,19.0,27.0,19.0,23.0,28.0,269.0,261.0,266.0,263.0
Rhizoclosmatium,109967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,6.0,6.0,10.0,5.0,7.0,70.0,86.0,70.0,81.0
Leifsonia,110932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,6.0,19.0,16.0,18.0,17.0,15.0,158.0,166.0,171.0,166.0
Oceanimonas,129577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,22.0,16.0,24.0,14.0,11.0,150.0,161.0,149.0,136.0
Limnothrix,132605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,6.0,4.0,3.0,35.0,39.0,34.0,31.0,43.0,425.0,400.0,385.0,413.0
Cedecea,158483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,5.0,1.0,1.0,6.0,23.0,20.0,16.0,24.0
Placidia,159341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,4.0,4.0
Cyanobium,167375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,9.0,12.0,9.0,8.0,111.0,98.0,107.0,99.0
Candidatus Blochmannia,203804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,16.0,14.0,17.0,15.0
Dickeya,204037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,6.0,8.0,8.0,6.0,3.0,69.0,65.0,69.0,68.0
Geothermobacter,213223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,2.0,3.0,20.0,22.0,16.0,25.0,30.0,201.0,204.0,214.0,209.0
Enhygromyxa,215802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,5.0,2.0,36.0,35.0,27.0,21.0,27.0,266.0,268.0,279.0,263.0
Desulfatibacillum,218207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,16.0,17.0,15.0,13.0,129.0,134.0,140.0,133.0
Attheya,265578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,5.0,19.0,19.0,22.0,29.0,23.0,203.0,189.0,196.0,204.0
Chondrocystis,268175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,10.0,12.0,12.0,9.0,10.0,107.0,112.0,120.0,104.0
Roseisalinus,289239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,2.0,35.0,26.0,22.0,21.0,36.0,296.0,293.0,269.0,304.0
Patulibacter,361607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,10.0,10.0,7.0,6.0,53.0,41.0,51.0,49.0
