Species,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Acinetobacter towneri DSM 14962 =,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Acinetobacter venetianus   ,,,,,,,,,,,,,,,,,,3e-06,,,2e-07,,,,5e-07
Acipenser fulvescens,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,4e-07,6e-07,
Aclista sp. D1949,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,3e-07,,3e-07
Acmostomum dioicum,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Acorus calamus,,,,,,,,,,,,,,,,,2e-06,,,,,,,4e-07,3e-07
Acraspisa obscuripes,,,,,,,,,,,,,,,,,,,,,3e-07,5e-07,3e-07,4e-07,6e-07
Acremonium alcalophilum  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Acremonium gamsii  ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
Acritus sp. MSC-2001,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Actinastrum hantzschii,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,
Actinidia chinensis,,,,,,,,,,,,,,,,,,,3e-06,,3.5e-06,2.9e-06,1.5e-06,9e-07,3e-06
Actinoallomurus sp. ID145699  ,,,,,,,,,,,,,,,,,,,,,5e-07,4e-07,4e-07,5e-07,4e-07
Actinoallomurus vinaceus   ,,,,,,,,,,,,,,,,,,,,,8e-07,1.2e-06,1e-06,1.5e-06,1.1e-06
Actinobacillus porcinus   ,,,,,,,,,,,,,,,,,,,,,3e-07,,,,4e-07
Actinobacteria bacterium GM35A7  ,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,
Actinobacteria bacterium GM47C3  ,,,,,,,,,,,,,,,,,,,,,4e-07,5e-07,4e-07,3e-07,4e-07
Actinocorallia spatholoba   ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Actinocyclus sp. 1 MPA-2013,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Actinomadura rayongensis   ,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,2e-07,
Actinomadura sp. J4S4  ,,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,
Actinomadura sp. Y218  ,,,,,,,,,,,,,,,,4e-06,,,,,4.9e-06,3.2e-06,3.9e-06,5e-06,4.6e-06
Actinomyces coleocanis   ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Actinomyces naeslundii   ,,,,,,,,,,,,,,,,,,,,,8e-07,1e-06,6e-07,7e-07,5e-07
Actinomyces ruminicola   ,,,,,,,,,,,,,,,,,,3e-06,,,5e-07,5e-07,5e-07,,3e-07
Actinomycetales bacterium enrichment culture clone,,,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,3e-07
Actinophytocola sp. I10A-01801  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Actinoplanes sp. L1204  ,,,,,,,,,,,,,,,,,,,,,5e-07,,,,
Actinopolyspora alba   ,,,,,,,,,,,,,,,,,,,,,2e-07,7e-07,8e-07,7e-07,4e-07
Actinopolyspora sp. TRM 45624 ,,,,,,,,,,,,,,,,,,,,2e-06,,5e-07,4e-07,4e-07,
Actinopterygii,,,,,,,0.0002,,,,0.00014,0.00022,0.00018,0.00013,8e-05,0.000285,0.000174,0.000265,0.000274,0.000236,0.0002791,0.0002789,0.0002991,0.0002885,0.0002894
Actinoptychus undulatus,,,,,,,,,,,,,,,,,,,,,5e-07,6e-07,6e-07,9e-07,7e-07
Actinorhabdospora filicis   ,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07
Acutuncus sp. PC-2013,,,,,,,,,,,,,,,,,,,,,4.8e-06,5.6e-06,6.9e-06,5.4e-06,5.3e-06
Acytostelium amazonicum,,,,,,,,,,,,,,,,,,,,,,3e-07,,,
Addisonia lateralis,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,
Adeleorina,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,
Adelphocoris sp. 1 ML-2012,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
Adeuomphalus elegans,,,,,,,,,,,,,,,,4e-06,,,,,8e-07,1e-06,9e-07,1.4e-06,1.1e-06
Adhaeribacter sp. KS35  ,,,,,,,,,,,,,,,,,,,,,,,,8e-07,8e-07
Adialytus ambiguus,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
Adineta vaga,,,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,
Adipicola longissima  ,,,,,,,,,,,,,,,,,,,,,3e-07,,,,4e-07
Advenella incenata   ,,,,,,,,,,,,,,,,,,,,,1.5e-06,9e-07,1.4e-06,1.2e-06,9e-07
Advenella mimigardefordensis   ,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,2e-07,4e-07,2e-07
Aecidium epimedii  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,
Aecidium sp. ZT Myc 57043,,,,,,,,,,,,4e-05,,,,,1e-05,,,,1.2e-06,1.4e-06,1.4e-06,1.4e-06,1.9e-06
Aegilops tauschii,,,,,,,,,,,,8e-05,,,,3e-05,3.5e-05,3.4e-05,3.1e-05,2.7e-05,3.79e-05,3.45e-05,3.49e-05,3.64e-05,3.64e-05
Aegyriana cf. oliva,,,,,,,,,,,,,,,,,,,,,,2.8e-06,,2.4e-06,2.3e-06
Aeolosoma sp.  ,,,,,,,,,,,,,,,,,,,,,8e-07,6e-07,3e-07,6e-07,9e-07
Aequorivita sp. R-36724  ,,,,,,,,,,,,,,,,,,,,,5e-07,,,2e-07,6e-07
Aerococcus vaginalis   ,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Aerococcus viridans   ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Aeromonas media   ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Aeromonas salmonicida   ,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
Aeromonas schubertii   ,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,2e-07,2e-07
Aeromonas sp. No. 34-2 ,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,2e-07
Aeromonas sp. REm-amp_195  ,,,,,,,,,,,,,,,,,4e-06,,,,,,,,
Aestuariibaculum suncheonense   ,,,,,,,,,,,,,8e-05,,,2.7e-05,1.4e-05,1.4e-05,1.4e-05,1.9e-05,1.76e-05,1.74e-05,1.88e-05,1.62e-05,1.58e-05
Afipia sp. OHSU_I-C6  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Afronersia sp. JMU-2012,,,,,,,,,,,,,,,,,,,,2e-06,,,,,
Afrothismia korupensis,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,4e-07,2e-07
Agabus disintegratus,,,,,,,,,,,,,,,,,,,,,4e-07,,,,
Agarophyton chilense,,,,,,,,,,,,,,2e-05,,,,,,4e-06,3.3e-06,9e-07,2.2e-06,1.6e-06,3.8e-06
Agelastica alni,,,,,,,,,,,,,,,,,5e-06,,9e-06,,7.4e-06,1.01e-05,8e-06,8.4e-06,6.3e-06
Agfa flexilis,,,,,,,,,,,,,,,,,6e-06,,,,2.2e-06,2.4e-06,1.6e-06,1.8e-06,2.1e-06
Aggregata eberthi,,,,,,,,,,,,,,,,,,,,,7e-07,1e-06,1e-06,1e-06,7e-07
Aggregata octopiana,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,2e-07,2e-07,4e-07
Aggregatibacter aphrophilus   ,,,,,,,,,,,,,,,,,,,,,,6e-07,,,2e-07
Aglaophamus dibranchis  ,,,,,,,,,,,,,,,,,,,,,5.7e-06,4.6e-06,4.9e-06,,
Agnathodysteria littoralis,,,,,,,,,,,,,,,,,,,,,4e-07,6e-07,7e-07,7e-07,6e-07
Agolohymena aspidocauda,,,,,,,,,,,,,,,,,,,,,2e-07,,3e-07,2e-07,3e-07
Agrobacterium sp. 148A  ,,,,,,,,,,,,,,,,,4e-06,,,,8e-07,1.1e-06,1.4e-06,1.3e-06,1e-06
Agrobacterium sp. LKXJ-3  ,,,,,,,,,,,,,,,,9e-06,1.2e-05,8e-06,6e-06,7e-06,6.7e-06,6.6e-06,7.5e-06,7.2e-06,7.3e-06
Agrobacterium sp. PJE5  ,,,,,,,,,,,,,,,,,,,,,3.5e-06,3.6e-06,2.8e-06,4.4e-06,6.7e-06
Agrococcus sp. Everest-gws-11  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Agrococcus sp. SBT351  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Agrococcus sp. Tm9-1  ,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,,3e-07
Agromyces atrinae   ,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,3e-07,,
Agromyces cerinus,,,,,,,,,,,,,,,,,,,,,3e-07,5e-07,5e-07,5e-07,5e-07
Agromyces mediolanus   ,,,,,,,,,,,,,,,,,,1.1e-05,,,1.3e-06,,2e-07,4e-07,4e-07
Agromyces sp. FRBN9  ,,,,,,,,,,,,,,,,,,,,,,1.1e-06,1e-06,,1.1e-06
Agromyces sp. enrichment culture clone,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Agrypnia deflata,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,2e-07
Ahnfeltia plicata,,,,,,,,,,,,,,,,,,,,,,8e-07,8e-07,6e-07,1e-06
Ailadinium reticulatum  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Alaninema sp. MJW-2012,,,,,,,,,,,,,,,,,,,,,3e-07,,,3e-07,3e-07
Alatina alata,,,,,,,,,,,,,,,,,,,,,3e-07,,3e-07,,2e-07
Alatospora acuminata,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Albidovulum sp. HME9669  ,,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,,2e-07
Albimonas pacifica   ,,,,,,,,,,,,,,,,,,6e-06,,,1.5e-06,1.3e-06,1.7e-06,1.5e-06,1.3e-06
Alcaligenes faecalis   ,,,,,,,,,,,,,,,,2e-06,,,,,2e-07,3e-07,2e-07,4e-07,
Alcaligenes faecalis subsp. parafaecalis ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,4e-07
Alcaligenes faecalis subsp. phenolicus ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,2e-07,
Alcaligenes sp.,,,,,,,,,,,,,,,,,,2e-06,,,,,6e-07,,
Alcaligenes sp.   ,,,,,,,,,,,,,,,,,,,,,7e-07,7e-07,4e-07,5e-07,3e-07
Alcaligenes sp. AW10  ,,,,,,,,,,,,,,,,,,,3e-06,,4e-07,4e-07,4e-07,,2e-07
Alcaligenes sp. HPC1271  ,,,,,,,,,,,,,,,,,,,,,6e-07,8e-07,6e-07,5e-07,9e-07
Alcaligenes sp. TS-MOSK-6  ,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,3e-07
Alcanivorax sp. B-1146  ,,,,,,,,,,,,,,,,,,,,,,3e-07,,,2e-07
Alcanivorax sp. HS251  ,,,,,,,,,,,,0.00011,,,,,,,,,1.46e-05,,,,
Aleochara curtula,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,8e-07,4e-07,5e-07
Aleuria,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
Alexandrium diversaporum,,,,,,,,,,,,,,,,,,,,,,4e-07,,2e-07,
Alexandrium fundyense,,,,,,,,,,,,,,,,,,,,,,3e-07,,,
Alexandrium leei,,,,,,,,,,,,,,,,,,,,,6e-07,,,,
Alexandrium sp. ACC01,,,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,7e-07
Algibacter sp. CMS186  ,,,,,,,,,,,,,,,,,,,,,1.9e-06,2.1e-06,1.9e-06,,2.2e-06
Algibacter sp. KT9  ,,,,,,,,,,,,,,,,,,,,,8e-07,3e-07,1e-06,3e-07,3e-07
Algibacter sp. NBRC 110220 ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Algicola bacteriolytica   ,,,,,,,,,,,0.0001,,,,,8.4e-05,7.5e-05,9e-05,7.5e-05,7.4e-05,8.19e-05,7.85e-05,7.91e-05,7.74e-05,7.97e-05
Algicola sagamiensis   ,,,,,,,,,,,,,,,,,,,,,,1.3e-06,,,
Algoriphagus marincola,,,,,,,,,,,,,,,,,,,,,,3e-07,,,
Algoriphagus yeomjeoni   ,,,,,,,0.0004,0.0003,0.0003,,0.00032,0.00026,0.0002,0.00024,0.00021,0.000242,0.000233,0.000215,0.000216,0.000253,0.0002248,0.0002239,0.0002275,0.0002178,0.0002284
Aliatypus trophonius  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Alicyclobacillus sp. ANBae-10  ,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,,3e-07,3e-07
Aliidiomarina taiwanensis   ,,,,,,,,,,,,,,,,,,,,,,,,,4.2e-06
Aliiglaciecola litoralis   ,,,,,,,,,,,0.00028,0.00029,0.0004,0.00029,0.00031,0.000289,0.000306,0.000316,0.00026,0.000293,0.0002994,0.0002999,0.0002945,0.0002979,0.0003044
Aliikangiella marina,,,,,,,,,,,,,,,,9e-06,,,7e-06,1.1e-05,6.3e-06,6.2e-06,6.9e-06,7.2e-06,7.8e-06
Aliivibrio fischeri,,,,,,,,,,,,,,,,,,,,,,,,,3e-07
Alisma plantago-aquatica,,,,,,,,,,,,,,,,,,,,,,4e-07,,,
Allas diplophysa,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07
Alloascoidea hylecoeti,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Allochromatium sp. JA506  ,,,,,,,,,,,,,,,,,,,,,9e-07,,,1.2e-06,1.2e-06
Alloionema appendiculatum,,,,,,,,,,,,,,,,,,,,,5e-07,,6e-07,,
Allopauropus sp. PA0200002,,,,,,,,,,,,,,,,,,,,,,,1.6e-06,2.6e-06,2.4e-06
Allotarsus dentipes,,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,,
Almeida pilosa  ,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,,,3e-07
Alnus glutinosa,,,,,,,,,,,,,,,,,,,,3e-06,2e-07,4e-07,3e-07,3e-07,3e-07
Alphaproteobacteria bacterium canine oral taxon,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,
Alpheidae sp. BOLD:ACR5024,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07,2e-07
Alpheidae sp. BOLD:ACR8483,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Altererythrobacter confluentis,,,,,,,,,,,,,,,,,,,,,,,,,1.3e-06
Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Alternaria brassicicola,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,6e-07,6e-07,6e-07
Alternaria caespitosa  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Alternaria metachromatica,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,
Alternaria sp. 3 SD-2012,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,5e-07,5e-07,4e-07
Alternaria sp. 4 SD-2012,,,,,,,,,,,,,,,,,,,,2e-06,,3e-07,4e-07,,3e-07
Alteromonadaceae bacterium HB10001  ,,,,,,,,,,,,,,,,,,,,,8e-07,6e-07,,,1e-06
Alteromonadaceae bacterium R8  ,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,,3e-07,4e-07
Alteromonadales bacterium P6,,,,,,,,,,,,,,,,,,,,,4e-07,6e-07,,3e-07,5e-07
Alteromonas macleodii,,,,,,,,,,,2e-05,,,,2e-05,,5e-06,4e-06,4e-06,4e-06,2.7e-06,2.7e-06,2.8e-06,2.8e-06,3.4e-06
Alteromonas macleodii   ,,,,,,,,,,,,,,,,,,,,,6.3e-06,2.74e-05,2.59e-05,1.22e-05,2.15e-05
Alteromonas marina   ,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Alteromonas mediterranea,,,,,,,,,,,,,,,,,,,,,7.3e-06,1.02e-05,,,
Alteromonas sp. BCw006  ,,,,,,,,,,,,,,,,,,,,,1.63e-05,1.53e-05,2.89e-05,2.42e-05,2.19e-05
Alteromonas sp. E34  ,,,,,,,,,,,,,,,,,,,,,5e-07,4e-07,2e-07,5e-07,3e-07
Alteromonas stellipolaris,0.02,,,0.018,,0.0061,0.0059,0.0058,0.0063,0.006,0.0035,0.00404,0.00368,0.00398,0.004,0.003718,0.003625,0.003741,0.003659,0.003731,0.0036766,0.0037026,0.0036892,0.0037126,0.0037036
Amathia crispa,,,,,,,,,,,,,,,,,,,,,5e-07,7e-07,,,
Amathia verticillata,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Ambispora fennica,,,,,,,,,,,,,,,,,,,,,1e-06,,5e-07,9e-07,7e-07
Amblyomma auricularium  ,,,,,,,,,,,,,,,,,,,,,1.2e-06,1.3e-06,7e-07,1.5e-06,1.3e-06
Amblyospora californica,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Amblyospora sp.,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Amborella trichopoda,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,4e-07,2e-07
Ambrosiozyma kamigamensis  ,,,,,,,,,,,,,,,,,2e-06,,,,,,,3e-07,3e-07
Americamysis almyra,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
