phylum,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Candidatus Nanohalarchaeota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.879200231659802e-07,0.0,0.0
Candidatus Nealsoniibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0002,0.00010000100001,0.00012,0.00014,0.00012,5.0000500005000046e-05,8.800070400563204e-05,8.000080000800008e-05,9.800078400627204e-05,6.500039000234001e-05,9.600076800614403e-05,8.250944520172117e-05,9.83137043397444e-05,0.00010043632338223311,7.698669875054116e-05,7.631872755781744e-05
Candidatus Nezhaarchaeota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.879200231659802e-07,0.0,0.0
Candidatus Niyogiibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0000240001920015e-06,1.000010000100001e-06,0.0,1.0000060000360005e-06,0.0,6.87578710014343e-07,6.875084219562546e-07,0.0,1.3747624776882353e-06,6.875561041244814e-07
Candidatus Nomurabacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,3e-05,4e-05,2e-05,1.000010000100001e-05,2.100016800134401e-05,1.900019000190002e-05,1.9000152001216007e-05,1.8000108000648007e-05,2.3000184001472008e-05,2.7503148400573718e-05,2.062525265868764e-05,2.3389280787643336e-05,2.062143716532353e-05,2.6127131956730294e-05
Candidatus Odinarchaeota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,1.0000080000640005e-06,0.0,1.0000080000640005e-06,2.000012000072001e-06,2.000016000128001e-06,0.0,0.0,6.879200231659802e-07,2.062143716532353e-06,6.875561041244814e-07
Candidatus Omnitrophota,0.0,0.0,0.0,0.003,0.0,0.0005,0.0004,0.0006000000000000001,0.0003,0.0005,0.00037000370003700004,0.00028,0.00029,0.00031,0.000270002700027,0.000297002376018976,0.0002790027900279,0.00029900239201913204,0.00030400182401086,0.000316002528020132,0.00028740790078595976,0.00030937878988024397,0.0002937418498917928,0.0003031351263302059,0.0002922113442528975
Candidatus Paceibacterota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0003,6.000060000600007e-05,0.00012,3e-05,9e-05,7.000070000700009e-05,6.100048800390403e-05,4.900049000490005e-05,6.500052000416005e-05,7.200043200259203e-05,6.900055200441604e-05,7.082060713147734e-05,7.012585903953797e-05,6.879200231659805e-05,6.805074264556766e-05,6.806805430832368e-05
Candidatus Parcubacteria,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0001,1.000010000100001e-05,4e-05,6e-05,3.0000000000000004e-05,4.000040000400004e-05,3.400027200217602e-05,1.9000190001900018e-05,3.300026400211202e-05,2.0000120000719998e-05,2.100016800134401e-05,4.194230131087492e-05,3.368791267585648e-05,3.714768125096294e-05,3.574382441989412e-05,3.7128029622722e-05
Candidatus Parvarchaeota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.873812388441177e-07,0.0
Candidatus Peregrinibacteria,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,7.000070000700007e-05,6.000000000000001e-05,4e-05,9.999999999999999e-05,9.00009000090001e-05,6.800054400435204e-05,4.7000470004700047e-05,5.6000448003584025e-05,6.200037200223201e-05,5.400043200345603e-05,5.363113938111876e-05,5.843821586628164e-05,7.773496261775578e-05,5.155359291330882e-05,6.32551615794523e-05
Candidatus Poribacteria,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0002,0.0,9.000090000900009e-05,0.00011,7e-05,0.00011,0.00010000100001,0.0001010008080064,8.700087000870009e-05,9.400075200601605e-05,0.000113000678004,9.600076800614403e-05,9.6261019402008e-05,9.28136369640944e-05,9.49329631969053e-05,0.0001141052856481,0.000105196083931
Candidatus Portnoyibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,1.000010000100001e-05,1.0000080000640005e-06,2.000020000200002e-06,0.0,1.0000060000360005e-06,1.0000080000640005e-06,2.062736130043029e-06,3.437542109781273e-06,4.127520138995883e-06,2.7495249553764707e-06,1.375112208248963e-06
Candidatus Pyropristinus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,4.125336624746889e-06
Candidatus Ratteibacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,1.0000060000360005e-06,2.000016000128001e-06,6.87578710014343e-07,1.3750168439125092e-06,0.0,0.0,0.0
