order,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Amphipoda,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,2.000020000200002e-05,1e-05,0.0,4e-05,2.000020000200002e-05,3.1000248001984015e-05,2.000020000200002e-05,2.000016000128001e-05,1.2000072000432001e-05,2.4000192001536015e-05,1.7189467750358578e-05,2.131276108064389e-05,2.4765120833975293e-05,4.055549309180294e-05,2.268935143610789e-05
Amylocorticiales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,1.000010000100001e-06,1.0000080000640005e-06,3.000018000108001e-06,0.0,1.375157420028686e-06,0.0,6.879200231659802e-07,0.0,6.875561041244814e-07
Anaerolineales,0.0,0.0,0.0,0.0,0.004,0.0012000000000000001,0.0014,0.0009,0.0001,0.0009000000000000001,0.0008800088000880001,0.00095,0.0008500000000000001,0.00088,0.000920009200092,0.0009230073840590041,0.0009050090500905001,0.0009360074880598,0.0009240055440332321,0.0009670077360618,0.0008945399017285762,0.000930886403328644,0.0008757221894902403,0.0008578517860773352,0.0009522652042122524
Anaeroplasmatales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,1.0000060000360005e-06,0.0,0.0,0.0,6.879200231659802e-07,0.0,6.875561041244814e-07
Anaerosomatales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,3.0000240001920015e-06,0.0,4.000032000256002e-06,3.0000180001080015e-06,4.000032000256002e-06,1.375157420028686e-06,6.875084219562546e-07,2.751680092663921e-06,6.873812388441177e-07,0.0
Anaulales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,2.000020000200002e-05,8e-05,2e-05,6e-05,5.000050000500006e-05,1.6000128001024008e-05,2.9000290002900038e-05,1.3000104000832007e-05,2.8000168001008002e-05,2.000016000128001e-05,2.200251872045897e-05,0.00010381377171535625,1.719800057914951e-05,0.0001745948346664,1.5126234290738591e-05
Ancyromonadida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875084219562546e-07,0.0,0.0,0.0
Andreaeales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anisolpidiales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-06,0.0,1.0000060000360005e-06,0.0,0.0,6.875084219562546e-07,6.879200231659802e-07,0.0,0.0
Anostraca,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,0.0,1.2000096000768008e-05,9.00009000090001e-06,4.000032000256002e-06,6.000036000216002e-06,8.000064000512004e-06,1.0313680650215146e-05,1.3062660017168838e-05,2.2701360764477352e-05,6.186431149597059e-06,1.443867818661411e-05
Anthoathecata,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,8.000080000800008e-05,7.000000000000001e-05,6e-05,7.000000000000001e-05,6.000060000600007e-05,5.200041600332802e-05,5.500055000550005e-05,6.000048000384003e-05,5.2000312001872014e-05,6.0000480003840035e-05,6.050692648126218e-05,6.806333377366921e-05,6.0536962038606274e-05,6.048954901828236e-05,4.812892728871371e-05
Anthocerotales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875561041244814e-07
Antipatharia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875561041244814e-07
Aphragmophora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,1.375157420028686e-06,0.0,0.0,0.0,0.0
Apiales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,1e-05,1e-05,0.0,0.0,5.000040000320002e-06,4.000040000400004e-06,3.000024000192002e-06,1.1000066000396002e-05,3.000024000192002e-06,8.250944520172118e-06,6.875084219562547e-06,7.567120254825783e-06,2.7495249553764707e-06,4.81289272887137e-06
Aplysiida,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,3.0000300003000036e-05,0.0,2e-05,2e-05,2.000020000200002e-05,2.400019200153601e-05,2.3000230002300026e-05,2.7000216001728015e-05,3.400020400122401e-05,2.400019200153601e-05,2.9565884530616757e-05,1.9937744236731385e-05,1.8573840625481472e-05,1.5809768493414705e-05,1.993912701960996e-05
Apochela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apusomonadida,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0001,0.0,0.0001,5.0000500005000046e-05,4e-05,1e-05,2e-05,1.000010000100001e-05,2.400019200153601e-05,3.700037000370003e-05,2.200017600140801e-05,2.300013800082801e-05,3.300026400211202e-05,2.9565884530616757e-05,2.4062794768468916e-05,2.3389280787643336e-05,2.1996199643011765e-05,3.6440473518597525e-05
Aquificales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000030000300003e-05,0.0,3.0000000000000004e-05,3.0000000000000004e-05,3.000030000300003e-05,1.700013600108801e-05,1.7000170001700017e-05,1.5000120000960009e-05,1.900011400068401e-05,2.1000168001344013e-05,2.3377676140487664e-05,2.4750303190425164e-05,1.857384062548147e-05,1.5809768493414705e-05,1.7188902603112035e-05
Aquifoliales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Araneae,0.0,0.0,0.0,0.001,0.0,0.0002,0.0,0.0,0.0,0.0002,0.0002000020000200002,0.00024,9e-05,0.00016,0.00021000210002100023,0.00013800110400883205,0.00015400154001540015,0.00014700117600940807,0.00014100084600507604,0.00018700149601196808,0.00018289593686381526,0.00011343888962278201,0.00018023504606948687,0.00016153459112836765,0.00017945214317648966
Araucariales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,0.0,0.0,0.0,0.0,0.0
Arcellinida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,6.87578710014343e-07,1.3750168439125092e-06,6.879200231659802e-07,0.0,0.0
Archaeoglobales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.000056000448003e-06,3.0000300003000026e-06,3.000024000192002e-06,2.000012000072001e-06,4.000032000256002e-06,2.750314840057372e-06,2.062525265868764e-06,4.127520138995882e-06,4.124287433064706e-06,4.812892728871371e-06
Archaeognatha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.873812388441177e-07,0.0
Archaeosporales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0003,0.0,5.0000500005000046e-05,3e-05,4e-05,5e-05,6.000060000600007e-05,5.9000472003776034e-05,7.70007700077001e-05,0.00012200097600771201,0.000173001038006132,7.900063200505605e-05,0.0001024492277921371,0.00014781431072053133,0.00014446320486482167,0.00010241980458777352,0.00012444765484647137
Architaenioglossa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,2e-05,0.0,2.000020000200002e-05,1.5000120000960009e-05,2.3000230002300026e-05,1.5000120000960009e-05,1.3000078000468004e-05,1.800014400115201e-05,1.993978259041595e-05,1.1000134751300074e-05,2.614096088030725e-05,2.887001203145294e-05,1.3063565978365147e-05
Arcoida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,1.000010000100001e-05,3e-05,3e-05,3e-05,2.000020000200002e-05,8.000064000512004e-06,1.2000120001200012e-05,1.4000112000896006e-05,7.000042000252001e-06,1.800014400115201e-05,1.7189467750358575e-05,1.650020212695011e-05,1.5822160532817547e-05,1.3747624776882352e-05,1.375112208248963e-05
Ardenticatenales,0.0,0.0,0.0,0.0,0.001,0.0004,0.0002,0.0002,0.0,0.0001,0.00011000110001100011,0.00014000000000000001,0.00017999999999999998,0.00012000000000000002,9.000090000900009e-05,0.000129001032008252,0.00014500145001450002,0.0001640013120104,0.00015100090600534,0.000154001232009844,0.0001423287929729299,0.0001443767686107501,0.0001527182451428196,0.0001546607787398706,0.00014507433797023237
Ardissoneales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-05,0.0,5.000040000320002e-06,1.000010000100001e-06,1.0000080000640005e-06,1.0000060000360005e-06,0.0,1.375157420028686e-06,6.875084219562546e-07,3.439600115829901e-06,0.0,6.875561041244814e-07
Arecales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.000030000300003e-05,1e-05,1e-05,2e-05,6.000060000600006e-05,5.000040000320003e-06,2.000020000200002e-06,6.000048000384003e-06,6.0000360002160005e-06,6.000048000384002e-06,4.813050970100401e-06,3.437542109781273e-06,3.4396001158299023e-06,3.436906194220588e-06,2.0626683123734445e-06
Arenicellales,0.0,0.005,0.008,0.003,0.0,0.0026999999999999997,0.0024000000000000002,0.0012000000000000001,0.002,0.0021000000000000003,0.001990019900199,0.00249,0.00234,0.0021,0.0018000180001800001,0.0021010168081343,0.0020270202702027,0.002179017432139252,0.002123012738076228,0.002087016696133404,0.0021094914823238486,0.0020879630774810315,0.0021126023911426637,0.002165938283597665,0.0021795528500744257
Arguloida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875561041244814e-07
Armatimonadales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,1e-05,0.0,0.0,0.0,3.000024000192002e-06,2.000020000200002e-06,3.000024000192002e-06,4.000024000144001e-06,3.000024000192002e-06,3.437893550071715e-06,6.875084219562546e-07,6.879200231659803e-06,2.7495249553764707e-06,6.875561041244814e-07
Arthoniales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,1.0000080000640005e-06,3.0000300003000026e-06,6.000048000384003e-06,3.0000180001080015e-06,3.000024000192002e-06,2.062736130043029e-06,1.3750168439125092e-06,4.127520138995881e-06,9.623337343817647e-06,3.4377805206224074e-06
Articulavirales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ascoideales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,1.0000080000640005e-06,1.000010000100001e-06,1.0000080000640005e-06,1.0000060000360005e-06,2.000016000128001e-06,6.87578710014343e-07,3.437542109781273e-06,2.751680092663922e-06,2.062143716532353e-06,0.0
Asfuvirales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,2.000016000128001e-06,4.000040000400004e-06,1.0000080000640005e-06,1.0000060000360005e-06,5.000040000320003e-06,2.750314840057372e-06,0.0,4.127520138995881e-06,2.062143716532353e-06,1.375112208248963e-06
Asparagales,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0001,7.000070000700007e-05,4e-05,6e-05,4e-05,0.0,3.700029600236802e-05,2.400024000240002e-05,2.400019200153601e-05,4.000024000144001e-05,2.9000232001856013e-05,2.8190727110588064e-05,3.162538740998771e-05,1.926176064864745e-05,3.230691822567353e-05,2.4752019748481333e-05
Asterales,0.001,0.0,0.0,0.0,0.001,0.0,0.0002,0.0,0.00030000000000000003,0.0007,0.0002800028000280001,0.00016,0.00025,0.00017,0.0003100031000310002,0.0001600012800102401,0.00015300153001530014,0.00012700101600812805,0.00016400098400590405,0.00014000112000896008,0.00014920458007311243,0.00012100148226430082,0.00015546992523551156,0.00013128981661922646,0.00016432590888575108
