Phylum,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Candidatus Kaiserbacteria,,,,,,,,,,,,,4e-05,,,1e-05,1.9e-05,1.1e-05,2.7e-05,1.8e-05,1.87e-05,1.82e-05,1.94e-05,1.55e-05,1.65e-05
Candidatus Kuenenbacteria,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Candidatus Latescibacterota,,,,,,,,,,,,,,,,1.5e-05,1.9e-05,3.4e-05,1.2e-05,1.3e-05,1.97e-05,1.8e-05,1.57e-05,1.84e-05,2.04e-05
Candidatus Magasanikiibacteriota,,,,,,,,,,,,,,,,,,,,,3e-07,1.4e-06,5e-07,3e-07,
Candidatus Melainabacteria,,,,,,,,,,,,,,,,,,,,,1e-06,1.4e-06,7e-07,8e-07,1.3e-06
Candidatus Moraniibacteriota,,,,,,,,,,,,,,,,,,2e-06,,,5e-07,3e-07,4e-07,2e-07,2e-07
Candidatus Nomurabacteria,,,,,,,,,,,,,,,,,,,,,2.4e-06,2.1e-06,,,1.6e-06
Candidatus Omnitrophota,,,,,,,,,,,,,,,,3e-06,,4e-06,,3e-06,2.6e-06,3e-06,3.3e-06,2.8e-06,2.7e-06
Candidatus Paceibacterota,,,,,,,,,,,,,,,,,,,,,,,3e-07,,
Candidatus Parcubacteria,,,,,,,,,,,,,,,,,2.3e-05,,,,2.1e-06,1.68e-05,1.2e-06,1.9e-06,1.2e-06
Candidatus Parvarchaeota,,,,,,,,,,,,,,,,,,2e-06,,,1.3e-06,1e-06,1.1e-06,1.2e-06,8e-07
Candidatus Peregrinibacteria,,,,,,,,,,,,,,,,,,,,,9e-07,2e-06,1e-06,9e-07,7e-07
Candidatus Rokuibacteriota,,,,,,,,,,,,,,,,,,,,,,,8e-07,,7e-07
Candidatus Saccharibacteria,,,,,,,,,,,,,7e-05,,,,,1.2e-05,,1.4e-05,4.52e-05,1.19e-05,8.5e-06,2.6e-05,3.33e-05
Candidatus Shapirobacteria,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Candidatus Sumerlaeota,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.7e-06,1.8e-06,1.9e-06,1.9e-06
Candidatus Woesebacteria,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Candidatus Wolfebacteria,,,,,,,,,,,,,,,,,,,,,1.2e-06,4e-07,1.5e-06,4e-07,4e-07
Centrohelida,,,,,,0.0005,0.0008,,,,0.00023,0.00024,0.00025,0.00025,0.00032,0.000249,0.000255,0.000268,0.000233,0.000237,0.0002484,0.0002497,0.0002493,0.0002533,0.0002534
Cercozoa,0.03,0.023,0.031,0.025,0.033,0.03,0.0259,0.027,0.0294,0.0285,0.0276,0.02814,0.02773,0.02814,0.02701,0.027319,0.027706,0.027633,0.02745,0.027549,0.0274742,0.0273678,0.027433,0.0274528,0.027439
Chaetognatha,,,,,,,,,,,,,,,,,,,,,6e-07,,,2e-07,4e-07
Chlamydiae,,,,,,,,,,,9e-05,,5e-05,0.00014,8e-05,8.4e-05,0.00014,0.000105,8.1e-05,8.1e-05,8.8e-05,9.2e-05,8.81e-05,8.23e-05,9.11e-05
Chlamydiota,,,,,,,,,,,0.00015,0.0001,,0.00013,0.00015,0.000113,6.1e-05,3.9e-05,7.3e-05,7.4e-05,6.52e-05,7.04e-05,7.22e-05,7.51e-05,7.03e-05
Chlorobi,,,,,,,,,,,,,,,,4e-06,6e-06,6e-06,8e-06,2e-06,9.5e-06,8.8e-06,8e-06,8e-06,8.2e-06
Chlorobiota,,,,,,,,,,,0.00023,0.00019,0.00021,0.00017,0.00019,0.000192,0.00021,0.000176,0.000188,0.00021,0.0002026,0.0001998,0.0001953,0.0002062,0.0002024
Chloroflexi,,,,,,,,,,,5e-05,0.00024,0.00012,0.0001,0.00021,0.000263,0.000197,0.000318,0.000317,0.000289,0.0004275,0.0003763,0.0003736,0.0003831,0.0003756
Chloroflexota,,,,,,,,,,,,6e-05,4e-05,,,6.2e-05,6.7e-05,7.5e-05,9.2e-05,8.1e-05,8.69e-05,8.44e-05,8.63e-05,8.22e-05,8.79e-05
Chlorophyta,,,,0.01,0.005,0.0045,0.0036,0.003,0.0032,0.003,0.00348,0.0036,0.00304,0.00305,0.00359,0.003558,0.003595,0.003426,0.003508,0.003545,0.0035716,0.0035492,0.0035566,0.0035353,0.0035547
Choanoflagellida,,,,,,,,0.0015,,0.0012,0.0008,0.00057,0.00068,0.00074,0.00063,0.000669,0.000694,0.00073,0.000686,0.000649,0.0007011,0.0006831,0.0006849,0.0006858,0.0006825
Chordata,,,,,,,0.0002,,,,0.00019,0.00024,0.00018,0.00013,8e-05,0.000381,0.000325,0.000435,0.000455,0.000348,0.0004647,0.0004649,0.0004674,0.000456,0.0004688
Chytridiomycota,,,,,,,,0.0006,0.0005,0.0005,0.00077,0.00065,0.00079,0.00075,0.00064,0.000704,0.000676,0.000763,0.000715,0.000641,0.000719,0.0007168,0.0007191,0.000722,0.0007132
Ciliophora,,,,0.016,,0.0059,0.0047,0.0036,0.0066,0.0036,0.00634,0.00596,0.0058,0.00601,0.00626,0.006205,0.006103,0.006184,0.00619,0.006288,0.006177,0.0062234,0.0062195,0.0062102,0.0062218
Cloacimonadota,,,,,,,,,,,,,,,,,,,,,3e-07,9e-07,5e-07,8e-07,5e-07
Cloacimonetes,,,,,,,,,,,,,,,,,,2e-06,,2e-06,3.7e-06,3.1e-06,3.5e-06,2.9e-06,3.2e-06
Cnidaria,,,,,,0.0002,0.0006,,,,0.00052,0.0005,0.00057,0.00042,0.00052,0.000616,0.000707,0.000617,0.000657,0.000607,0.0006863,0.0006821,0.0006828,0.0007082,0.000697
Coprothermobacterota,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,
Crenarchaeota,,,,,,,,,,,,,,,,6e-06,1.5e-05,1.7e-05,1.4e-05,7e-06,2.31e-05,2.46e-05,2.37e-05,2.66e-05,2.35e-05
Cryptomycota,,,,,,,,,,,0.0002,0.00018,0.00013,4e-05,0.0001,0.00013,0.000153,0.000136,0.000167,0.000149,0.0001516,0.0001618,0.0001556,0.0001613,0.0001591
Cryptophyceae,,,,,,,,,,,,,,,,,2e-06,2e-06,5e-06,9e-06,1.06e-05,1.08e-05,9.1e-06,7.2e-06,1.01e-05
Cyanobacteria,0.061,0.068,0.047,0.054,0.051,0.0566,0.0611,0.059,0.0599,0.0549,0.05502,0.0555,0.05496,0.05522,0.05508,0.054685,0.054413,0.054962,0.054974,0.054232,0.0547288,0.0548842,0.0548195,0.0548148,0.0547839
Cyanobacteriota,,,,,,,,,,,0.00034,7e-05,0.00017,0.00024,0.00035,0.000408,0.000354,0.000292,0.000342,0.000382,0.0003673,0.0003676,0.0003138,0.0003868,0.0003139
D4P07G08,,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,3e-07,4e-07
DH147-EKD10,,,,,,,,,,,0.00012,0.00012,0.00016,0.00012,8e-05,0.000117,0.0001,0.000111,0.000114,0.000107,0.0001048,0.0001036,0.0001093,0.0001082,0.0001127
Dadabacteria,,,,,,,,,,,,,,,,,1.1e-05,,,8e-06,5.8e-06,4.5e-06,4.8e-06,4.2e-06,6e-06
Deferribacteres,,,,,,,,,,,,,,,,6e-06,2e-06,7e-06,5e-06,4e-06,2.9e-06,2.6e-06,2.7e-06,3e-06,2.8e-06
Deferribacterota,,,,,,,,,,,,,,,,,,,,,,5e-07,6e-07,4e-07,8e-07
Deferrisomatota,,,,,,,,,,,,,,,,5e-06,,6e-06,,,3.3e-06,3.5e-06,2.3e-06,2.6e-06,2.8e-06
Deinococcota,,,,,,,,,,,,4e-05,2e-05,,3e-05,1.7e-05,1.1e-05,1.8e-05,2.3e-05,1.1e-05,1.53e-05,1.57e-05,1.63e-05,1.57e-05,1.49e-05
Deinococcus-Thermus,,,,,,,,,,,3e-05,,,,,2.1e-05,2.3e-05,2e-05,2.8e-05,2.3e-05,3.18e-05,3.07e-05,3.23e-05,3.25e-05,2.86e-05
Dependentiae,,,,,,,,,,0.0002,,,2e-05,4e-05,,4e-05,2.3e-05,1.7e-05,5.3e-05,4.3e-05,3.51e-05,3.75e-05,3.86e-05,3.54e-05,3.62e-05
Desulfobacterota,,,,,,0.0007,0.001,0.0014,0.0003,0.0009,0.00085,0.00093,0.00085,0.00081,0.00089,0.000808,0.000803,0.000782,0.000815,0.000792,0.0007895,0.000784,0.0007799,0.0007726,0.0007775
Diapherotrites,,,,,,,,,,,,,,,,2e-06,,3e-06,,2e-06,4.2e-06,5.5e-06,4.9e-06,2.9e-06,3.1e-06
Diatomea,,,,,,,,,,,,,,,,,,,,,1.9e-06,1.2e-06,1.2e-06,1.1e-06,1.8e-06
Dictyoglomi,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,,3e-07,6e-07
Dinoflagellata,,,,,,,,,,,,,,,,,6.7e-05,,8.1e-05,5.7e-05,4.92e-05,3.7e-05,6.31e-05,7.59e-05,4.73e-05
Discicristoidea,,,,,,,,,,,9e-05,0.00014,0.00014,9e-05,0.00015,0.000162,0.00017,0.000168,0.000174,0.000156,0.00018,0.0001731,0.0001743,0.0001778,0.0001817
Discoba,,,,,,,,,,,,,,,,,,,3e-06,,8e-07,1e-06,7e-07,,6e-07
Discosea,,,,,,,,,,,,,,,,,,,,,,5e-07,,3e-07,8e-07
Echinodermata,,,,,,,,,,,,,,,,,,,3e-06,2e-06,1.4e-06,3.4e-06,3e-06,1.5e-06,1.6e-06
Elusimicrobia,,,,,,,,,,,,,,,,,,8e-06,,,4.7e-06,4.8e-06,4.8e-06,5.9e-06,6.1e-06
Elusimicrobiota,,,,,,,,,,,,,,,,,,,,,7e-07,8e-07,3e-07,4e-07,6e-07
Endomyxa,,,,,,,,,,,4e-05,,7e-05,2e-05,6e-05,7.1e-05,7e-05,6.2e-05,6.7e-05,6.8e-05,8.01e-05,8.5e-05,8.4e-05,8.39e-05,7.81e-05
Entomophthoromycota,,,,,,,,,,,0.00035,0.00035,0.0003,0.0003,0.00031,0.000349,0.000291,0.00032,0.000322,0.000305,0.0003174,0.0003168,0.0003162,0.0003192,0.0003142
Euglenozoa,,,,,,0.0013,0.0011,0.0013,0.0009,0.0007,0.00088,0.001,0.00089,0.00097,0.00082,0.001006,0.000963,0.000929,0.000907,0.000988,0.0009663,0.0009685,0.0009647,0.0009553,0.0009598
Euryarchaeota,0.002,,0.002,,,0.0004,0.0018,0.0015,0.001,0.0019,0.0015,0.00175,0.00185,0.00155,0.00177,0.00179,0.001871,0.001714,0.001739,0.001862,0.0020863,0.0021297,0.0021065,0.0020726,0.0020784
Evosea,,,,,,,,,,,,,,,,9e-06,9e-06,1e-05,2e-05,1.6e-05,2.38e-05,2.47e-05,2.72e-05,2.31e-05,2.4e-05
Excavata,,,,,,,,0.0002,,,5e-05,0.00012,0.0001,0.0001,0.00013,0.000162,0.000178,0.000148,0.000199,0.000158,0.0001831,0.0001799,0.0001722,0.0001818,0.0001868
FBP,,,,,,,,,,,,,,,,4e-06,,,,3e-06,,1.4e-06,1.3e-06,1.5e-06,1.7e-06
FCPU426,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Fervidibacteria,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Fibrobacteres,,,,,,,,,,,,,2e-05,2e-05,,2e-05,2.7e-05,3.1e-05,2.3e-05,2.2e-05,3.98e-05,4.02e-05,3.65e-05,3.74e-05,3.79e-05
Fibrobacterota,,,,,,,,,,,,,,,,3e-06,2e-06,2e-06,3e-06,,3.5e-06,3.4e-06,3.8e-06,2.1e-06,3.5e-06
Filasterea,,,,,,,,,,,,,,,,2e-05,,3e-06,2e-05,7e-06,1.36e-05,1.51e-05,1.47e-05,1.29e-05,1.43e-05
Firmicutes,,,,0.002,,0.0052,0.0072,0.0015,0.0018,0.0067,0.00624,0.00603,0.00507,0.00403,0.0047,0.005563,0.005482,0.00545,0.005083,0.005207,0.0058082,0.0057028,0.0057402,0.0056762,0.0056808
Foraminifera,0.091,0.099,0.103,0.088,0.13,0.0871,0.0869,0.0894,0.0934,0.0856,0.08771,0.08641,0.08793,0.0876,0.08787,0.08623,0.086137,0.086125,0.085923,0.085831,0.0856836,0.0856925,0.0856803,0.0856,0.0855672
Fornicata,,,,,,,,,,,,,,,,,,,,,1.1e-06,3e-07,8e-07,7e-07,6e-07
Fusobacteria,,,,,,,,,,,,3e-05,,8e-05,3e-05,6.8e-05,7.6e-05,7.6e-05,0.000101,8.2e-05,0.000128,0.0001362,0.0001429,0.0001374,0.0001312
Fusobacteriota,,,,,,,,,,,0.00011,3e-05,6e-05,5e-05,,7.1e-05,5.6e-05,7.5e-05,7.6e-05,8.3e-05,6.17e-05,6.23e-05,6.14e-05,6.1e-05,6.41e-05
GAL15,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Gastrotricha,,,,,0.022,0.0061,0.0042,0.0061,0.0055,0.0044,0.00448,0.0045,0.00433,0.00447,0.00435,0.004229,0.004204,0.004172,0.004284,0.004202,0.0042466,0.0042418,0.0042728,0.0042335,0.0042674
Gemmatimonadetes,,,,,,,,,,,7e-05,7e-05,0.00011,4e-05,8e-05,0.000207,0.000189,0.000175,0.000187,0.000206,0.0002216,0.0002156,0.0002069,0.0002195,0.0002164
Gemmatimonadota,,,,,,,,,,,3e-05,,3e-05,,,5.3e-05,6.3e-05,4.7e-05,6.9e-05,3.7e-05,5.23e-05,5.17e-05,5.36e-05,5.31e-05,5.35e-05
Glomeromycota,,,,,,,,,,,,,,,,,,,,,7e-07,2.5e-06,1.3e-06,5e-07,6e-07
Gnathostomulida,,,,,,,,,,,,,,,,,2e-06,,,,2e-07,3e-07,,,4e-07
Gracilibacteria,,,,,,,,,,,,2e-05,,,,2.6e-05,4.8e-05,2e-05,2.7e-05,1.8e-05,4.52e-05,4.54e-05,4.64e-05,4.38e-05,4.94e-05
Hadesarchaea,,,,,,,,,,,,,,,,9e-06,6e-06,3e-06,2e-06,4e-06,6.9e-06,6e-06,8.1e-06,7e-06,6.6e-06
Haptophyta,,,,,,0.0006,,,,,0.00025,0.00037,0.00032,0.00031,0.00026,0.000281,0.0003,0.000275,0.000275,0.00029,0.0002852,0.0002844,0.0002911,0.0002913,0.0002834
Hemichordata,,,,,,,,,,,,,,,,,,,,,1.1e-06,9e-07,8e-07,1.7e-06,1e-06
Heterolobosea,,,,,,,,,,,,,,,,,3e-06,,2e-06,4e-06,2.2e-06,3e-06,2.1e-06,1.4e-06,1.5e-06
Holozoa,,,,,,,,,,,,,,,,,,,,,4e-07,,,,
Hydrogenedentes,,,,,,,,,,,3e-05,,2e-05,4e-05,3e-05,3.5e-05,3.4e-05,3.1e-05,3.9e-05,3e-05,3.17e-05,3.61e-05,3.35e-05,3.52e-05,3.63e-05
Ichthyosporea,,,,,,,,,,,,,,,,9e-06,1.3e-05,8e-06,1e-05,1.1e-05,1.52e-05,1.54e-05,1.44e-05,1.36e-05,1.37e-05
