family,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Adinetidae,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0002,4.000040000400004e-05,3e-05,6e-05,1e-05,7.000070000700007e-05,3.300026400211202e-05,3.100031000310003e-05,4.1000328002624024e-05,3.3000198001188005e-05,4.200033600268802e-05,4.400503744091795e-05,3.5750437941725244e-05,3.9211441320460876e-05,4.330501804717941e-05,5.019159560108715e-05
Adintoviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,0.0,0.0,3.0000240001920015e-06,2.2000220002200024e-05,3.0000240001920015e-06,1.0000060000360005e-06,2.000016000128001e-06,1.5814310330329886e-05,2.062525265868764e-06,7.567120254825783e-06,2.7495249553764702e-06,6.188004937120333e-06
Aegisthidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aeglidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875561041244814e-07
Aerococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,1e-05,1e-05,0.0,9.000072000576005e-06,1.2000120001200012e-05,1.6000128001024008e-05,2.000012000072001e-05,1.0000080000640006e-05,5.500629680114744e-06,1.031262632934382e-05,5.503360185327842e-06,1.2372862299194118e-05,6.875561041244815e-06
Aeromonadaceae,0.0,0.0,0.0,0.0,0.0,0.0004,0.0008,0.0001,0.0001,0.0006000000000000001,0.00027000270002700027,0.00015000000000000001,0.00030000000000000003,0.00023,0.0001800018000180002,0.0002740021920175361,0.0002820028200282003,0.0002700021600172801,0.00028300169801018807,0.00030100240801926413,0.0002791569562658233,0.00027637838562641435,0.0002717284091505622,0.0002990108388971912,0.00025577087073430714
Aerosakkonemataceae,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,2e-05,1e-05,0.0,2.000016000128001e-06,5.000050000500005e-06,5.000040000320002e-06,7.000042000252003e-06,3.000024000192002e-06,2.062736130043029e-06,3.437542109781273e-06,6.191280208493823e-06,6.873812388441176e-06,2.750224416497926e-06
Aestuariirhabdaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,3.000030000300003e-05,8e-05,4e-05,0.00011999999999999999,6.000060000600005e-05,3.900031200249602e-05,5.100051000510005e-05,4.2000336002688025e-05,4.000024000144001e-05,5.8000464003712033e-05,4.3317458730903604e-05,4.331303058324404e-05,3.645976122779696e-05,4.880406795793235e-05,4.056581014334441e-05
Aestuariivirgaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,2.000020000200002e-05,1e-05,3e-05,4e-05,4.000040000400004e-05,3.700029600236802e-05,4.3000430004300045e-05,4.0000320002560023e-05,3.700022200133201e-05,3.500028000224002e-05,4.675535228097532e-05,3.9187980051506505e-05,3.0268481019303137e-05,3.093215574798529e-05,3.644047351859752e-05
Afifellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,2.000020000200002e-05,0.0,0.0,1e-05,0.0,1.700013600108801e-05,9.000090000900008e-06,1.4000112000896008e-05,9.000054000324003e-06,1.2000096000768006e-05,1.2376416780258173e-05,1.1000134751300074e-05,1.4446320486485586e-05,1.3747624776882352e-05,1.2376009874240668e-05
Agalmatidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,0.0,0.0,1.3758400463319607e-06,0.0,0.0
Agaonidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,1.0000080000640005e-06,7.000070000700008e-06,3.000024000192002e-06,2.000012000072001e-06,2.000016000128001e-06,2.750314840057372e-06,2.062525265868764e-06,2.063760069497941e-06,2.062143716532353e-06,2.750224416497926e-06
Agaraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agaricaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,4.000032000256002e-06,2.000020000200002e-06,3.0000240001920015e-06,2.000012000072001e-06,5.000040000320003e-06,2.750314840057372e-06,2.7500336878250184e-06,2.751680092663921e-06,3.436906194220588e-06,4.125336624746889e-06
Agaricostilbaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agelasidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87578710014343e-07,0.0,0.0,0.0,0.0
Aggregatilineaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,3.000030000300003e-06,3.000024000192002e-06,3.000018000108001e-06,1.0000080000640005e-06,3.437893550071715e-06,6.875084219562546e-06,2.063760069497941e-06,4.811668671908823e-06,2.750224416497926e-06
Aggregaviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,4.000032000256002e-06,1.0000060000360005e-06,0.0,6.87578710014343e-07,2.7500336878250184e-06,3.439600115829901e-06,6.873812388441177e-07,0.0
Agriolimacidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,0.0,0.0,0.0,0.0,0.0
Agromyzidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.879200231659802e-07,0.0,0.0
Ahnfeltiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,1.375157420028686e-06,0.0,6.879200231659802e-07,6.873812388441177e-07,6.875561041244814e-07
Ahrensiaceae,0.0,0.0,0.0,0.0,0.001,0.0004,0.0004,0.0001,0.0007,0.00030000000000000003,0.0005400054000540003,0.00053,0.00038,0.00037,0.00031000310003100024,0.0004190033520267641,0.0004440044400444003,0.00043700349602789616,0.000499002994017944,0.0004300034400274521,0.000426986378918838,0.0004269427300347456,0.00045746681540528394,0.0004646697174586,0.000449661692097354
