genus,1000,10000,100000,1000000,10000000
Aaosphaeria,1.2077589502772816e-06,1.2077589502772816e-06,1.2077589502772816e-06,1.2077589502772816e-06,1.3803589882327228e-06
Abditibacterium,4.0456406330671724e-06,4.0456406330671724e-06,4.0456406330671724e-06,4.0456406330671724e-06,2.2863311712828486e-06
Abelmoschus,,,,,
Abidjanvirus,3.3801479414748445e-09,3.3801479414748445e-09,3.3801479414748445e-09,3.3801479414748445e-09,3.3801479414748445e-09
Abies,,,,,
Abiotrophia,3.3801479414748445e-09,3.3801479414748445e-09,3.3801479414748445e-09,3.3801479414748445e-09,3.3801479414748445e-09
Abortiporus,9.980800759952608e-07,9.980800759952608e-07,9.980800759952608e-07,9.980800759952608e-07,
Abrostola,,,,,
Abrus,7.57309730216648e-06,7.573097302166479e-06,7.573097302166479e-06,6.586035623655111e-06,3.977849854718306e-06
Abscondita,0.0004705666629582328,4.703342592961884e-05,1.3909349813758196e-05,1.4886554569821462e-05,2.0322694338322914e-05
Absidia,3.7007570672114067e-06,3.7007570672114067e-06,3.7007570672114067e-06,3.7007570672114067e-06,4.168356488960926e-06
Abyssalbus,5.950590746455668e-05,5.950590746455668e-05,1.697569590196668e-05,3.5688069698688726e-06,3.9448232970398495e-06
Abyssibacter,0.000497412125763419,1.9765340636536222e-05,1.9765340636536222e-05,5.909639943693045e-06,3.7470331346306753e-06
Abyssibius,5.229185094042027e-05,5.229185094042027e-05,4.7780799976340156e-05,1.727276319731456e-05,1.5495509080050572e-05
Abyssicoccus,0.00013261271421343692,0.00013261271421343692,,,
Abyssisolibacter,1.8963389205792624e-06,1.8963389205792624e-06,1.8963389205792624e-06,1.8963389205792624e-06,1.1373436405223047e-06
Acacia,6.463850425009963e-06,6.463850425009963e-06,6.463850425009963e-06,3.579106288450832e-06,3.5245393891512372e-06
Acanthamoeba,4.8545755263684354e-05,4.854575526368436e-05,1.7846146803500425e-05,1.574441367338261e-05,2.138654595872897e-05
Acanthephyra,,,,,
Acanthoceras,0.0004528007753407995,2.404297754420356e-05,2.404297754420356e-05,2.2977035139666056e-05,9.702087079144505e-06
Acanthocheilonema,7.925679058047016e-06,7.925679058047016e-06,7.925679058047016e-06,1.5319572549856548e-06,5.988452054463802e-07
Acanthocnemus,,,,,
Acanthocyclops,3.2040108712877385e-07,3.2040108712877385e-07,3.2040108712877385e-07,3.2040108712877385e-07,7.735532259721568e-10
Acanthodendrilla,,,,,
Acanthophora,6.615614532743964e-09,6.615614532743964e-09,6.615614532743964e-09,6.615614532743964e-09,
Acanthopleuribacter,1.1548737881816482e-05,1.1548737881816482e-05,1.1548737881816482e-05,4.74546071306555e-06,5.209617024905803e-06
Acanthoscelides,4.956955764436886e-05,4.9569557644368866e-05,1.3556939652181794e-05,2.8839847490952864e-06,2.839831068940932e-06
Acanthotrema,,,,,
Acanvirus,1.5655485327407295e-09,1.5655485327407295e-09,1.5655485327407295e-09,1.5655485327407295e-09,1.5655485327407295e-09
Acaricomes,,,,,
Acaromyces,1.8327520521117263e-05,1.8327520521117263e-05,1.8327520521117263e-05,1.9399226283744013e-05,1.5115857186777886e-05
Acarospora,8.610200663473859e-07,8.610200663473858e-07,8.610200663473858e-07,8.610200663473859e-07,6.913037007440816e-07
Acartia,5.105741117558643e-06,5.105741117558643e-06,5.105741117558643e-06,3.809141226545793e-06,2.874084035723284e-06
Acarus,3.1880518786895225e-07,3.1880518786895225e-07,3.1880518786895225e-07,3.1880518786895225e-07,
Acaryochloris,7.83797758751438e-05,7.83797758751438e-05,2.6187935160545747e-05,1.541964427720636e-05,1.893212125924212e-05
Acaulospora,4.739763483446756e-06,4.739763483446756e-06,4.739763483446756e-06,3.4668174330544126e-06,3.515856682725897e-06
Acavomonas,,,,,
Acentria,,,,,
Acephala,2.786597754001271e-07,2.786597754001271e-07,2.786597754001271e-07,2.786597754001271e-07,2.6435720485864385e-09
Acer,4.23138611551836e-06,4.23138611551836e-06,4.23138611551836e-06,3.277228403388696e-06,3.5166863934364776e-06
Aceraius,8.448502290096027e-07,8.448502290096027e-07,8.448502290096027e-07,8.448502290096027e-07,8.448502290096027e-07
Acerihabitans,1.9536380397926164e-06,1.953638039792617e-06,1.9536380397926164e-06,1.9536380397926164e-06,3.3608925303074023e-06
Acetabularia,6.173168278937267e-06,6.173168278937267e-06,6.173168278937267e-06,1.5471817430069081e-06,1.674752286643965e-06
Acetanaerobacterium,,,,,
Acetatifactor,2.6522313228492684e-06,2.6522313228492684e-06,2.6522313228492684e-06,2.6522313228492684e-06,2.956656858103995e-06
Aceticella,3.898713459904903e-07,3.898713459904903e-07,3.898713459904903e-07,3.898713459904903e-07,
Acetivibrio,1.815587262610272e-05,1.815587262610272e-05,1.815587262610272e-05,3.983381277537495e-06,4.851550519932018e-06
Acetoanaerobium,2.395699332060501e-06,2.3956993320605013e-06,2.3956993320605013e-06,2.3956993320605013e-06,1.8128072180394836e-06
Acetobacter,5.1991854885432204e-05,5.1991854885432204e-05,2.061183473984412e-05,8.400512856073848e-06,6.218494920334348e-06
Acetobacterium,2.1409118072839854e-06,2.1409118072839854e-06,2.1409118072839854e-06,2.1409118072839854e-06,9.949446604725171e-07
Acetobacteroides,5.4283641327668016e-05,5.4283641327668016e-05,1.1081239666822778e-05,6.654551817159545e-06,1.8045236059558278e-06
Acetohalobium,3.5529114029566875e-09,3.5529114029566875e-09,3.5529114029566875e-09,3.5529114029566875e-09,
Acetomicrobium,2.681090517520849e-06,2.681090517520849e-06,2.681090517520849e-06,2.681090517520849e-06,1.7747049674639554e-06
Acetonema,7.1896974304718865e-06,7.189697430471887e-06,7.1896974304718865e-06,4.954071251041325e-07,6.90197206891479e-07
Achaetomiella,,,,,
Achlya,3.932234241701755e-05,3.932234241701755e-05,2.1789347971704383e-05,1.4601568738595437e-05,1.058483402319677e-05
Achnanthes,6.661568954123307e-06,6.661568954123307e-06,6.661568954123307e-06,1.5815359889745852e-06,5.932740929052624e-07
Achnanthidium,,,,,
Acholeplasma,1.1845017853463905e-05,1.1845017853463905e-05,1.1845017853463905e-05,3.972453903512026e-06,4.905669459304719e-06
Acholoe,,,,,
Achromatium,0.0001229659396810725,0.0001229659396810725,2.9482994610346808e-05,9.160205822129975e-06,8.875847021401156e-06
Achromobacter,4.6269401809190284e-05,4.626940180919028e-05,3.764135622067206e-05,2.0514113570570124e-05,2.659241166550201e-05
Acidaminobacter,5.656787732157965e-06,5.656787732157965e-06,5.656787732157965e-06,5.575916866441961e-06,5.088281187828232e-06
Acidaminococcus,7.055261755210095e-05,7.055261755210095e-05,6.903543962543754e-06,1.6141226527134043e-06,1.192289380860032e-06
Acidianus,,,,,
Acidibacter,2.2678173215104925e-06,2.2678173215104925e-06,2.2678173215104925e-06,2.2678173215104925e-06,2.7879025192468436e-06
Acidibrevibacterium,3.8073831659582297e-06,3.8073831659582297e-06,3.8073831659582297e-06,3.8073831659582297e-06,5.148208453990782e-06
Acidicapsa,1.5670410572088639e-06,1.5670410572088639e-06,1.5670410572088639e-06,1.5670410572088639e-06,1.5334112831261069e-06
Acididesulfobacillus,9.687124787799281e-07,9.687124787799281e-07,9.68712478779928e-07,9.687124787799281e-07,2.3922871433561566e-09
Acidiferrimicrobium,1.0888496051213741e-05,1.0888496051213743e-05,1.0888496051213743e-05,1.3235709196730301e-06,1.1921163687983187e-06
Acidiferrobacter,6.4242168242081654e-06,6.4242168242081654e-06,6.4242168242081654e-06,2.234414745152695e-06,9.91253075928731e-07
Acidihalobacter,5.559306458909935e-05,5.559306458909934e-05,1.207179268166742e-05,1.2102990908282008e-05,6.095170686891581e-06
Acidiluteibacter,0.0005228950485527295,0.00012030626864534925,4.103563119584711e-05,2.19957104344897e-05,2.1224833373018007e-05
Acidilutibacter,,,,,
Acidimangrovimonas,7.347852991066625e-06,7.347852991066625e-06,7.347852991066625e-06,7.195439474778419e-06,9.036944657649689e-06
Acidimicrobium,2.687212024816804e-05,2.687212024816804e-05,2.6872120248168037e-05,1.1204925733344873e-05,1.2898879670671325e-05
Acidiphilium,4.615092340247309e-05,4.6150923402473094e-05,1.4704837396856933e-05,1.5632266096813856e-05,1.059719356225077e-05
Acidipila,2.8335601299471755e-06,2.833560129947175e-06,2.833560129947175e-06,2.833560129947175e-06,2.227720855260811e-06
Acidipropionibacterium,8.931156826174925e-06,8.931156826174925e-06,8.931156826174925e-06,3.163880914607948e-07,3.3801479414748445e-09
