order,1000,10000,100000,1000000,10000000
Abditibacteriales,4.6464654317698386e-06,4.6464654317698386e-06,4.6464654317698386e-06,5.363012538318052e-06,2.563316016236852e-06
Acanthocystida,1.4989167440245876e-05,1.4989167440245874e-05,1.4989167440245874e-05,3.081147936385843e-06,3.0839821984774696e-06
Acanthoecida,3.549787035868341e-07,3.549787035868341e-07,3.549787035868341e-07,3.549787035868341e-07,
Acanthopleuribacterales,3.253557305724761e-05,3.253557305724761e-05,1.2839105598821473e-05,5.527679560139516e-06,6.044792547415731e-06
Acarosporales,7.518273260031521e-06,7.518273260031521e-06,7.518273260031521e-06,3.4271991977198043e-06,4.185407173141989e-06
Acaryochloridales,5.572486147911849e-05,5.5724861479118494e-05,1.6825798569700376e-05,1.2516656537732906e-05,1.4835525397812279e-05
Acetobacterales,0.00024325600725622596,9.827187984104814e-05,5.4980459762215074e-05,3.0090606385115228e-05,3.636133569673174e-05
Acholeplasmatales,6.4613819520398e-05,6.4613819520398e-05,2.1683634718251742e-05,1.1746713624613128e-05,1.3319294644083358e-05
Acidaminococcales,3.5008115646284427e-05,3.500811564628442e-05,9.945521400886724e-06,4.302103172482153e-06,3.0898485502594735e-06
Acidiferrobacterales,9.64716053705806e-05,9.64716053705806e-05,4.3987733395102e-05,1.927866929903875e-05,1.5670594514949895e-05
Acidilobales,3.901281714776953e-07,3.901281714776953e-07,3.901281714776953e-07,3.9012817147769524e-07,5.437411593184795e-07
Acidimicrobiales,0.0015254072304266798,0.0005681884605379915,0.00018973528297677158,0.00010780228409308144,4.580618001363836e-05
Acidithiobacillales,6.210397643008543e-05,6.210397643008543e-05,3.367209163381089e-05,1.2760610082067152e-05,1.5632828172227596e-05
Acidothermales,4.909119662443564e-06,4.909119662443564e-06,4.909119662443564e-06,2.2135674753999932e-06,2.736849960054414e-06
Acoela,7.5133990192624446e-06,7.5133990192624446e-06,7.5133990192624446e-06,3.0873526418309234e-07,
Acrochaetiales,9.698372188020667e-06,9.698372188020667e-06,9.698372188020667e-06,,
Acrospermales,4.7963693385955445e-06,4.796369338595544e-06,4.796369338595544e-06,7.311216701591646e-07,4.7089502877979984e-07
Acrosymphytales,,,,,
Actiniaria,0.000293833566126411,7.275130648149625e-05,6.107771134965404e-05,4.989344112067498e-05,4.8221933643711325e-05
Actinomycetales,0.00015690756989163168,0.00015690756989163168,9.594922416418022e-05,3.722486846628375e-05,3.0345112532980067e-05
Actinopolysporales,4.225881655999069e-06,4.225881655999069e-06,4.225881655999069e-06,7.311767440910806e-07,7.663766300429343e-07
Acytosteliales,1.458354803721379e-05,1.458354803721379e-05,1.458354803721379e-05,1.347397594759977e-05,1.4357527358458792e-05
Adapedonta,,,,,
Adinetida,6.41213942185322e-05,6.41213942185322e-05,1.972153796265972e-05,8.139597133896311e-06,7.399217197537571e-06
Aeromonadales,0.0002281179327965113,0.00022811793279651127,5.487596623560717e-05,1.9995386146818535e-05,2.3022121253421407e-05
Agaricales,0.00013210880110401573,0.00013210880110401573,2.531325936236622e-05,1.0692201224985876e-05,7.366057539723899e-06
Agaricostilbales,,,,,
Agelasida,,,,,
Aggregatilineales,2.2337375575091728e-06,2.2337375575091728e-06,2.2337375575091728e-06,2.2337375575091728e-06,2.61180153299833e-06
Ahnfeltiales,5.498945060114439e-06,5.498945060114438e-06,5.498945060114439e-06,4.192252368554061e-07,4.724892576261383e-07
Alaninales,1.9139950836842225e-06,1.9139950836842225e-06,1.9139950836842225e-06,1.9139950836842225e-06,
Albuginales,0.0003369543596346223,2.6706778295674546e-05,1.0633770379626992e-05,1.0134606686248773e-05,9.73316956797018e-06
Algavirales,0.00029297669736467726,7.50041072978995e-05,3.562810833336611e-05,1.875683489318741e-05,1.5420319588779555e-05
Alismatales,0.000284764411460433,0.00013279213479644293,0.0001075079507217352,0.00010587379800472249,0.00010410382885723201
Alteromonadales,0.004610259610431807,0.00333548079508778,0.0018707871730763632,0.0007600653156750046,0.0005940375820020992
Amborellales,9.992503508667918e-06,9.992503508667918e-06,9.992503508667918e-06,1.5295974859128013e-06,1.6792178523690412e-06
Amphidiniales,8.835830195555074e-07,8.835830195555074e-07,8.835830195555074e-07,8.835830195555074e-07,1.0875844599349544e-06
Amphipoda,3.176523777288051e-05,3.176523777288052e-05,1.234702262623571e-05,1.0691229065911472e-05,1.2225766859566114e-05
Amylocorticiales,4.812374086231699e-06,4.812374086231699e-06,4.812374086231699e-06,1.2076679162900268e-06,5.455009043643225e-07
Anaerolineales,0.0010485495330161624,0.00033299484057260575,4.47434737519952e-05,4.801007652815972e-05,5.316502308594462e-05
Anaeroplasmatales,2.512613622054511e-07,2.512613622054511e-07,2.512613622054511e-07,2.512613622054511e-07,9.978883543439037e-10
Anaerosomatales,3.973931096000083e-06,3.973931096000083e-06,3.973931096000083e-06,1.8655101365388363e-06,1.3296269068969665e-06
Anaulales,6.480223503383238e-05,6.480223503383238e-05,6.142247360946128e-05,7.266071088135492e-05,9.69266407428515e-05
Ancyromonadida,,,,,
Andreaeales,,,,,
Anisolpidiales,8.56708158363752e-07,8.567081583637521e-07,8.567081583637521e-07,8.56708158363752e-07,6.763214728050539e-10
Anostraca,3.57135360250235e-05,3.57135360250235e-05,6.38909515726568e-06,7.37483016656201e-06,8.343508795505974e-06
Anthoathecata,2.3999293900428037e-05,2.399929390042804e-05,1.2936615612914774e-05,7.898213266769378e-06,9.876965225794384e-06
Anthocerotales,,,,,
Antipatharia,,,,,
Aphragmophora,3.597829378855298e-07,3.597829378855298e-07,3.597829378855298e-07,3.597829378855298e-07,
Apiales,3.913573043017632e-05,3.913573043017632e-05,4.27981919116176e-06,3.7479764410857624e-06,3.085077836354097e-06
Aplysiida,3.982649502886841e-05,3.982649502886841e-05,7.302144001516015e-06,7.572740601613874e-06,7.153386807162043e-06
Apochela,,,,,
Apusomonadida,6.850100622069695e-05,6.850100622069696e-05,1.5573248617803538e-05,8.257081217021912e-06,8.141537256263915e-06
Aquificales,8.939351724448247e-06,8.939351724448247e-06,8.939351724448247e-06,4.4189416210252656e-06,5.398187170583218e-06
Aquifoliales,,,,,
Araneae,0.0002879389218904376,5.469557601661897e-05,5.3755303998538625e-05,3.2836232905312544e-05,3.9937418453039466e-05
Araucariales,,,,,
Arcellinida,4.4744818893948124e-07,4.4744818893948124e-07,4.4744818893948124e-07,4.474481889394813e-07,5.433320274036839e-07
Archaeoglobales,2.055400215640523e-06,2.055400215640523e-06,2.055400215640523e-06,2.055400215640523e-06,1.538896026878917e-06
Archaeognatha,,,,,
Archaeosporales,9.610574891253275e-05,9.610574891253275e-05,5.937145611462112e-05,4.91991802896348e-05,2.9920530987666323e-05
Architaenioglossa,8.590900134270256e-06,8.590900134270256e-06,8.590900134270258e-06,8.24141731803912e-06,1.069503857176616e-05
Arcoida,3.3240605646168884e-05,3.3240605646168884e-05,1.1039227457112378e-05,5.052580909953737e-06,2.195700730353641e-06
Ardenticatenales,0.0002923109016590658,9.686297690353147e-05,3.115980418701031e-05,1.2658633317396955e-05,7.31840811734426e-06
Ardissoneales,2.7598380136734203e-05,2.7598380136734203e-05,2.7598380136734203e-05,2.1775615284717367e-06,1.7796154141106385e-06
Arecales,2.1840937610607665e-05,2.1840937610607665e-05,2.1840937610607665e-05,2.1517664265050623e-06,1.3360026685273362e-06
Arenicellales,0.0019604294511091384,0.0004322892684976324,0.0002381612270466075,6.078662580072021e-05,5.0551548194507066e-05
Arguloida,,,,,
Armatimonadales,4.572263535509238e-06,4.572263535509238e-06,4.572263535509238e-06,2.4117674949570616e-06,3.48055189846595e-06
Arthoniales,4.259465900509076e-06,4.259465900509076e-06,4.259465900509076e-06,3.4500500604086298e-06,4.451883422679235e-06
Articulavirales,,,,,
Ascoideales,4.140153169153751e-06,4.1401531691537505e-06,4.1401531691537505e-06,1.306018859320981e-06,1.606554932109206e-06
Asfuvirales,3.859920740963903e-06,3.859920740963903e-06,3.859920740963903e-06,2.0221951116098523e-06,1.6074816176257886e-06
Asparagales,4.5313373377624356e-05,4.5313373377624356e-05,2.1633807357362992e-05,8.847002933186383e-06,7.366992103203138e-06
Asterales,0.0004006987311999569,0.000206165448415844,8.579101514220282e-05,2.1850066990225595e-05,2.417795213662687e-05
Atheliales,3.992589572167387e-05,3.992589572167387e-05,4.366223640542249e-06,2.1038780011952127e-06,1.815487659554545e-06
Atractiellales,1.7643430658706491e-06,1.7643430658706493e-06,1.7643430658706491e-06,1.7643430658706491e-06,8.386154521647481e-07
Atribacterales,7.393632522182368e-07,7.393632522182368e-07,7.393632522182368e-07,7.393632522182368e-07,8.428971831137347e-07
Aulographales,1.7444752204542128e-06,1.7444752204542128e-06,1.744475220454213e-06,1.7444752204542128e-06,5.14485627900563e-07
Auriculariales,1.7661578105106306e-06,1.7661578105106306e-06,1.7661578105106306e-06,1.7661578105106306e-06,1.069744954971814e-06
Axinellida,,,,,
Bacillales,0.0006087223693916832,0.0005338912866425218,0.0005398066915024776,0.0006505997518604426,0.0005926734314899
Bacillariales,0.0018519114150627545,0.0007415026839607058,0.0006666024946467784,0.0007655461153997317,0.000937487330357563
Bacteriovoracales,0.0007089349146194864,0.0003662379227203657,0.0001495979776213257,4.713586017603721e-05,5.6053792297655936e-05
Bacteroidales,0.0015895284266015974,0.0004688440770025348,0.00025955336437017746,8.72417740563789e-05,5.0934828444420775e-05
Baeomycetales,0.0003891265941409625,4.133595199373703e-06,4.133595199373703e-06,2.807152994272126e-06,2.888568765008606e-06
Baerida,,,,,
Balanomorpha,3.500821140046572e-05,3.500821140046571e-05,2.6066975061133564e-05,1.7742171087129155e-05,1.9359790332940127e-05
Balbianiales,1.7419332568752905e-09,1.7419332568752905e-09,1.7419332568752905e-09,1.7419332568752905e-09,1.7419332568752905e-09
Balneolales,0.0002417001614208191,0.00011547744253626958,7.133402252822431e-05,3.318377364091018e-05,3.321808615768305e-05
Bangiales,3.7148092287076246e-05,3.7148092287076246e-05,9.23574851182602e-06,2.8784236110632975e-06,1.908962727644019e-06
Baphyvirales,,,,,
Bartheletiales,1.950981112418705e-10,1.950981112418705e-10,1.950981112418705e-10,1.950981112418705e-10,1.950981112418705e-10
Basidiobolales,3.772808817575681e-05,3.772808817575681e-05,6.185470558971517e-06,2.642371366797355e-06,1.5435920689048274e-06
Batrachospermales,5.308570944016519e-06,5.308570944016519e-06,5.308570944016519e-06,5.308570944016519e-06,5.618643852471367e-06
Bdellovibrionales,0.0005365066184447284,0.00018067537288116435,8.591330087703858e-05,3.35600300186059e-05,4.02001421008101e-05
Bicosoecida,6.75243484788978e-05,6.752434847889778e-05,7.968150092306634e-06,7.696615830385581e-06,8.514255935024591e-06
Biddulphiales,4.927281214806968e-05,4.9272812148069673e-05,3.2251634975269115e-05,1.6351113837815324e-05,1.7525265064872926e-05
Bifidobacteriales,8.156457552239772e-06,8.156457552239772e-06,8.156457552239772e-06,6.765940567959185e-06,6.332160917243012e-06
Bivalvulida,8.295065808102995e-06,8.295065808102995e-06,8.295065808102995e-06,6.456461588372446e-06,7.6280984521704685e-06
Blasiales,,,,,
Blastocatellales,0.000288403802603711,4.230423635377788e-05,3.118349591725724e-05,2.253219613056398e-05,1.9869420697148924e-05
Blastocladiales,6.220380014314175e-06,6.220380014314175e-06,6.220380014314176e-06,5.823024787929237e-06,5.936706129516628e-06
Blattodea,2.366879483951987e-05,2.366879483951987e-05,2.366879483951987e-05,1.3223225737314261e-05,4.431699975177247e-06
Boletales,3.294886189498128e-05,3.294886189498128e-05,1.3460957275886354e-05,4.108557838904458e-06,1.8557091146591423e-06
Bonnemaisoniales,8.879571761304565e-07,8.879571761304565e-07,8.879571761304565e-07,8.879571761304565e-07,1.0840658417494365e-06
