class,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Aquificia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,4.000032000256002e-06,3.0000300003000026e-06,3.000024000192002e-06,3.0000180001080015e-06,4.000032000256002e-06,7.563365810157772e-06,6.875084219562546e-06,5.503360185327843e-06,6.186431149597059e-06,6.875561041244815e-06
Arachnida,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0001,0.0,9.000090000900009e-05,5e-05,6.000000000000001e-05,4e-05,3.000030000300003e-05,5.8000464003712033e-05,5.0000500005000046e-05,4.9000392003136025e-05,6.300037800226802e-05,6.000048000384003e-05,4.675535228097532e-05,4.675057269302532e-05,5.4345681830112446e-05,4.536716176371176e-05,4.056581014334441e-05
Archaeoglobi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87578710014343e-07,0.0,0.0,0.0,0.0
Ardenticatenia,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,1e-05,4.000040000400004e-05,4.000032000256002e-06,1.2000120001200012e-05,1.5000120000960009e-05,1.3000078000468004e-05,1.3000104000832009e-05,8.938523230186459e-06,1.3062660017168838e-05,1.0318800347489704e-05,1.3060243538038232e-05,5.500448832995852e-06
Arfiviricetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000060000360005e-06,1.0000080000640005e-06,0.0,6.875084219562546e-07,6.879200231659802e-07,6.873812388441177e-07,6.875561041244814e-07
Armatimonadia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,5.000050000500004e-06,5.000040000320002e-06,1.0000060000360005e-06,1.0000080000640005e-06,4.125472260086058e-06,4.812558953693784e-06,3.439600115829901e-06,2.062143716532353e-06,4.125336624746889e-06
Armophorea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875084219562546e-07,0.0,0.0,6.875561041244814e-07
Arthoniomycetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.879200231659802e-07,0.0,0.0
Ascetosporea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,0.0,1.0000080000640005e-06,0.0,6.875084219562546e-07,6.879200231659802e-07,0.0,0.0
Atractiellomycetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
