genus,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Acanthoscelides,,,,,,,,0.0001914975105323631,,,,5.444053279134759e-05,1.9359210144226116e-05,1.8249507263303893e-05,,1.221510450021973e-05,8.736401790612917e-06,8.689622331634723e-06,5.231073974361069e-06,5.223195864622031e-06,4.7693199188264745e-06,4.7501989145798296e-06,7.138582491675077e-06,1.06977932829751e-05,3.554186535556891e-06
Acanthotrema,,,,,,,,,,,,,,,,,,,,,,,,,
Acanvirus,,,,,,,,,,,,,,,,,,,,,,1.1875497286449574e-06,1.1897637486125126e-06,,
Acaricomes,,,,,,,,,,,,1.814684426378253e-05,,,,,,,,,,,,,
Acaromyces,,,,,,,,,,,,,,,1.8092015993342154e-05,5.58404777152902e-05,5.241841074367751e-06,1.7379244663269445e-06,,3.482130576414687e-06,2.9808249492665466e-05,2.8501193487478976e-05,2.3795274972250257e-06,1.1886436981083447e-06,1.1847288451856302e-06
Acarospora,,,,,,,,,,,,,,,,3.4900298572056374e-06,,,,1.7410652882073435e-06,2.3846599594132372e-06,,2.3795274972250257e-06,,1.1847288451856302e-06
Acartia,,,,,,,,,,,,,1.9359210144226116e-05,,,5.235044785808457e-06,1.572552322310325e-05,5.213773398980835e-06,5.231073974361069e-06,1.044639172924406e-05,9.538639837652949e-06,2.3750994572899148e-06,7.138582491675075e-06,8.320505886758413e-06,4.738915380742521e-06
Acarus,,,,,,,,,,,,,,,,,,1.7379244663269445e-06,1.7436913247870234e-06,,,,,1.1886436981083447e-06,
Acaryochloris,,,,,,0.0003785727806170737,,0.0001914975105323631,0.00019794140934283454,,0.00013459208983060633,7.258737705513012e-05,5.8077630432678344e-05,0.00014599605810643114,9.046007996671075e-05,6.63105672869071e-05,7.513305539927108e-05,9.037207224900112e-05,9.764671418807328e-05,7.312474210470843e-05,0.00010850202815330229,7.362808317598737e-05,7.257558866536328e-05,5.7054897509200544e-05,7.345318840150908e-05
Acaulospora,,,,,,,,,,,,,,,1.8092015993342154e-05,,1.0483682148735501e-05,1.0427546797961668e-05,5.23107397436107e-06,1.0446391729244062e-05,9.538639837652949e-06,3.562649185934872e-06,3.5692912458375383e-06,9.509149584866757e-06,2.3694576903712604e-06
Acavomonas,,,,,,,,,,,,,,,,,,,,,,,,,
Acentria,,,,,,,,,,,,,,,,,,,,,,,,,
Acephala,,,,,,,,,,,,,,,,1.7450149286028187e-06,,,,,,,1.1897637486125126e-06,1.1886436981083447e-06,1.1847288451856302e-06
Acer,,,,,,,,,,,,,,,1.8092015993342154e-05,6.980059714411275e-06,5.241841074367751e-06,1.042754679796167e-05,1.3949530598296184e-05,8.705326441036719e-06,1.3115629776772806e-05,7.125298371869744e-06,3.5692912458375383e-06,7.131862188650068e-06,9.477830761485042e-06
Aceraius,,,,,,,,,,,,,,,,,,,,,,,2.3795274972250257e-06,,1.1847288451856302e-06
Acerihabitans,,,,,,,,,,,,,,,,,1.7472803581225835e-06,1.7379244663269445e-06,,1.7410652882073435e-06,,5.937748643224787e-06,,,1.1847288451856302e-06
Acetabularia,,,,,,,,,,,1.9227441404372333e-05,,,,,,3.494560716245167e-06,1.7379244663269445e-06,3.487382649574047e-06,1.7410652882073435e-06,,5.937748643224787e-06,3.5692912458375383e-06,,
Acetanaerobacterium,,,,,,,,,,,,,,,,,,1.7379244663269445e-06,,,,,,,
Acetatifactor,,,,,,,,,,,,,,,,6.980059714411275e-06,1.7472803581225835e-06,,1.7436913247870234e-06,5.223195864622031e-06,2.3846599594132372e-06,8.312848100514702e-06,3.5692912458375383e-06,1.1886436981083447e-06,1.1847288451856302e-06
Aceticella,,,,,,,,,,,,,,,,,,,1.7436913247870234e-06,,1.1923299797066186e-06,,,,
Acetivibrio,,,,,,,,,,,7.690976561748933e-05,,1.9359210144226116e-05,,1.8092015993342154e-05,8.725074643014094e-06,1.2230962506858086e-05,8.689622331634723e-06,1.569322192308321e-05,1.5669587593866093e-05,8.346309857946331e-06,1.1875497286449573e-05,8.32834624028759e-06,2.020694286784186e-05,1.1847288451856303e-05
Acetoanaerobium,,,,,,,,,,,,,,,,1.7450149286028187e-06,3.494560716245167e-06,5.213773398980834e-06,3.487382649574047e-06,8.705326441036719e-06,,4.7501989145798296e-06,1.1897637486125126e-06,2.377287396216689e-06,
Acetobacter,,,,,,,,0.0001914975105323631,,0.00019466614755693983,1.9227441404372333e-05,9.073422131891265e-05,7.743684057690446e-05,1.8249507263303893e-05,1.8092015993342154e-05,4.362537321507047e-05,4.542928931118717e-05,4.171018719184667e-05,5.7541813717971764e-05,3.482130576414687e-05,5.603950904621107e-05,5.700238697495795e-05,6.0677951179238145e-05,4.9923035320550476e-05,4.501969611705395e-05
Acetobacterium,,,,,,,,,,,,,,,,3.4900298572056374e-06,8.736401790612917e-06,6.951697865307778e-06,3.487382649574047e-06,,3.576989939119856e-06,4.7501989145798296e-06,2.3795274972250257e-06,3.565931094325034e-06,2.3694576903712604e-06
Acetobacteroides,,,,,,,,,,0.00019466614755693983,,3.629368852756506e-05,,1.8249507263303893e-05,,5.235044785808457e-06,2.0967364297471005e-05,1.3903395730615556e-05,,3.482130576414687e-06,2.3846599594132372e-06,1.1875497286449574e-06,4.759054994450052e-06,4.754574792433379e-06,1.1847288451856302e-06
Acetohalobium,,,,,,,,,,,,,,,,1.7450149286028187e-06,,1.7379244663269445e-06,,1.7410652882073435e-06,,,,,
Acetomicrobium,,,,,,,,,,,,,,,,,6.989121432490334e-06,,,,1.1923299797066186e-06,1.1875497286449574e-06,,1.1886436981083447e-06,4.738915380742521e-06
Acetonema,,,,,,,,,,,1.9227441404372333e-05,,,,,1.7450149286028187e-06,,,,1.7410652882073435e-06,2.3846599594132372e-06,,1.1897637486125126e-06,1.1886436981083447e-06,
Achaetomiella,,,,,,,,,,,,,,,,,,,,,,,,,
Achlya,,,,,,0.00018928639030853684,,,,,0.00011536464842623403,3.629368852756506e-05,3.871842028845223e-05,,7.236806397336862e-05,4.362537321507048e-05,7.338577504114852e-05,4.1710187191846664e-05,5.405443106839771e-05,8.531219912215983e-05,4.5308539228851506e-05,5.225218806037813e-05,7.019606116813827e-05,6.656404709406729e-05,5.212806918816773e-05
Achnanthes,,,,,,,,,,,,,1.9359210144226116e-05,,,5.2350447858084565e-06,,,1.7436913247870234e-06,,1.1923299797066186e-06,2.3750994572899148e-06,,1.1886436981083447e-06,1.1847288451856302e-06
Achnanthidium,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasma,,,,,,,,,,,3.845488280874467e-05,,,,,5.2350447858084565e-06,,1.7379244663269445e-06,,6.964261152829374e-06,1.1923299797066186e-06,1.1875497286449574e-06,1.3087401234737641e-05,3.565931094325034e-06,4.738915380742521e-06
Acholoe,,,,,,,,,,,,,,,,,,,,,,,,,
Achromatium,,,,,,0.0005678591709256105,,,,,5.768232421311701e-05,9.073422131891265e-05,0.00017423289129803502,3.6499014526607785e-05,0.00010855209596005295,8.550573150153812e-05,7.688033575739367e-05,8.168244991736639e-05,9.93904055128603e-05,9.924072142781857e-05,7.63091187012236e-05,8.90662296483718e-05,7.852440740842584e-05,8.79596336600175e-05,9.833249415040731e-05
Achromobacter,,,,,,,,0.0001914975105323631,,0.00019466614755693983,3.845488280874467e-05,0.00010888106558269519,0.0001355144710095828,0.00018249507263303893,3.618403198668431e-05,0.0001012108658589635,9.260585898049693e-05,0.00012513056157554002,9.241564021371223e-05,9.053539498678186e-05,9.300173841711626e-05,0.0001484437160806197,9.042204489455096e-05,0.0001200530135089428,8.530047685336537e-05
Acidaminobacter,,,,,,,,,,,,1.814684426378253e-05,,1.8249507263303893e-05,,1.570513435742537e-05,1.5725523223103254e-05,6.951697865307778e-06,6.974765299148094e-06,2.0892783458488124e-05,1.3115629776772806e-05,1.66256962010294e-05,3.5692912458375383e-06,9.509149584866756e-06,7.108373071113782e-06
Acidaminococcus,,,,,,,,0.0001914975105323631,,,,,1.9359210144226116e-05,,,5.2350447858084565e-06,,,,1.7410652882073435e-06,2.3846599594132372e-06,,3.5692912458375383e-06,,1.1847288451856302e-06
Acidianus,,,,,,,,,,,,,,,,,,,,,,,,,
Acidibacter,,,,,,,,,,,,,,,,3.4900298572056374e-06,1.7472803581225835e-06,,,1.7410652882073435e-06,1.1923299797066186e-06,2.3750994572899148e-06,3.5692912458375383e-06,8.320505886758411e-06,2.3694576903712604e-06
Acidibrevibacterium,,,,,,,,,,,,,,,,6.980059714411275e-06,1.7472803581225835e-06,,6.974765299148092e-06,3.482130576414687e-06,4.7693199188264745e-06,1.1875497286449574e-06,3.5692912458375383e-06,,1.3032017297041932e-05
Acidicapsa,,,,,,,,,,,,,,,,5.2350447858084565e-06,,5.213773398980834e-06,3.487382649574047e-06,1.7410652882073435e-06,2.3846599594132372e-06,4.7501989145798296e-06,,3.565931094325034e-06,1.1847288451856302e-06
Acididesulfobacillus,,,,,,,,,,,,,,,,1.7450149286028187e-06,1.7472803581225835e-06,1.7379244663269445e-06,3.487382649574047e-06,3.482130576414687e-06,1.1923299797066186e-06,1.1875497286449574e-06,1.1897637486125126e-06,,
