SampleIdx,Genus,Phylum_18S,RA_18S,Phylum_PAMA,RA_PAMA,Phylum_final,Phylum_plot
1,0319-6G20,Bdellovibrionota,0.00014618082034513884,Bdellovibrionota,0.0005497100473060337,Bdellovibrionota,Other
1,37-13,,0.0,Bacteroidota,0.00036283529869120127,Bacteroidota,Bacteroidota
1,4-29-1,,0.0,Nitrospirota,0.0003484077764615706,Nitrospirota,Other
1,67-14,,0.0,Actinobacteriota,0.0004210250609367975,Actinobacteriota,Actinobacteriota
1,A0839,,0.0,Proteobacteria,0.0002937238132262105,Proteobacteria,Proteobacteria
1,A31,,0.0,Protalveolata,6.0472549781866876e-05,Protalveolata,Protalveolata
1,A4b,,0.0,Chloroflexi,7.775042114811456e-05,Chloroflexi,Other
1,ADurb.Bin063-1,,0.0,Verrucomicrobiota,0.0008206938734428108,Verrucomicrobiota,Verrucomicrobiota
1,ADurb.Bin118,,0.0,Verrucomicrobiota,0.00016413977797935295,Verrucomicrobiota,Verrucomicrobiota
1,ADurb.Bin180,,0.0,Chloroflexi,8.638935683123839e-05,Chloroflexi,Other
1,AEGEAN-169_marine_group,,0.0,Proteobacteria,0.0011432702229013055,Proteobacteria,Proteobacteria
1,AKYH767,,0.0,Bacteroidota,0.0008552546326292601,Bacteroidota,Bacteroidota
1,Absconditabacteriales_(SR1),,0.0,Patescibacteria,9.502829251436223e-05,Patescibacteria,Other
1,Acidibacter,,0.0,Proteobacteria,0.00031100168459245823,Proteobacteria,Proteobacteria
1,Acidovorax,,0.0,Proteobacteria,0.0006039068125333891,Proteobacteria,Proteobacteria
1,Acinetobacter,,0.0,Proteobacteria,0.00027265510793606494,Proteobacteria,Proteobacteria
1,Acoela,,0.0,Xenacoelomorpha,3.871197516239674e-05,Xenacoelomorpha,Xenacoelomorpha
1,Alishewanella,,0.0,Proteobacteria,2.591680704937152e-05,Proteobacteria,Proteobacteria
1,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,,0.0,Proteobacteria,0.0005442529480368019,Proteobacteria,Proteobacteria
1,Aminicenantales,,0.0,Acidobacteriota,0.0001295840352468576,Acidobacteriota,Other
1,Anderseniella,,0.0,Proteobacteria,0.0008460820465745183,Proteobacteria,Proteobacteria
1,Aquicella,,0.0,Proteobacteria,0.00021279406389118088,Proteobacteria,Proteobacteria
1,Aquisphaera,,0.0,Planctomycetota,0.00030195340626669454,Planctomycetota,Planctomycetota
1,Archaeorhizomyces,,0.0,Ascomycota,0.00030236274890933437,Ascomycota,Other
1,Atkinsiella,Peronosporomycetes,8.851776994231592e-05,,0.0,Peronosporomycetes,Other
1,Aulacoseira,,0.0,Diatomea,0.0001295840352468576,Diatomea,Diatomea
1,Azospirillum,,0.0,Proteobacteria,0.00014686190661310526,Proteobacteria,Proteobacteria
1,B1-7BS,,0.0,Proteobacteria,0.001114904884677026,Proteobacteria,Proteobacteria
1,BD2-11_terrestrial_group,Gemmatimonadota,0.0001241551314153589,Gemmatimonadota,0.0009416439894604985,Gemmatimonadota,Other
1,BIrii41,,0.0,Myxococcota,0.0002937238132262105,Myxococcota,Other
1,BSV26,,0.0,Bacteroidota,0.0005942106090149372,Bacteroidota,Bacteroidota
1,Babeliales,,0.0,Dependentiae,0.00042583172678636405,Dependentiae,Other
1,Bacteroides,,0.0,Bacteroidota,0.00017143390268651004,Bacteroidota,Bacteroidota
1,Bacteroidetes_vadinHA17,,0.0,Bacteroidota,0.00027057699172111427,Bacteroidota,Bacteroidota
1,Bathyarchaeia,,0.0,Crenarchaeota,5.183361409874304e-05,Crenarchaeota,Other
1,Bdellovibrio,,0.0,Bdellovibrionota,0.0005992633820954831,Bdellovibrionota,Other
1,Bicosoeca,,0.0,Bicosoecida,0.006619112368712038,Bicosoecida,Bicosoecida
1,Bivalvulida,,0.0,Cnidaria,0.0011822647247503872,Cnidaria,Cnidaria
1,Blastopirellula,,0.0,Planctomycetota,0.0002418901991274675,Planctomycetota,Planctomycetota
1,Bryobacter,,0.0,Acidobacteriota,0.0008885044920684711,Acidobacteriota,Other
1,C1-B045,,0.0,Proteobacteria,0.0008284362684752901,Proteobacteria,Proteobacteria
1,CCD24,,0.0,Proteobacteria,0.000542783829331857,Proteobacteria,Proteobacteria
1,CL500-29_marine_group,,0.0,Actinobacteriota,0.0013616067661080138,Actinobacteriota,Actinobacteriota
1,CL500-3,,0.0,Planctomycetota,0.0017175133385980614,Planctomycetota,Planctomycetota
1,CV1-B1-93,,0.0,Centrohelida,0.0010739955020246544,Centrohelida,Other
1,Caenarcaniphilales,,0.0,Cyanobacteria,0.00011230616388060991,Cyanobacteria,Cyanobacteria
1,Calanoida,,0.0,Arthropoda,0.3404238551235336,Arthropoda,Arthropoda
1,Calditrichaceae,,0.0,Calditrichota,0.0006271339976308271,Calditrichota,Other
1,Candidatus_Actinomarina,,0.0,Actinobacteriota,0.0007004042237526962,Actinobacteriota,Actinobacteriota
1,Candidatus_Adlerbacteria,,0.0,Patescibacteria,0.00035615017149405,Patescibacteria,Other
1,Candidatus_Aquiluna,,0.0,Actinobacteriota,0.00040602997710682045,Actinobacteriota,Actinobacteriota
1,Candidatus_Flaviluna,,0.0,Actinobacteriota,0.0005651948373709924,Actinobacteriota,Actinobacteriota
