,1000,10000,100000,1000000,10000000
Kingdom,0.6184143430323485,0.6781559502784651,0.6900293786986945,0.6923436129283516,0.6967195528505297
Phylum,2.349786218960531,2.6706997694208456,2.7797733174770665,2.8155545865062472,2.832890439545606
Class,2.3521765821503933,2.852795837745923,2.997438322071023,3.054085124660415,3.080258853394328
Order,2.7814597591109,3.3916147815243867,3.5968534720635916,3.6824194114361575,3.7162839954351936
Family,2.9606362236323234,3.638838204926338,3.8865089679894362,3.9920234802788572,4.032064554364425
Genus,2.914570077071329,3.628500568450799,3.8804369510140795,3.988567819490288,4.037514118426473
Species,2.7933064196219113,3.4670289642099648,3.6958142367919513,3.796572058452977,3.8603713079757633
