Kingdom,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Bacteria,0.9192315,0.9193345,0.9192453,0.9192583,0.9192562,0.8657862179688269,0.8656255444550407,0.8657952842183382,0.865460260022412,0.8658432260624083,0.9192651600000001,0.8657021065454054,4.019574604360577e-05,0.00015813208302497547
Eukaryota,0.0807685,0.0806655,0.0807547,0.0807417,0.0807438,0.1327446103494673,0.13294551270096727,0.13272068992077277,0.13308957760278406,0.13285676160422727,0.08073484,0.13287143043564376,4.0195746043578434e-05,0.0001517379157159665
Archaea,0.0,0.0,0.0,0.0,0.0,0.0014691716817057173,0.0014289428439920105,0.0014840258608890251,0.0014501623748038775,0.0013000123333643291,0.0,0.0014264630189509918,0.0,7.364627541785918e-05
