Family,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Bdellovibrionaceae,0.0,0.0,0.0,0.0,0.0,0.00016881786404693028,0.00015995628850656838,0.0001520518300091214,0.00014486374932320544,0.000173537946139969,0.0,0.0001598455356051589,0.0,1.1760025693443488e-05
Bernardetiaceae,0.0,0.0,0.0,0.0,0.0,0.0,3.0467864477441594e-06,3.0410366001824284e-06,0.0,0.0,0.0,1.2175646095853176e-06,0.0,1.6672202440914445e-06
Blastocatellaceae (Subgroup 4),0.0,0.0,0.0,0.0,0.0,3.041763316160906e-06,0.0,3.0410366001824284e-06,3.0497631436464304e-06,0.0,0.0,1.826512611997953e-06,0.0,1.6673737807250605e-06
Brevibacteriaceae,0.0,0.0,0.0,0.0,0.0,4.106380476817223e-05,4.722518994003447e-05,3.9533475802371565e-05,4.422156558287324e-05,4.5667880563149735e-05,0.0,4.354238333132025e-05,0.0,3.1920519575927515e-06
Brucellaceae,0.0,0.0,0.0,0.0,0.0,3.3459396477769967e-05,4.417840349229031e-05,0.00014901079340893898,0.00011741588103038757,0.00012787006557681926,0.0,9.438690799724121e-05,0.0,5.212552129837529e-05
Burkholderiaceae,0.0,0.0,0.0,0.0,0.0,5.323085803281585e-05,7.159948152198775e-05,8.210798820492557e-05,8.539336802210006e-05,7.154634621560125e-05,0.0,7.27756083994861e-05,0.0,1.2561775328065714e-05
Butyricicoccaceae,0.0,0.0,0.0,0.0,0.0,0.0,4.570179671616239e-06,0.0,3.0497631436464304e-06,0.0,0.0,1.5239885630525337e-06,0.0,2.154929915427868e-06
Caecitellus,0.0,0.0,0.0,0.0,0.0,0.0,2.8498850404167278e-08,0.0,0.0,2.8477700877443077e-08,0.0,1.139531025632207e-08,0.0,1.5603672984549444e-08
Candidatus,0.0,0.0,0.0,0.0,0.0,7.604408290402264e-06,7.616966119360399e-06,6.082073200364857e-06,4.574644715469646e-06,7.6113134271916225e-06,0.0,6.697881150557757e-06,0.0,1.3590639747595213e-06
Candidatus Carsonella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044525370876649e-06,0.0,6.089050741753299e-07,0.0,1.3615531377005892e-06
Candidatus Phytoplasma,0.0,0.0,0.0,0.0,0.0,6.539791129745947e-05,7.007608829811567e-05,6.994384180419585e-05,6.404502601657504e-05,7.306860890103957e-05,0.0,6.850629526347713e-05,0.0,3.705079963015989e-06
Capnodiales,0.0,0.0,0.0,0.0,0.0,4.267779800074417e-08,0.0,4.2667601731505016e-08,4.279004046867522e-08,2.8477700877443077e-08,0.0,3.13226282156735e-08,0.0,1.8563071530596107e-08
Carnobacteriaceae,0.0,0.0,0.0,0.0,0.0,5.0189094716654946e-05,2.5897684805825354e-05,3.649243920218914e-05,4.422156558287324e-05,2.1311677596136545e-05,0.0,3.562249238073585e-05,0.0,1.210638336982623e-05
Caulobacteraceae,0.0,0.0,0.0,0.0,0.0,3.193851481968951e-05,3.960822382067407e-05,3.1930884301915494e-05,3.6597157723757166e-05,3.1967516394204816e-05,0.0,3.4408459412048205e-05,0.0,3.536423254395584e-06
Cercomonadidae,0.0,0.0,0.0,0.0,0.0,2.56066788004465e-07,1.5674367722292e-07,2.560056103890301e-07,2.567402428120513e-07,2.705381583357092e-07,0.0,2.3921889535283513e-07,0.0,4.651800926700687e-08
Chitinophagaceae,0.0,0.0,0.0,0.0,0.0,3.041763316160906e-06,3.0467864477441594e-06,1.3684664700820926e-05,6.099526287292861e-06,3.044525370876649e-06,0.0,5.7834532245791e-06,0.0,4.6107748633610986e-06
Chlorophyceae,0.0,0.0,0.0,0.0,0.0,8.535559600148835e-08,2.707390788395891e-07,1.2800280519451505e-07,0.0,0.0,0.0,9.68194960071185e-08,0.0,1.1191500199032895e-07
Chloroplast,0.0,0.0,0.0,0.0,0.0,9.581554445906853e-05,0.00010816091889491766,9.883368950592892e-05,0.00011741588103038757,0.00010351386260980606,0.0,0.00010474797930002174,0.0,8.491380201269816e-06
Choreotrichia,0.0,0.0,0.0,0.0,0.0,1.9916305733680615e-07,1.7099310242500365e-07,2.7022814429953176e-07,2.1395020234337612e-07,2.5629930789698763e-07,0.0,2.2212676286034108e-07,0.0,4.0897264191556154e-08
Christensenellaceae,0.0,0.0,0.0,0.0,0.0,0.00042888862757868774,0.0003701845534009154,0.000412060459324719,0.00042849172168232347,0.000403399611641156,0.0,0.00040860499472556035,0.0,2.409395272161277e-05
Chromatiaceae,0.0,0.0,0.0,0.0,0.0,6.387702963937902e-05,6.855269507424358e-05,5.777969540346614e-05,6.556990758839826e-05,5.9368244732094655e-05,0.0,6.302951448751633e-05,0.0,4.434041595160932e-06
Clostridia UCG-014,0.0,0.0,0.0,0.0,0.0,0.0001323167042529994,0.00011882467146202221,0.00012164146400729713,0.00011741588103038757,0.00012025875214962764,0.0,0.00012209149458046678,0.0,5.9297951174287684e-06
Clostridiaceae 1,0.0,0.0,0.0,0.0,0.0,0.004343638015477773,0.004375185338960613,0.004450557064366984,0.004399283334709976,0.004455662880277976,0.0,0.004404865326758664,0.0,4.829329737868945e-05
Clostridiales Dethiosulfatibacter,0.0,0.0,0.0,0.0,0.0,3.041763316160906e-06,0.0,4.5615549002736424e-06,0.0,3.044525370876649e-06,0.0,2.1295687174622393e-06,0.0,2.040461179592461e-06
Colpodea,0.0,0.0,0.0,0.0,0.0,4.410039126743565e-07,3.847344804562582e-07,0.0,0.0,0.0,0.0,1.6514767862612293e-07,0.0,2.2701117410165765e-07
Colwelliaceae,0.0,0.0,0.0,0.0,0.0,9.277378114290763e-05,9.902055955168518e-05,8.210798820492557e-05,0.00012351540731768044,0.00010655838798068272,0.0,0.0001007952248395763,0.0,1.5541288155520294e-05
Comamonadaceae,0.0,0.0,0.0,0.0,0.0,3.802204145201132e-05,5.331876283552279e-05,4.409503070264521e-05,4.117180243922681e-05,3.805656713595811e-05,0.0,4.2932840913072846e-05,0.0,6.328769886176885e-06
Conoidasida,0.0,0.0,0.0,0.0,0.0,3.755646224065487e-06,4.103834458200088e-06,3.7263038845514383e-06,3.808313601712095e-06,4.100788926351802e-06,0.0,3.898977418976182e-06,0.0,1.8793230145118835e-07
Coriobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.010989890861289353,0.01085570011331244,0.010961416425357563,0.010832758686232121,0.010838510320320871,0.0,0.01089565528130247,0.0,7.420043175252127e-05
Coriolopsis gallica   ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13167341144587e-08,0.0,0.0,1.4263346822891742e-08,0.0,3.189381308264159e-08
Corticiales,0.0,0.0,0.0,0.0,0.0,8.393300273479688e-06,8.521156270846015e-06,0.0,8.61506148102661e-06,0.0,0.0,5.105903605070462e-06,0.0,4.661695503609262e-06
Corynebacteriaceae,0.0,0.0,0.0,0.0,0.0,3.041763316160906e-06,0.0,3.0410366001824284e-06,3.0497631436464304e-06,3.044525370876649e-06,0.0,2.435417686173283e-06,0.0,1.3614441882445013e-06
Corynebacteriales Tomitella,0.0,0.0,0.0,0.0,0.0,4.4105568084333134e-05,6.398251540262734e-05,5.930021370355735e-05,4.269668401105003e-05,4.1101092506834764e-05,0.0,5.0237214741680526e-05,0.0,1.059477069552464e-05
Crenotrichaceae,0.0,0.0,0.0,0.0,0.0,1.3687934922724077e-05,1.3710539014848717e-05,1.06436281006385e-05,0.0,1.0655838798068273e-05,0.0,9.739588167255913e-06,0.0,5.65407538468448e-06
Crocinitomicaceae,0.0,0.0,0.0,0.0,0.0,1.6729698238884983e-05,2.4374291581953275e-05,2.4328292801459427e-05,2.4398105149171443e-05,1.978941491069822e-05,0.0,2.1923960536433466e-05,0.0,3.5157848797282287e-06
Cryomorphaceae,0.0,0.0,0.0,0.0,0.0,1.5208816580804528e-05,2.2850898358081196e-05,1.6725701301003354e-05,1.2199052574585722e-05,1.978941491069822e-05,0.0,1.73547767450346e-05,0.0,4.1145227076053444e-06
Cyanobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.099526287292861e-06,0.0,0.0,1.219905257458572e-06,0.0,2.7277910817867497e-06
Cytophagaceae,0.0,0.0,0.0,0.0,0.0,0.00013840023088532123,0.00014472235626784757,0.00015357234830921262,0.00011589099945856436,0.00012787006557681926,0.0,0.000136091200099553,0.0,1.4671862368802086e-05
Dactylopodida,0.0,0.0,0.0,0.0,0.0,0.0,5.6997700808334555e-08,0.0,0.0,0.0,0.0,1.139954016166691e-08,0.0,2.5490146713726153e-08
Deep Sea Hydrothermal Vent Gp,0.0,0.0,0.0,0.0,0.0,0.0,3.0467864477441594e-06,0.0,0.0,0.0,0.0,6.093572895488318e-07,0.0,1.3625643220162101e-06
Deferribacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,3.0467864477441594e-06,0.0,0.0,0.0,0.0,6.093572895488318e-07,0.0,1.3625643220162101e-06
Defluviitaleaceae,0.0,0.0,0.0,0.0,0.0,2.58549881873677e-05,2.5897684805825354e-05,2.7369329401641853e-05,3.0497631436464306e-05,3.348977907964314e-05,0.0,2.862188258218847e-05,0.0,3.311370473881561e-06
Desulfarculaceae,0.0,0.0,0.0,0.0,0.0,0.00010950347938179262,9.597377310394102e-05,0.00011099783590665862,9.759242059668577e-05,0.00011569196409331267,0.0,0.00010595189461647812,0.0,8.694652754268933e-06
Desulfobacteraceae,0.0,0.0,0.0,0.0,0.0,1.3687934922724077e-05,1.0663752567104558e-05,1.2164146400729714e-05,4.574644715469646e-06,1.0655838798068273e-05,0.0,1.0349263480819253e-05,0.0,3.463366884465183e-06
Desulfobulbaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044525370876649e-06,0.0,6.089050741753299e-07,0.0,1.3615531377005892e-06
Desulfurococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,4.570179671616239e-06,6.082073200364857e-06,0.0,0.0,0.0,2.130450574396219e-06,0.0,2.965807579552525e-06
Diatomea,0.0,0.0,0.0,0.0,0.0,8.293718744811284e-06,7.780186160337666e-06,7.964618989880935e-06,8.329794544568776e-06,8.087667049193832e-06,0.0,8.091197097758498e-06,0.0,2.2951363847355257e-07
Digenea,0.0,0.0,0.0,0.0,0.0,0.0,2.8498850404167278e-08,0.0,4.279004046867522e-08,0.0,0.0,1.42577781745685e-08,0.0,2.016649972909255e-08
Dinophyceae,0.0,0.0,0.0,0.0,0.0,2.845186533382945e-08,0.0,2.8445067821003343e-08,5.705338729156697e-08,2.8477700877443077e-08,0.0,2.8485604264768567e-08,0.0,2.017145707043431e-08
Diplogasterida,0.0,0.0,0.0,0.0,0.0,0.0,4.274827560625091e-08,0.0,0.0,0.0,0.0,8.549655121250182e-09,0.0,1.9117610035294613e-08
Dorylaimia,0.0,0.0,0.0,0.0,0.0,1.1793298180872308e-05,1.2254505673791929e-05,1.2345159434315452e-05,1.1838577863000144e-05,1.1747051611945267e-05,0.0,1.1995718552785021e-05,0.0,2.8132816891566264e-07
Ellipura,0.0,0.0,0.0,0.0,0.0,7.653551774800122e-06,7.566444782306411e-06,7.338827497818862e-06,7.531047122486838e-06,7.446918779451363e-06,0.0,7.507357991372719e-06,0.0,1.1987542669765905e-07
Enoplia,0.0,0.0,0.0,0.0,0.0,2.8309606007160303e-06,2.8498850404167275e-06,3.157402528131371e-06,3.1664629946819664e-06,3.132547096518738e-06,0.0,3.0274516520929667e-06,0.0,1.7131482046512319e-07
Enterococcaceae,0.0,0.0,0.0,0.0,0.0,1.2167053264643624e-05,4.570179671616239e-06,0.0,0.0,0.0,0.0,3.3474465872519724e-06,0.0,5.31264374165549e-06
Erysipelatoclostridiaceae,0.0,0.0,0.0,0.0,0.0,0.0008957992966093868,0.0008957552156367829,0.0009138314983548197,0.0009622002718204488,0.0009179243993193097,0.0,0.0009171021363481496,0.0,2.717865438698078e-05
Erysiphales,0.0,0.0,0.0,0.0,0.0,2.152383612504198e-05,2.0832659645446278e-05,2.178892195088856e-05,2.1623233783503877e-05,2.1073498649307873e-05,0.0,2.1368430030837714e-05,0.0,3.999762139772251e-07
Erythrobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,9.140359343232478e-06,0.0,6.099526287292861e-06,0.0,0.0,3.0479771261050674e-06,0.0,4.309859830855736e-06
Eucestoda,0.0,0.0,0.0,0.0,0.0,2.845186533382945e-08,2.8498850404167278e-08,0.0,0.0,0.0,0.0,1.1390143147599346e-08,0.0,1.559660468434917e-08
Euglenozoa,0.0,0.0,0.0,0.0,0.0,6.68618835344992e-07,4.844804568708437e-07,4.2667601731505016e-07,4.136370578638605e-07,1.566273548259369e-07,0.0,4.300079444441367e-07,0.0,1.8365624568224602e-07
Eurotiales,0.0,0.0,0.0,0.0,0.0,3.546525013861841e-05,3.5224579099550756e-05,3.530032916586514e-05,3.5030779797022116e-05,3.515572173320348e-05,0.0,3.523533198685198e-05,0.0,1.6231297331609405e-07
Exobasidiales,0.0,0.0,0.0,0.0,0.0,0.0,3.5623563005209093e-07,5.546788225095652e-07,3.5658367057229353e-07,0.0,0.0,2.5349962462678993e-07,0.0,2.4516017006663263e-07
Family XI,0.0,0.0,0.0,0.0,0.0,6.996055627170084e-05,7.921644764134814e-05,8.058746990483434e-05,8.386848645027683e-05,8.67689730699845e-05,0.0,8.008038666762894e-05,0.0,6.373801442585281e-06
Family XIII,0.0,0.0,0.0,0.0,0.0,0.001292749409368385,0.00137714747438036,0.001286358481877167,0.0013007239807652027,0.001354813790040109,0.0,0.0013223586272862447,0.0,4.091432982634152e-05
FamilyI,0.0,0.0,0.0,0.0,0.0,6.083526632321812e-06,0.0,3.0410366001824284e-06,0.0,3.044525370876649e-06,0.0,2.433817720676178e-06,0.0,2.545043768599203e-06
FamilyII,0.0,0.0,0.0,0.0,0.0,2.2813224871206793e-05,2.4374291581953275e-05,2.7369329401641853e-05,2.1348342005525015e-05,3.957882982139644e-05,0.0,2.7096803536344677e-05,0.0,7.326001262993358e-06
