Feature ID	Taxon	Confidence
20789e97d35c1aa7765a966aa284a1e4	d__Eukaryota;p__Arthropoda;c__Maxillopoda;o__Harpacticoida;f__Harpacticoida;g__Harpacticoida;s__	0.8501247379005791
7ed481ad307c180f62b9883f810d3958	d__Eukaryota;p__Diatomea;c__Mediophyceae;o__Mediophyceae;f__Mediophyceae;g__Cyclotella;s__	0.7638544176001428
818294e2df5229cef86b33865f0859a6	d__Eukaryota;p__Arthropoda;c__Maxillopoda;o__Harpacticoida;f__Harpacticoida;g__Harpacticoida;s__	0.7429303921363801
28f4d759c8229b4665623e264a703c5b	Unassigned	0.49714165123419096
b6352f50979c7bfee5dd8d23e1ec1c43	Unassigned	0.4696270609796859
c85f5eebe63643b5f58ced12e4a1e695	d__Eukaryota;p__Arthropoda;c__Maxillopoda	0.9999062805417681
404c94a06cc2138bb14b9800c63a6561	Unassigned	0.45580934630447956
de5b61155b1c66aa0a79452ce3f4ad3c	Unassigned	0.37526691405939605
0f70c44d135929226b0d9ba6ca8c097e	Unassigned	0.46485774063474516
6339a9f8724485878490e262460687c8	d__Eukaryota;p__Diatomea	0.9987754860411948
1b929fd58fa6d70966ff8f94edff9ad5	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__	0.7749101311839188
547aa5a886a623ead9e74d103952d33e	d__Eukaryota;p__Diatomea;c__Bacillariophyceae;o__Bacillariophyceae;f__Bacillariophyceae;g__Asterionellopsis;s__	0.7725744712777948
8a3a768e5178e4e9cf18271da6abc408	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__	0.7996528530970981
4efe4e79e06715d6c8a9712b40688704	d__Eukaryota;p__Chlorophyta;c__Trebouxiophyceae;o__Incertae_Sedis;f__Incertae_Sedis;g__Picochlorum;s__	0.9149255425428725
dfa102616bb02cb15efe005ef42111b1	d__Eukaryota;p__Arthropoda;c__Maxillopoda	0.9998890615824281
a2fa10e48d4893f75d56d47ce6d5bc4c	d__Eukaryota;p__Mollusca;c__Bivalvia;o__Veneroida;f__Veneroida;g__Veneroida;s__	0.8369382516004182
b10fc890bbf75b33bb146e44e4f4f6b2	d__Eukaryota;p__Cnidaria;c__Myxozoa;o__Bivalvulida;f__Bivalvulida;g__Bivalvulida;s__	0.7399319835136106
df512a0602bb42fdcc6354c205cdc32c	Unassigned	0.4216593143006475
384a480a6f6e29d7496afd93963ad027	d__Eukaryota;p__uncultured;c__uncultured;o__uncultured;f__uncultured;g__uncultured;s__	0.7751598181553385
