# Constructed from biom file
#OTU ID	OL-PAMA-1a	OL-PAMA-1b	OL-PAMA-2a	OL-PAMA-2b	OL-PAMA-3a	OL-PAMA-3b	OL-PAMA-4a	OL-PAMA-4b
fbe95386d8bf61072772099799630738	82327.0	97900.0	124560.0	120971.0	73.0	139.0	156.0	240.0
ac6be611cba1424444b9aa2975c2b7b4	79913.0	95407.0	128280.0	118094.0	80.0	141.0	198.0	162.0
1e69dc1be3d7ebce79c4403528582036	0.0	0.0	0.0	0.0	34871.0	5988.0	2108.0	71899.0
114ebbae22dde659336c1de48981be71	45570.0	36065.0	13827.0	17016.0	0.0	0.0	0.0	0.0
ed5e252a392bff6e27d008177bd0225c	0.0	0.0	0.0	0.0	34768.0	5852.0	2093.0	67998.0
ca1d3a4a000e333e7fadface4e55ca05	43093.0	33808.0	13718.0	16054.0	0.0	0.0	0.0	0.0
814f23eaf5c483399e5a9241f8627296	2946.0	3479.0	0.0	0.0	11763.0	18327.0	10427.0	34406.0
554d5ff1bb8b449785daa9a82dec423b	2707.0	3868.0	0.0	0.0	11129.0	17133.0	9872.0	31102.0
7aca852fc35f7df9dfbbce61860f3594	0.0	5.0	0.0	0.0	5359.0	36658.0	12443.0	8691.0
3f90537f30a128afdaa890a167274ab6	0.0	0.0	0.0	0.0	5383.0	36697.0	12580.0	8155.0
880658c664f0e8e7fc58217cf49ed129	9267.0	13404.0	9956.0	14435.0	0.0	0.0	0.0	0.0
caa71a3fb023be87ec6ad7506224767e	8840.0	12824.0	9989.0	13890.0	0.0	0.0	0.0	0.0
5b9a64db34eb7d77dbb3e867a1094ceb	0.0	0.0	0.0	0.0	13806.0	6924.0	4244.0	19838.0
5816f402bcbb7c62e1ac2a9320b229f9	61.0	440.0	0.0	80.0	9353.0	13470.0	5105.0	16162.0
96373c2bb85526105088bc86271ae7e5	56.0	371.0	0.0	95.0	9251.0	13407.0	5206.0	14567.0
98433512588fd98beb0a8c36347e17cd	0.0	0.0	0.0	0.0	13227.0	6736.0	4468.0	16110.0
bb409a99e351e2e0d2f90e133fa32b22	8917.0	8381.0	8721.0	13675.0	0.0	0.0	0.0	0.0
711a84af989bc5f4b0179393db6dde20	8678.0	7681.0	8912.0	12894.0	0.0	0.0	0.0	0.0
b9ad4eb9c69e374b8871911effd3cc8c	0.0	0.0	0.0	0.0	10508.0	144.0	0.0	21235.0
f338ba87d2657e7168d977dbfc6a33d9	3844.0	6018.0	9584.0	10371.0	163.0	184.0	97.0	833.0
6091302604dd49707f3d730385a1490f	3664.0	5674.0	9897.0	10117.0	151.0	160.0	116.0	843.0
cb93ed541e334d1570b985dd831dfe0d	0.0	0.0	0.0	0.0	10006.0	155.0	0.0	18657.0
e47d7d577f37416850abf4442b77c140	0.0	0.0	16.0	0.0	6390.0	7941.0	3258.0	9881.0
f3d1d310b60442f7478bb41ab1f3efc8	26909.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
edd3cff5ec04647f1cf47b7fa92d750e	3061.0	1163.0	2267.0	1035.0	4140.0	3891.0	2352.0	8709.0
b3082907bc3daa5dd8730bfd32ce46e7	0.0	0.0	0.0	0.0	1827.0	13661.0	6874.0	4140.0
3ad0120703d8aa6198ccc959fd4b7f1a	0.0	0.0	0.0	0.0	1781.0	13893.0	6710.0	4027.0
e7f2015c177a1d59a3e7ff093c5477b8	0.0	0.0	0.0	0.0	6188.0	7702.0	3416.0	9033.0
7040c0fb16c1bb05c193ba26de254f7e	25795.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d62a1106ec08228a23d9beca69c79b31	2965.0	1621.0	2280.0	956.0	4006.0	3891.0	2235.0	7426.0
c965658183b40b4eff09d1cfa7f6cf92	0.0	0.0	0.0	0.0	4039.0	4850.0	4460.0	9476.0
54081e02f58f77afb1842afa53e08646	4775.0	9681.0	4358.0	1752.0	178.0	135.0	118.0	1630.0
9bd7e69a73dcd8d2730e8a707f787a21	0.0	0.0	0.0	0.0	3953.0	4925.0	4339.0	8705.0
50a72f6a7ec72eea5a9406b103b6e88b	4603.0	5643.0	4592.0	6224.0	137.0	487.0	17.0	0.0
9295ca09fd8afa19456615968372d566	0.0	0.0	0.0	0.0	5096.0	5160.0	3310.0	7854.0
58e414e4ed4189cf77ef46ceec735ac4	4519.0	5260.0	4799.0	6113.0	123.0	499.0	3.0	0.0
d7e8e88e00fae18123b5bf08c8628ab0	4698.0	8957.0	3859.0	1703.0	205.0	110.0	122.0	1651.0
ddff9d01c6608c4c314631a76c18610c	0.0	0.0	11016.0	10233.0	0.0	0.0	0.0	0.0
6e11b46abd08cf24812f17b6b09a8b1b	0.0	0.0	10882.0	10064.0	0.0	0.0	0.0	0.0
c7b5f4a5d34ef415dbc8c460c64b1e5e	0.0	0.0	0.0	0.0	4940.0	5082.0	3249.0	6875.0
a513a5274550c81570db81c14be3384c	1446.0	2508.0	5359.0	8944.0	0.0	0.0	0.0	0.0
5300ebb1e105e4ddabe81157c3938786	1341.0	2637.0	5497.0	8635.0	0.0	0.0	0.0	0.0
28f9985f0bf8ed3db5845c6bd1777fcd	0.0	0.0	0.0	0.0	3255.0	4144.0	3711.0	6605.0
c6bb9f70386ace0d1e83b6b626dc9243	3928.0	4041.0	4299.0	2916.0	514.0	500.0	410.0	816.0
c8f01f2ee60bb841dd04670b0c5959f4	0.0	0.0	0.0	0.0	3265.0	3822.0	3763.0	5969.0
c40d514a8f84995765ac99230eec7aaa	3769.0	3573.0	4067.0	2715.0	537.0	471.0	388.0	910.0
ce45119cc38683b3d21570e6a94b9dc4	0.0	0.0	0.0	0.0	1665.0	5930.0	3937.0	4384.0
